PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/24,53:19.5,2021/10/24,53:19.5,1,1,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,102.2585,5.045935,0.480014,2024.237684,335.760068,5:15,1.850448,-0.466165,1.435367,-229.5551,-41.1111,21.644,1.01846,-0.11086,92.57922,-11.188137,1.976484,0.619935,,,,,,,,,,,,-10.0368,-21.9277,0.448917,15.24,1.981868,-0.32768,-27.958468,1.610449,-1.004391,4.953299,-12.000978,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,ed672900-347d-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,97.84905,,,9.67928,,,,17.005568,-28.269537,2.47665,1.857066,2.364114,-6.000489,0.467515,-0.264604,-0.502195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
2,2021/10/24,53:31.7,2021/10/24,53:31.7,1,2,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,140.99048,-2.977768,4.406994,2176.385754,145.926535,10:45,1.915758,-0.500109,1.712561,-44.1432,50.6838,-32.0028,0.624024,0.435907,127.79345,-6.281496,2.166533,0.439765,122.70658,50.716233,-34.520817,4341.511653,23.739781,28.136901,-23.67583,58.186006,,-48.489946,4.874771,19.614,28.9522,0.387863,15.24,1.834751,-2.808831,-38.587148,-2.168495,3.788606,8.478803,-4.214291,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,f4783e00-347d-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,137.9373,28.160981,,13.19703,,,,16.726803,-38.912474,4.239401,1.914852,-2.006796,-2.107145,0.498425,-2.954197,1.894303,0.250499,0.583587,-0.438935,150.047756,0.27019,17.359921,-3.703004,-1.43176,2.1696,-1.069686,0.264806,-0.032596,0.001586,0.583674,26.366984,-7.419935,0.444758,0.24841,-0.196929,0.062679,-0.009441,0.000546,-0.435025,-12.303611,0.873922,-0.174714,0.15303,-0.060094,0.009461,-0.000327,-3.2e-05,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
3,2021/10/24,54:13.9,2021/10/24,54:13.9,1,3,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,GroundBall,Single,0,0,,141.68253,-2.081641,3.628319,2094.345923,159.031607,11:15,1.907704,-0.477992,1.735162,-35.9689,58.62,-21.0478,0.955266,0.343552,126.66448,-4.852514,2.151423,0.439213,156.64261,4.968016,-4.926325,1065.447978,,,,30.888502,,-7.869975,0.78945,13.8206,32.5851,0.386575,15.24,1.851733,-2.349028,-38.783644,-1.518735,2.659656,9.578814,-3.535936,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,0d9699e0-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,138.11081,1.441562,,15.01806,,,,16.703379,-39.143402,4.789407,1.90628,-1.385934,-1.767968,0.476675,-2.448919,1.329828,0.167098,0.907599,-0.348878,60.350611,0.186176,42.859286,-5.521733,,,,,,,0.924445,3.477071,-5.912423,,,,,,,-0.338305,-3.906648,-1.31008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
4,2021/10/24,55:22.3,2021/10/24,55:22.3,2,1,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Gou, Inoue",1000074178,Right,RIK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,GroundBall,Single,0,0,1,138.14047,-2.30083,2.969131,2109.248973,148.846902,11:00,1.928561,-0.558229,1.673344,-46.3372,52.5935,-29.6786,0.807909,-0.007656,125.16738,-5.76455,0.891046,0.44918,157.35789,4.464525,-30.782554,2021.079146,,,,26.584455,,-32.144458,0.67227,17.2624,29.3139,0.481434,15.24,1.863444,-1.811648,-37.874604,-1.687692,3.21015,8.218037,-4.355396,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,366539d0-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,135.04614,1.044263,,12.97309,,,,16.765853,-38.20425,4.109018,1.927638,-1.512987,-2.177698,0.556686,-1.940415,1.605075,0.244679,0.62089,0.168857,,0.260602,37.116499,-6.014465,,,,,,,0.633092,3.155584,-6.119602,,,,,,,0.168833,-22.303075,1.505883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
5,2021/10/24,56:20.8,2021/10/24,56:20.8,3,1,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Kenta, Yamada",1000074117,Right,RIK,Undefined,1,Top,0,0,0,Curveball,Curveball,InPlay,Undefined,Bunt,,Sacrifice,1,0,"1,2",101.12263,5.295877,1.496135,1965.273569,323.806969,4:45,1.848294,-0.52941,1.336367,-230.3025,-36.003,31.3361,1.091381,0.219448,91.99623,-10.877248,3.646065,0.629492,,,,,,,,,,,,-13.9778,-20.0832,0.47662,15.24,1.99358,-0.854469,-27.631083,1.698036,-1.374021,4.627605,-11.780833,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,59727640-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,96.36337,,,9.12641,,,,17.104916,-27.94167,2.313802,1.85308,2.488721,-5.890416,0.530874,-0.76225,-0.68701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
6,2021/10/24,57:09.7,2021/10/24,57:09.7,4,1,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Reo, Higashi",1000074110,Right,RIK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,"2,3",139.77213,-1.848378,2.685852,2118.721887,153.198442,11:00,1.921508,-0.576351,1.754548,-37.8893,58.4206,-27.6863,1.017441,-0.090635,125.55561,-4.75366,0.737376,0.44319,115.08288,64.972631,127.814503,4172.902936,,,,,,,,16.2848,32.2651,0.510476,15.24,1.872078,-1.655777,-38.324288,-1.350904,3.074898,9.010336,-3.714361,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,764f39b0-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,136.87133,25.93054,,14.21652,,,,16.684166,-38.662332,4.505168,1.920146,-1.211551,-1.857181,0.574761,-1.771139,1.537449,0.29841,0.982242,0.091787,344.776108,0.29841,-8.291587,-1.93918,1.056569,-0.329723,0.089841,-0.022613,0.004678,-0.000444,0.982242,28.965902,-9.668764,1.460236,-0.295198,0.056403,-0.013667,0.002977,-0.000287,0.091787,10.683859,-0.641654,-0.243456,0.123354,-0.040435,0.009934,-0.002047,0.00019,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
7,2021/10/24,57:34.4,2021/10/24,57:34.4,4,2,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Reo, Higashi",1000074110,Right,RIK,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"2,3",119.43583,0.167383,3.563281,1267.617506,107.392961,9:30,1.832177,-0.517275,1.639954,-118.1723,14.0343,-30.8282,0.698371,0.193846,109.32528,-8.338405,1.408323,0.519256,,,,,,,,,,,,18.1301,8.2054,0.422719,15.24,1.82676,-1.902547,-32.770823,-0.350886,2.536091,5.901351,-8.658856,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,853269c0-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,116.82105,,,10.11056,,,,16.799722,-33.050503,2.950676,1.833666,0.05948,-4.329428,0.515733,-2.022739,1.268046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
8,2021/10/24,57:56.5,2021/10/24,57:56.5,4,3,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Reo, Higashi",1000074110,Right,RIK,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,"2,3",142.26682,-2.122831,3.280952,2122.678528,160.201367,11:15,1.902393,-0.473126,1.764327,-42.8115,50.2283,-16.8209,0.871093,0.289984,127.83252,-5.362492,2.097614,0.435601,,,,,,,,,,,,11.3025,28.3571,0.39192,15.24,1.846018,-2.147243,-38.978997,-1.589664,2.206186,9.370177,-4.27148,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,924ebc80-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,139.25579,,,14.4343,,,,16.674328,-39.322284,4.685088,1.901391,-1.433173,-2.13574,0.472067,-2.228069,1.103093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
9,2021/10/24,58:25.4,2021/10/24,58:25.4,4,4,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Reo, Higashi",1000074110,Right,RIK,Undefined,1,Top,1,0,2,ChangeUp,Slider,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,"2,3",121.75109,0.020794,1.618214,1038.767245,105.199264,9:30,1.831285,-0.47583,1.635456,-117.4005,8.9502,-18.418,0.663225,-0.197408,112.08476,-8.406347,0.327866,0.507626,130.89982,36.764093,29.105696,5324.403291,26.620963,19.950388,20.382582,82.941426,,46.643388,4.468987,10.4418,5.5855,0.433219,15.24,1.821802,-0.862665,-33.475458,-0.443829,1.530844,5.914543,-8.987772,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,a3710720-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,119.49753,21.969089,,9.66632,,,,16.804558,-33.750757,2.957271,1.832725,-0.025484,-4.493886,0.475031,-0.93392,0.765422,0.267301,0.653705,0.202478,223.724998,0.26867,25.419238,-6.643111,1.606128,-0.216723,-0.01006,0.007584,-0.000623,-9e-06,0.65421,21.74791,-6.160114,0.179596,0.212222,-0.137754,0.042856,-0.006535,0.000385,0.202585,14.166105,0.5056,-0.518686,0.218386,-0.069965,0.016249,-0.002227,0.000128,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
10,2021/10/24,59:07.0,2021/10/24,59:07.0,4,5,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Reo, Higashi",1000074110,Right,RIK,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,"2,3",140.55066,-2.036007,0.780304,2096.57679,152.511476,11:00,1.918359,-0.549367,1.755122,-38.1803,57.6938,-28.0315,0.958631,-0.608291,125.37966,-4.974412,-1.195449,0.442186,,,,,,,,,,,,14.7606,32.0752,0.531614,15.24,1.864183,-0.375163,-38.527076,-1.4792,2.794257,9.676996,-3.734639,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,bc66a550-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,137.18201,,,15.17101,,,,16.682534,-38.887715,4.838498,1.916716,-1.340019,-1.86732,0.547536,-0.479298,1.397128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
11,2021/10/24,59:29.2,2021/10/24,59:29.2,4,6,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Reo, Higashi",1000074110,Right,RIK,Undefined,1,Top,1,1,2,Curveball,Curveball,InPlay,Undefined,FlyBall,FlyBall,Sacrifice,1,1,"2,3",107.55132,3.345246,1.693729,2036.023453,332.971391,5:00,1.82587,-0.454767,1.603702,-203.911,-37.179,22.1244,0.746179,0.251617,97.45455,-11.214267,3.240173,0.583128,140.64484,33.611008,-1.81424,3351.738544,33.50145,19.408407,1.333889,95.973986,,11.966756,4.815243,-9.5657,-19.9131,0.405434,15.24,1.901192,-0.963221,-29.474452,0.986484,-1.060075,5.654363,-12.01343,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,c9afd470-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,104.02514,24.228463,,10.09678,,,,16.837046,-29.779252,2.827181,1.830561,1.634072,-6.006715,0.455817,-0.906077,-0.530037,0.49898,0.715309,-0.252472,215.269401,0.498839,32.523946,-6.010345,1.452074,-0.349158,0.084627,-0.016864,0.002066,-0.000108,0.715772,21.615248,-5.605964,0.325326,0.021244,-0.035207,0.010944,-0.001511,7.9e-05,-0.252456,-1.030605,2.477394,-0.620829,0.146915,-0.033193,0.006119,-0.000714,3.6e-05,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
12,2021/10/24,00:17.3,2021/10/24,00:17.3,5,1,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Hiroki, Yoshioka",1000126665,Left,RIK,Undefined,1,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,3,118.25802,0.250856,2.643465,2075.474618,334.971457,5:15,1.862546,-0.530135,1.60314,-147.2148,-11.1232,7.3488,0.46231,0.300871,108.29735,-10.245198,3.157124,0.52683,,,,,,,,,,,,-1.5911,-4.4099,0.455633,15.24,1.85651,-1.531666,-32.457152,-0.435099,-0.216767,6.160447,-10.407433,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,e6377300-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,115.14158,,,9.96067,,,,16.836757,-32.758819,3.080223,1.865339,0.074536,-5.203716,0.530376,-1.521051,-0.108383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
13,2021/10/24,00:33.1,2021/10/24,00:33.1,5,2,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Hiroki, Yoshioka",1000126665,Left,RIK,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,3,141.57392,-1.447177,4.297475,2003.277708,152.934003,11:00,1.906572,-0.492251,1.725558,-36.123,58.4696,-28.0414,1.132774,0.45107,126.85515,-4.224517,2.333381,0.439221,,,,,,,,,,,,17.6398,31.7141,0.383377,15.24,1.866495,-2.760452,-38.741339,-1.08657,3.40289,9.223296,-3.688689,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,efb457e0-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,138.10808,,,14.71877,,,,16.712599,-39.090354,4.611648,1.90497,-0.946988,-1.844344,0.490271,-2.88922,1.701445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
14,2021/10/24,00:49.8,2021/10/24,00:49.8,5,3,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Hiroki, Yoshioka",1000126665,Left,RIK,Undefined,1,Top,2,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,3,141.51466,-1.064335,3.275276,2160.061331,154.468597,11:15,1.887245,-0.527143,1.721603,-38.2621,56.0223,-25.0926,1.201513,0.15408,127.11701,-3.986924,1.514702,0.438505,,,,,,,,,,,,15.2285,30.1015,0.444277,15.24,1.856832,-2.083839,-38.781472,-0.839069,2.950459,9.077955,-3.974603,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,f99d9320-347e-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,138.33365,,,14.39765,,,,16.71649,-39.125561,4.538978,1.885781,-0.688416,-1.987302,0.525382,-2.195673,1.475229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
15,2021/10/24,01:08.9,2021/10/24,01:08.9,5,4,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Hiroki, Yoshioka",1000126665,Left,RIK,Undefined,1,Top,2,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,3,139.62837,-2.490219,3.554905,2127.363725,145.754258,10:45,1.828214,-0.533945,1.753986,-50.3821,45.8943,-28.8687,0.616044,0.187284,126.23028,-6.250781,1.524988,0.443113,,,,,,,,,,,,17.4655,26.332,0.446093,15.24,1.761507,-2.229331,-38.257296,-1.845348,3.303786,8.60179,-4.825655,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,04effb50-347f-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,136.8951,,,13.39809,,,,16.68492,-38.580805,4.300895,1.827497,-1.663858,-2.412828,0.532274,-2.353585,1.651893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
16,2021/10/24,02:04.5,2021/10/24,02:04.5,6,1,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Yosuke, Kuroiwa",1000089907,Right,RIK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,3",138.53856,-2.173829,5.157427,2174.698796,148.744931,11:00,1.894268,-0.575928,1.733487,-44.3535,54.3487,-30.7395,0.830375,0.58579,124.62342,-5.525156,3.007334,0.448661,,,,,,,,,,,,20.0656,30.5695,0.445832,15.24,1.835151,-3.26792,-37.882982,-1.592413,3.706025,8.729165,-4.160615,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,261cb7f0-347f-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,135.20237,,,13.91513,,,,16.706124,-38.21932,4.364583,1.893418,-1.432103,-2.080308,0.574497,-3.410714,1.853013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
17,2021/10/24,02:22.6,2021/10/24,02:22.6,6,2,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Yosuke, Kuroiwa",1000089907,Right,RIK,Undefined,1,Top,2,1,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,LineDrive,Double,0,2,"1,3",117.94263,0.773133,3.339084,1215.738808,119.553698,10:00,1.809721,-0.608168,1.644658,-114.8138,20.7826,-28.6714,0.882805,0.059957,107.67538,-7.524498,1.335086,0.52587,154.01538,19.469831,-26.156002,2219.047943,29.631025,10.993817,-15.688219,97.950923,,-32.122426,3.831751,16.9535,11.1432,0.51984,15.24,1.821132,-1.762077,-32.361104,0.015445,2.310086,5.810042,-8.288265,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,30f6e2e0-347f-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,115.35165,13.97602,,10.26725,,,,16.794952,-32.639083,2.905021,1.810906,0.411993,-4.144133,0.606789,-1.872602,1.155043,0.620691,0.902238,-0.058408,153.750168,0.62058,36.207937,-7.648665,1.83881,-0.392981,0.076265,-0.012164,0.001251,-5.4e-05,0.902419,14.254942,-3.816731,-0.134215,0.083063,-0.021445,0.002543,0.000168,-4.8e-05,-0.058474,-17.778691,1.731764,-0.219627,0.004027,0.00891,-0.003029,0.000489,-3.3e-05,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
18,2021/10/24,03:37.3,2021/10/24,03:37.3,7,1,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Hidetake, Ohta",1000074058,Right,RIK,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,2,115.70642,2.931295,3.322897,1066.580597,92.208102,9:00,1.829221,-0.541533,1.617495,-136.0846,5.6623,-24.7403,1.30919,0.162841,105.29225,-6.863283,1.59871,0.537665,,,,,,,,,,,,14.7289,2.2212,0.45172,15.24,1.898771,-1.728775,-31.701522,1.112602,1.926501,5.562595,-9.516121,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,5d5d4f90-347f-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,112.82125,,,10.41416,,,,16.821736,-31.977861,2.781297,1.831757,1.585345,-4.758061,0.539979,-1.82448,0.96325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
19,2021/10/24,03:59.4,2021/10/24,03:59.4,7,2,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Hidetake, Ohta",1000074058,Right,RIK,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Single,0,1,2,138.94758,-2.713597,3.126652,2167.639316,151.336085,11:00,1.917953,-0.539711,1.705484,-42.3129,56.2573,-28.6548,0.720878,0.064386,124.53072,-5.924846,1.116955,0.448361,120.09605,18.546115,-5.208576,1326.774999,33.470789,7.067,-1.957766,63.21751,,-1.282045,2.587854,17.1439,31.8468,0.460241,15.24,1.843787,-1.928838,-38.036376,-1.942419,3.178178,9.105503,-3.902818,MEI_MEI,RIK,JinguStadium,TeamExclusive,Undefined,20211024-JinguStadium-2,6aae1fd0-347f-11ec-b6bb-85dea698209a,b74d2b6b-9028-46a4-a017-6f8229cc5796,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,135.2929,7.06718,,14.41686,,,,16.733108,-38.392146,4.552751,1.916702,-1.789928,-1.951409,0.538031,-2.053016,1.589089,0.216534,0.651846,-0.06133,206.675057,0.216535,31.496913,-4.324497,0.925997,-0.184766,0.032859,-0.005165,0.000629,-3.8e-05,0.651845,10.610778,-4.579512,0.172378,-0.013108,0.000583,0.000303,3.3e-05,-1.3e-05,-0.061331,-2.871183,1.289011,-0.200889,0.025239,-0.001697,-0.000152,6.7e-05,-7e-06,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,21A
