count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji
0,1.0,1.0,2025/3/23,2708.742054,1398.742056,1742699300,1.0,1.0,増田,Right,TOK,1,門間,Left,星槎道都大,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.526,0.216,,,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2508110000,見逃し,,2706,https://youtu.be/TX6vwU33x3E&t=2706,609,https://youtu.be/zy5PNh0MQfo&t=609,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,R,R,R,R,R,R,R,R",358.0,993921.0,Kosei Masuda,,1742666904.0,1742699304.0,Undefined,,,,,,,,,,,,,,,,,,,,993921@1742699304,V3P4DLKO0850A,,,untitled,,1742699300.0,521.0,1410150.0,tokyobbc_rapsodo Player_002,,1742666903.0,1742699303.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699303,untitled,1742699300.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
1,2.0,2.0,2025/3/23,2720.868748,1410.868749,1742699312,1.0,2.0,増田,Right,TOK,1,門間,Left,星槎道都大,1,Top,0,0,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.17,0.208,,,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2508110001,ボール,,2718,https://youtu.be/TX6vwU33x3E&t=2718,621,https://youtu.be/zy5PNh0MQfo&t=621,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,R,R,R,R,R,R,R,R",357.0,993921.0,Kosei Masuda,,1742666917.0,1742699317.0,ChangeUp,N,0.0807,1.4235,117.45,616.77,510.8,82.82,1:38,1.0,2.3651295,14.3,13.2,14.4,17.2,0.36,3.39,1.61,-0.15,34.09,993921@1742699317,V3P4DLKO0850A,1.3801492,-5.239738,untitled,,1742699313.0,520.0,1410150.0,tokyobbc_rapsodo Player_002,,1742666916.0,1742699316.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699316,untitled,1742699313.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
2,3.0,3.0,2025/3/23,2733.910555,1423.910556,1742699326,1.0,3.0,増田,Right,TOK,1,門間,Left,星槎道都大,1,Top,0,1,1,Splitter,FoulBall,Undefined,GroundBall,Undefined,0,0,,118.0,0.486,-0.136,31.82014527,79.3150876,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2508110002,ファール,,2731,https://youtu.be/TX6vwU33x3E&t=2731,634,https://youtu.be/zy5PNh0MQfo&t=634,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,R,R,R,R,R,R,R,R",356.0,993921.0,Kosei Masuda,,1742666930.0,1742699330.0,ChangeUp,Y,-0.055,0.7275,117.71,622.28,514.3,82.65,1:48,1.0,2.2442818,5.2,14.6,13.2,19.1,-0.22,1.08,1.64,-0.14,34.26,993921@1742699330,V3P4DLKO0850A,0.89366764,-8.119667,untitled,,1742699326.0,519.0,1410150.0,tokyobbc_rapsodo Player_002,,1742666929.0,1742699329.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699329,untitled,1742699326.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
3,4.0,4.0,2025/3/23,2756.678594,1446.678595,1742699348,1.0,4.0,増田,Right,TOK,1,門間,Left,星槎道都大,1,Top,0,1,2,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,118.0,-0.03,0.032,,,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2508110003,ボール,,2754,https://youtu.be/TX6vwU33x3E&t=2754,656,https://youtu.be/zy5PNh0MQfo&t=656,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,R,R,R,R,R,R,R,R",355.0,993921.0,Kosei Masuda,,1742666952.0,1742699352.0,ChangeUp,N,-0.1975,0.1513,118.26,703.06,486.9,69.25,2:04,1.0,,1.0,9.6,9.1,18.1,-0.61,-0.84,1.6,-0.13,46.17,993921@1742699352,V3P4DLKO0850A,0.1471757,-10.268534,untitled,,1742699348.0,518.0,1410150.0,tokyobbc_rapsodo Player_002,,1742666952.0,1742699352.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699352,untitled,1742699349.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
4,5.0,5.0,2025/3/23,2775.092247,1465.092248,1742699367,1.0,5.0,増田,Right,TOK,1,門間,Left,星槎道都大,1,Top,0,2,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,,0.53,0.12,24.73834321,-30.84658741,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,"5,3","5,3A",2508110004,三ゴ,,2773,https://youtu.be/TX6vwU33x3E&t=2773,675,https://youtu.be/zy5PNh0MQfo&t=675,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,R,R,R,R,R,R,R,R",354.0,993921.0,Kosei Masuda,,1742666971.0,1742699371.0,ChangeUp,Y,0.1016,0.5675,131.46,1578.68,1557.4,98.65,0:34,1.0,,42.7,8.9,43.8,13.5,0.44,-1.8,1.6,-0.11,9.42,993921@1742699371,V3P4DLKO0850A,1.1373664,-6.0446362,untitled,,1742699367.0,517.0,1410150.0,tokyobbc_rapsodo Player_002,,1742666971.0,1742699371.0,135.9,131.5,-22.2,-41.9,3149.0222,1.1,0:00,1.0,-13.5,41.8,-143.3,,V3P4DLKO0850A,1410150@1742699371,untitled,1742699368.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
5,6.0,6.0,2025/3/23,2805.823917,1495.823919,1742699397,2.0,1.0,増田,Right,TOK,2,小山,Left,星槎道都大,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,103.0,0.003,-0.084,,,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2508110005,ボール,,2803,https://youtu.be/TX6vwU33x3E&t=2803,695,https://youtu.be/zy5PNh0MQfo&t=695,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,L,R,R,R,R,R,R,R",353.0,993921.0,Kosei Masuda,,1742667000.0,1742699400.0,Curveball,N,-0.4899,-0.8417,103.44,1684.79,1402.3,83.23,6:18,1.0,2.1108284,-34.9,-9.8,-54.5,-10.9,-0.84,-1.27,1.57,-0.17,33.66,993921@1742699400,V3P4DLKO0850A,-1.577007,-15.932524,untitled,,1742699396.0,516.0,1410150.0,tokyobbc_rapsodo Player_002,,1742667000.0,1742699400.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699400,untitled,1742699397.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
6,7.0,7.0,2025/3/23,2825.229785,1515.229787,1742699417,2.0,2.0,増田,Right,TOK,2,小山,Left,星槎道都大,1,Top,1,1,0,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,133.0,0.546,0.284,15.98918022,-150.1240073,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2508110006,ファール,,2823,https://youtu.be/TX6vwU33x3E&t=2823,714,https://youtu.be/zy5PNh0MQfo&t=714,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,L,R,R,R,R,R,R,R",352.0,993921.0,Kosei Masuda,,1742667021.0,1742699421.0,ChangeUp,Y,0.1611,0.7191,132.49,1680.81,1651.0,98.23,0:38,1.0,2.15209,40.5,13.2,45.9,16.3,0.32,-0.94,1.63,-0.06,10.8,993921@1742699421,V3P4DLKO0850A,1.3492777,-5.96559,untitled,,1742699417.0,515.0,1410150.0,tokyobbc_rapsodo Player_002,,1742667020.0,1742699420.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699420,untitled,1742699417.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
7,8.0,8.0,2025/3/23,2842.813993,1532.813994,1742699434,2.0,3.0,増田,Right,TOK,2,小山,Left,星槎道都大,1,Top,1,1,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,119.0,0.377,0.34,,,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2508110007,ボール,,2840,https://youtu.be/TX6vwU33x3E&t=2840,732,https://youtu.be/zy5PNh0MQfo&t=732,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,L,R,R,R,R,R,R,R",351.0,993921.0,Kosei Masuda,,1742667038.0,1742699438.0,ChangeUp,N,0.1893,1.146,119.26,629.66,507.0,80.51,1:48,1.0,2.2177067,9.4,3.4,12.8,18.3,1.11,2.54,1.6,-0.15,36.38,993921@1742699438,V3P4DLKO0850A,1.3678677,-6.319603,untitled,,1742699434.0,514.0,1410150.0,tokyobbc_rapsodo Player_002,,1742667038.0,1742699438.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699438,untitled,1742699435.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
8,9.0,9.0,2025/3/23,2855.673998,1545.673999,1742699447,2.0,4.0,増田,Right,TOK,2,小山,Left,星槎道都大,1,Top,1,2,1,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,133.0,0.53,0.296,18.51605289,-157.5205656,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2508110008,ファール,,2853,https://youtu.be/TX6vwU33x3E&t=2853,745,https://youtu.be/zy5PNh0MQfo&t=745,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,L,R,R,R,R,R,R,R",350.0,993921.0,Kosei Masuda,,1742667051.0,1742699451.0,ChangeUp,N,0.3324,0.935,133.07,1509.35,1472.3,97.54,0:40,1.0,2.1431103,36.2,10.9,42.4,15.9,1.13,-0.15,1.64,-0.09,12.73,993921@1742699451,V3P4DLKO0850A,1.9698298,-5.2153254,untitled,,1742699447.0,513.0,1410150.0,tokyobbc_rapsodo Player_002,,1742667050.0,1742699450.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699450,untitled,1742699447.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
9,10.0,10.0,2025/3/23,2874.124645,1564.124646,1742699466,2.0,5.0,増田,Right,TOK,2,小山,Left,星槎道都大,1,Top,1,2,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,134.0,0.606,0.204,23.23652577,-33.08485293,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,"5,3","5,3A",2508110009,三ゴ,,2872,https://youtu.be/TX6vwU33x3E&t=2872,763,https://youtu.be/zy5PNh0MQfo&t=763,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,L,R,R,R,R,R,R,R",349.0,993921.0,Kosei Masuda,,1742667070.0,1742699470.0,ChangeUp,N,0.2738,1.1166,133.73,1473.5,1323.4,89.81,0:48,1.0,2.1835518,25.8,-0.1,37.5,16.7,1.47,0.66,1.66,-0.13,26.09,993921@1742699470,V3P4DLKO0850A,1.4651746,-4.8616266,untitled,,1742699466.0,512.0,1410150.0,tokyobbc_rapsodo Player_002,,1742667070.0,1742699470.0,139.1,133.7,-24.1,-38.2,1276.5162,2.5,11:04,1.0,-28.8,111.0,-16.1,,V3P4DLKO0850A,1410150@1742699470,untitled,1742699467.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
10,11.0,11.0,2025/3/23,2906.312651,1596.312652,1742699498,3.0,1.0,増田,Right,TOK,3,田中,Right,星槎道都大,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,114.0,0.486,0.387,,,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2508110010,ボール,,2904,https://youtu.be/TX6vwU33x3E&t=2904,784,https://youtu.be/zy5PNh0MQfo&t=784,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,L,R,R,R,R,R,R,R",348.0,993921.0,Kosei Masuda,,1742667102.0,1742699502.0,Curveball,N,0.1255,1.0888,113.54,1799.47,1002.0,55.68,6:50,1.0,2.2761002,0.9,-4.8,-28.9,-16.1,1.0,3.14,1.61,-0.1,56.16,993921@1742699502,V3P4DLKO0850A,0.6258714,-7.6144967,untitled,,1742699498.0,511.0,1410150.0,tokyobbc_rapsodo Player_002,,1742667101.0,1742699501.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699501,untitled,1742699498.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
11,12.0,12.0,2025/3/23,2918.3186,1608.318602,1742699510,3.0,2.0,増田,Right,TOK,3,田中,Right,星槎道都大,1,Top,2,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,132.0,0.486,-0.124,,,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2508110011,見逃し,,2916,https://youtu.be/TX6vwU33x3E&t=2916,796,https://youtu.be/zy5PNh0MQfo&t=796,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,L,R,R,R,R,R,R,R",347.0,993921.0,Kosei Masuda,,1742667114.0,1742699514.0,ChangeUp,N,-0.345,0.7897,131.87,1498.11,1288.9,86.03,0:20,1.0,2.0431232,35.3,-1.9,39.9,7.0,-0.66,-0.53,1.64,-0.14,30.65,993921@1742699514,V3P4DLKO0850A,-0.80482215,-5.8369904,untitled,,1742699510.0,510.0,1410150.0,tokyobbc_rapsodo Player_002,,1742667114.0,1742699514.0,61.4,131.9,-32.5,-5.6,0.0,2.5,0:00,1.0,34.3,92.2,111.5,,V3P4DLKO0850A,1410150@1742699514,untitled,1742699511.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
12,13.0,13.0,2025/3/23,2932.63703,1622.637031,1742699524,3.0,3.0,増田,Right,TOK,3,田中,Right,星槎道都大,1,Top,2,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,116.0,1.15,-0.088,,,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2508110012,ボール,,2930,https://youtu.be/TX6vwU33x3E&t=2930,810,https://youtu.be/zy5PNh0MQfo&t=810,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,L,R,R,R,R,R,R,R",346.0,993921.0,Kosei Masuda,,1742667128.0,1742699528.0,Curveball,N,-0.0159,1.154,115.95,1739.75,787.5,45.27,6:24,1.0,2.417616,-0.3,-6.1,-24.2,-7.9,0.65,3.19,1.61,-0.13,63.09,993921@1742699528,V3P4DLKO0850A,0.16983996,-7.2595334,untitled,,1742699524.0,509.0,1410150.0,tokyobbc_rapsodo Player_002,,1742667127.0,1742699527.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699527,untitled,1742699524.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
13,14.0,14.0,2025/3/23,2946.200184,1636.200185,1742699538,3.0,4.0,増田,Right,TOK,3,田中,Right,星槎道都大,1,Top,2,2,1,Slider,FoulBall,Undefined,FlyBall,Undefined,0,0,,113.0,0.546,-0.076,39.2341473,80.0419294,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2508110013,ファール,,2944,https://youtu.be/TX6vwU33x3E&t=2944,824,https://youtu.be/zy5PNh0MQfo&t=824,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,L,R,R,R,R,R,R,R",345.0,993921.0,Kosei Masuda,,1742667142.0,1742699542.0,Curveball,Y,-0.0289,0.79,113.4,1744.28,986.8,56.58,6:52,1.0,,-12.9,-13.9,-28.6,-16.3,0.9,2.29,1.62,-0.13,55.55,993921@1742699542,V3P4DLKO0850A,-0.19066669,-8.969157,untitled,,1742699538.0,508.0,1410150.0,tokyobbc_rapsodo Player_002,,1742667142.0,1742699542.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742699542,untitled,1742699539.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
14,15.0,15.0,2025/3/23,2970.271502,1660.271503,1742699562,3.0,5.0,増田,Right,TOK,3,田中,Right,星槎道都大,1,Top,2,2,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,,0.582,-0.16,38.02106996,28.75236843,TOK,#217fc4,東大,星槎道都大,#2b28ff,道都大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,"4,3","4,3A",2508110014,二ゴ,,2968,https://youtu.be/TX6vwU33x3E&t=2968,848,https://youtu.be/zy5PNh0MQfo&t=848,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原,"酒井,中山,大原,工藤,杉浦,青貝,臼井,井之口,増田","門間,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","増田,杉浦,中山,井之口,臼井,青貝,工藤,酒井,大原","諸岡,小山,田中,鈴木健,鈴木惇,菊地,瀬野,千葉,上野","R,L,L,R,R,R,R,R,L,R","R,L,L,R,R,R,R,R,R,R",344.0,993921.0,Kosei Masuda,,1742667166.0,1742699566.0,Undefined,,,,,,,,,,,,,,,,,,,,993921@1742699566,V3P4DLKO0850A,,,untitled,,1742699562.0,507.0,1410150.0,tokyobbc_rapsodo Player_002,,1742667165.0,1742699565.0,113.6,0.0,1.0,22.7,2926.785,15.5,2:54,1.0,-8.3,87.2,58.4,,V3P4DLKO0850A,1410150@1742699565,untitled,1742699562.0,"Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Hayato, Usui","Naomasa, Aogai","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,
