count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,RelSpeed_opensen
0,1.0,1.0,2025/8/31,1943.520142,1163.520144,1756603567,1.0,1.0,角,Left,筑波大,1,安田,Left,TOK,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,128.74,0.994,0.008,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200000,見逃し,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Ken, Yasuda",,,,,,,,,,,,,,,,159.0,972671.0,TokyoBBC Left,,1756571172.0,1756603572.0,ChangeUp,N,-0.0095,1.067,128.74,2194.33,2145.8,97.79,10:54,1.0,2.0370197,58.7,-26.2,48.3,-30.9,2.79,-0.53,1.78,-0.53,-12.07,972671@1756603572,V3P4DLKO0850A,0.74455863,-4.9163,untitled,,1756603569.0,580.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571171.0,1756603571.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603571,untitled,1756603568.0,
1,2.0,2.0,2025/8/31,1952.705203,1172.705204,1756603576,1.0,2.0,角,Left,筑波大,1,安田,Left,TOK,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.57,0.4,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200001,ボール,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Ken, Yasuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,2025/8/31,1962.555747,1182.555749,1756603586,1.0,3.0,角,Left,筑波大,1,安田,Left,TOK,1,Top,0,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,130.88,0.838,0.02,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200002,見逃し,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Ken, Yasuda",,,,,,,,,,,,,,,,158.0,972671.0,TokyoBBC Left,,1756571191.0,1756603591.0,ChangeUp,Y,-0.154,0.7958,130.88,2160.14,2127.8,98.5,10:54,1.0,2.1676521,62.8,-21.1,47.7,-30.3,1.9,-1.81,1.76,-0.47,-9.93,972671@1756603591,V3P4DLKO0850A,0.23917413,-5.495963,untitled,,1756603588.0,579.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571191.0,1756603591.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603591,untitled,1756603588.0,
3,4.0,4.0,2025/8/31,1976.041183,1196.041185,1756603599,1.0,4.0,角,Left,筑波大,1,安田,Left,TOK,1,Top,0,1,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,133.16,0.642,0.164,41.04431181,-18.43494882,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,"6,3","6,3",2524200003,遊ゴ,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Ken, Yasuda",,,,,,,,,,,,,,,,157.0,972671.0,TokyoBBC Left,,1756571205.0,1756603605.0,ChangeUp,,,,133.16,2162.23,2000.3,92.51,11:04,1.0,2.028469,,,52.5,-27.6,3.31,-0.89,1.75,-0.52,-22.32,972671@1756603605,V3P4DLKO0850A,,,untitled,,1756603602.0,578.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571204.0,1756603604.0,118.7,,-27.5,-26.7,484.09875,283.1,11:12,1.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603604,untitled,1756603601.0,
4,5.0,5.0,2025/8/31,2008.341915,1228.341917,1756603631,2.0,1.0,角,Left,筑波大,2,酒井,Left,TOK,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,131.99,0.562,0.288,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200004,見逃し,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Suguru, Sakai",,,,,,,,,,,,,,,,156.0,972671.0,TokyoBBC Left,,1756571236.0,1756603636.0,ChangeUp,N,0.27,0.6676000000000001,131.99,2249.19,2210.5,98.28,10:56,1.0,2.0557613,66.9,-29.2,49.6,-31.4,3.83,-2.44,1.77,-0.51,-10.64,972671@1756603636,V3P4DLKO0850A,1.5630174,-5.705012,untitled,,1756603633.0,577.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571235.0,1756603635.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603635,untitled,1756603632.0,
5,6.0,6.0,2025/8/31,2018.21631,1238.216312,1756603641,2.0,2.0,角,Left,筑波大,2,酒井,Left,TOK,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,118.16,0.542,0.44,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200005,ボール,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Suguru, Sakai",,,,,,,,,,,,,,,,155.0,972671.0,TokyoBBC Left,,1756571246.0,1756603646.0,Slider,N,0.3939999999999999,0.5855,118.16,2065.77,118.1,5.72,00:50,1.0,2.0668793,20.3,10.4,1.5,4.1,2.94,-0.04,1.73,-0.53,-86.72,972671@1756603646,V3P4DLKO0850A,3.7400217,-8.739402,untitled,,1756603643.0,576.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571245.0,1756603645.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603645,untitled,1756603642.0,
6,7.0,7.0,2025/8/31,2029.589248,1249.589249,1756603653,2.0,3.0,角,Left,筑波大,2,酒井,Left,TOK,1,Top,1,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,116.36,0.898,0.467,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200006,ボール,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Suguru, Sakai",,,,,,,,,,,,,,,,154.0,972671.0,TokyoBBC Left,,1756571258.0,1756603658.0,Slider,N,0.3893,0.9287,116.36,2458.54,173.3,8.57,06:32,1.0,2.0188332,18.3,8.4,3.2,4.5,2.88,1.4,1.76,-0.5,16.99,972671@1756603658,V3P4DLKO0850A,3.531597,-8.036877,untitled,,1756603655.0,575.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571258.0,1756603658.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603658,untitled,1756603655.0,
7,8.0,8.0,2025/8/31,2044.592711,1264.592713,1756603668,2.0,4.0,角,Left,筑波大,2,酒井,Left,TOK,1,Top,1,2,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,132.67,0.522,0.232,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200007,見逃し,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Suguru, Sakai",,,,,,,,,,,,,,,,153.0,972671.0,TokyoBBC Left,,1756571273.0,1756603673.0,ChangeUp,N,0.317,0.4909,132.67,2231.62,2075.0,92.98,11:10,1.0,2.0942497,63.2,-23.6,49.8,-22.9,3.88,-2.95,1.75,-0.52,-21.59,972671@1756603673,V3P4DLKO0850A,2.0375545,-6.3249497,untitled,,1756603670.0,574.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571273.0,1756603673.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603673,untitled,1756603670.0,
8,9.0,9.0,2025/8/31,2061.945893,1281.945895,1756603685,2.0,5.0,角,Left,筑波大,2,酒井,Left,TOK,1,Top,1,2,2,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,133.83,1.23,0.06,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200008,空三振,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Suguru, Sakai",,,,,,,,,,,,,,,,152.0,972671.0,TokyoBBC Left,,1756571288.0,1756603688.0,ChangeUp,N,-0.1352,1.0720999999999998,133.83,2226.81,2179.6,97.88,10:56,1.0,2.034935,52.9,-26.6,53.1,-32.9,2.19,-0.59,1.76,-0.48,-11.82,972671@1756603688,V3P4DLKO0850A,0.1327282,-4.6158648,untitled,,1756603685.0,573.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571287.0,1756603687.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603687,untitled,1756603684.0,
9,10.0,10.0,2025/8/31,2083.55409,1303.554092,1756603707,3.0,1.0,角,Left,筑波大,3,大原,Right,TOK,1,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,134.39,0.223,0.34,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200009,ボール,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Kaiki, Ohara",,,,,,,,,,,,,,,,151.0,972671.0,TokyoBBC Left,,1756571312.0,1756603712.0,ChangeUp,N,0.1404,0.2319,134.39,2229.98,2212.2,99.2,10:54,1.0,2.0030994,58.4,-25.3,50.4,-32.3,3.19,-3.92,1.79,-0.5,-7.24,972671@1756603712,V3P4DLKO0850A,1.2427303,-7.433365,untitled,,1756603709.0,572.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571311.0,1756603711.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603711,untitled,1756603708.0,
10,11.0,11.0,2025/8/31,2100.262285,1320.262286,1756603723,3.0,2.0,角,Left,筑波大,3,大原,Right,TOK,1,Top,2,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,104.57,1.203,-0.092,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200010,ボール,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Kaiki, Ohara",,,,,,,,,,,,,,,,150.0,972671.0,TokyoBBC Left,,1756571329.0,1756603729.0,Slider,N,-0.418,1.1351,104.57,1841.5,763.0,41.43,04:30,1.0,1.9765148,-16.8,7.0,-19.5,21.1,-0.14,4.26,1.83,-0.45,-65.52,972671@1756603729,V3P4DLKO0850A,0.40038785,-10.160213,untitled,,1756603726.0,571.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571328.0,1756603728.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603728,untitled,1756603725.0,
11,12.0,12.0,2025/8/31,2111.872596,1331.872598,1756603735,3.0,3.0,角,Left,筑波大,3,大原,Right,TOK,1,Top,2,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.19,0.177,0.124,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200011,ボール,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Kaiki, Ohara",,,,,,,,,,,,,,,,149.0,972671.0,TokyoBBC Left,,1756571340.0,1756603740.0,ChangeUp,N,0.2998,0.2794,132.19,2219.05,2083.1,93.87,11:10,1.0,2.0278893,58.2,-23.5,50.3,-23.1,3.62,-3.55,1.77,-0.48,-20.16,972671@1756603740,V3P4DLKO0850A,1.8026677,-7.3981037,untitled,,1756603737.0,570.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571339.0,1756603739.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603739,untitled,1756603736.0,
12,13.0,13.0,2025/8/31,2126.768081,1346.768083,1756603750,3.0,4.0,角,Left,筑波大,3,大原,Right,TOK,1,Top,2,3,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,113.32,0.546,-0.112,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200012,見逃し,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Kaiki, Ohara",,,,,,,,,,,,,,,,148.0,972671.0,TokyoBBC Left,,1756571355.0,1756603755.0,Slider,Y,-0.2452,0.5617,113.32,1936.09,130.8,6.75,03:22,1.0,1.9980125,7.1,3.0,-2.4,6.8,0.82,0.76,1.73,-0.5,-86.13,972671@1756603755,V3P4DLKO0850A,1.0498503,-9.739651,untitled,,1756603752.0,569.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571355.0,1756603755.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603755,untitled,1756603752.0,
13,14.0,14.0,2025/8/31,2140.179876,1360.179878,1756603763,3.0,5.0,角,Left,筑波大,3,大原,Right,TOK,1,Top,2,3,1,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,118.66,0.27,-0.04,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524200013,四球,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Kaiki, Ohara",,,,,,,,,,,,,,,,147.0,972671.0,TokyoBBC Left,,1756571368.0,1756603768.0,Slider,N,0.0418,0.2516,118.66,2141.68,248.9,11.62,00:00,1.0,2.1140804,13.3,9.9,5.4,2.5,1.72,-1.11,1.74,-0.54,-83.33,972671@1756603768,V3P4DLKO0850A,2.4925117,-10.14676,untitled,,1756603765.0,568.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571367.0,1756603767.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603767,untitled,1756603764.0,
14,15.0,15.0,2025/8/31,2175.769265,1395.769267,1756603799,4.0,1.0,角,Left,筑波大,4,工藤,Right,TOK,1,Top,2,0,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,132.25,,,12.80725271,151.0735742,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,1,大原,,,Undefined,,,,,,2524200014,ファール,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Yudai, Kudo","Kaiki, Ohara",,,,,,,,,,,,,,,146.0,972671.0,TokyoBBC Left,,1756571404.0,1756603804.0,ChangeUp,Y,0.0308999999999999,0.8615999999999999,132.25,2226.69,2189.5,98.33,10:54,1.0,2.075367,60.0,-27.2,48.2,-31.3,2.75,-1.64,1.8,-0.46,-10.48,972671@1756603804,V3P4DLKO0850A,0.62129,-5.421409,untitled,,1756603801.0,567.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571404.0,1756603804.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603804,untitled,1756603801.0,
15,,,2025/8/31,2195.18043,1415.180432,1756603818,,,角,Left,筑波大,4,工藤,Right,TOK,1,Top,2,0,1,,,,,,0,0,,,,,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,1,大原,,,PickOff,,,,"1,3","1,3",2524200015,牽制,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Yudai, Kudo","Kaiki, Ohara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16.0,16.0,2025/8/31,2205.670616,1425.670618,1756603829,4.0,2.0,角,Left,筑波大,4,工藤,Right,TOK,1,Top,2,0,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,132.99,0.906,-0.28,,,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,1,大原,,,Nothing,,,,,,2524200016,空振り,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Yudai, Kudo","Kaiki, Ohara",,,,,,,,,,,,,,,145.0,972671.0,TokyoBBC Left,,1756571434.0,1756603834.0,ChangeUp,N,-0.2904,1.0058,132.99,2156.95,2039.3,94.54,10:46,1.0,2.06703,55.7,-26.6,43.0,-31.9,1.79,-0.94,1.78,-0.52,-19.01,972671@1756603834,V3P4DLKO0850A,-0.29227605,-4.9164424,untitled,,1756603831.0,566.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571434.0,1756603834.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603834,untitled,1756603831.0,
17,17.0,17.0,2025/8/31,2225.236006,1445.236007,1756603848,4.0,3.0,角,Left,筑波大,4,工藤,Right,TOK,1,Top,2,0,2,Fastball,InPlay,Undefined,LineDrive,Single,0,0,,132.69,,,74.49744643,33.56631873,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,1,大原,,,Undefined,,,,"9,5","9,5",2524200017,右安,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Yudai, Kudo","Kaiki, Ohara",,,,,,,,,,,,,,,144.0,972671.0,TokyoBBC Left,,1756571454.0,1756603854.0,ChangeUp,N,-0.4047,0.8661,132.69,2195.14,2020.2,92.03,11:08,1.0,2.0955124,51.9,-23.2,47.5,-23.1,1.13,-1.44,1.8,-0.49,-23.03,972671@1756603854,V3P4DLKO0850A,-0.67472565,-5.5937934,untitled,,1756603851.0,565.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571453.0,1756603853.0,138.5,,5.4,14.7,1590.5837,41.2,11:30,1.0,94.0,59.9,92.4,,V3P4DLKO0850A,1410206@1756603853,untitled,1756603850.0,
18,18.0,18.0,2025/8/31,2280.51195,1500.511952,1756603904,5.0,1.0,角,Left,筑波大,5,横井,Right,TOK,1,Top,2,0,0,Slider,FoulBall,Undefined,FlyBall,Undefined,0,0,,112.73,0.586,-0.004,36.9568372,106.6992442,筑波大,#73fdff,筑波大,TOK,#217fc4,東大,TodaiStadium,A,夏季オープン戦,Normal,"1,3",工藤,,大原,Undefined,,,,,,2524200018,ファール,,,,,,吉田,西川,古賀,金子,原,松本,濱野,長野,"山﨑,吉田,西川,古賀,金子,原,松本,濱野,長野","安田,酒井,大原,工藤,横井,秋元,門田,明石,小村","角,吉田,西川,古賀,金子,原,松本,濱野,長野","高橋,明石,横井,秋元,門田,小村,工藤,酒井,安田","R,R,L,R,R,L,L,R,R,R","L,L,L,R,R,R,R,R,L,L","Shuntaro, Yokoi","Yudai, Kudo",,"Kaiki, Ohara",,,,,,,,,,,,,143.0,972671.0,TokyoBBC Left,,1756571509.0,1756603909.0,Slider,Y,0.0655,0.6459,112.73,1844.95,203.4,11.03,11:12,1.0,1.9952011,21.8,13.1,4.5,0.1,1.57,0.49,1.78,-0.51,-83.67,972671@1756603909,V3P4DLKO0850A,2.5853908,-9.284178,untitled,,1756603906.0,564.0,1410206.0,tokyobbc_rapsodo Player_052,,1756571508.0,1756603908.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410206@1756603908,untitled,1756603905.0,
