count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,error_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,日付,バット,利き腕,スイング条件,オンプレーンスコア,体とバットの角度スコア,体の回転による加速スコア,バットスピード (km/h),体の回転によるバットの加速の大きさ（初動） (G),オンプレーンの効率 (%),アッパースイング度 (°), 体とバットの角度（構え） (°), 体とバットの角度（インパクト） (°), バット角度 (°),パワー (kW),スイング時間 (秒),手の最大スピード (km/h),打球スピード (km/h),打球角度 (°),推定飛距離 (m),RelSpeed_opensen
0,1.0,1.0,2025/6/15,2775.324589,1140.32459,1749963768,1.0,1.0,中根,Right,TOK,1,桒田,Right,県千葉,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,127.27,0.87,0.192,,,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2516530000,見逃し,,2773,https://youtu.be/XzET5Oyn6gk&t=2773,780,https://youtu.be/SqNaUdkFYQc&t=780,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,L","R,R,R,R,R,R,R,R,R,R","Nakane, Shinjiro","Kohei, Matsumoto","Hikaru, Ishikawa","Abe, Senji","Shunsuke, Fujio","Otera, Kotaro","Yuna, Okabayashi","Murao, Yusaku","Komino, Harunobu",,,,,,,,558.0,1410180.0,Nakane Shinjiro,,1749931372.0,1749963772.0,Fastball,N,0.4552,0.9557,127.27,2069.21,1478.0,71.43,1:16,1.0,2.2843208,9.5,-8.4,30.1,24.1,-1.07,0.54,1.53,0.5,44.42,1410180@1749963772,V3P4DLKO0850A,-1.7193136,-7.024388,untitled,,1749963767.0,364.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931372.0,1749963772.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410222@1749963772,untitled,1749963767.0,,,,,,,,,,,,,,,,,,,,,127.0
1,2.0,2.0,2025/6/15,2787.411588,1152.411591,1749963780,1.0,2.0,中根,Right,TOK,1,桒田,Right,県千葉,1,Top,0,0,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,,,0.858,0.196,43.57502314,-19.7842787,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,"6,3","6,3",2516530001,遊ゴ,,2785,https://youtu.be/XzET5Oyn6gk&t=2785,792,https://youtu.be/SqNaUdkFYQc&t=792,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,L","R,R,R,R,R,R,R,R,R,R","Nakane, Shinjiro","Kohei, Matsumoto","Hikaru, Ishikawa","Abe, Senji","Shunsuke, Fujio","Otera, Kotaro","Yuna, Okabayashi","Murao, Yusaku","Komino, Harunobu",,,,,,,,557.0,1410180.0,Nakane Shinjiro,,1749931384.0,1749963784.0,Undefined,,,,,,,,,,,,,,,,,,,,1410180@1749963784,V3P4DLKO0850A,,,untitled,,1749963779.0,363.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931383.0,1749963783.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410222@1749963783,untitled,1749963778.0,,,,,,,,,,,,,,,,,,,,,113.0
2,3.0,3.0,2025/6/15,2816.38336,1181.383362,1749963809,2.0,1.0,中根,Right,TOK,2,白井,Left,県千葉,1,Top,1,0,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,132.38,,,86.00729914,18.18637867,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,9,9,2516530002,右飛,,2814,https://youtu.be/XzET5Oyn6gk&t=2814,813,https://youtu.be/SqNaUdkFYQc&t=813,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,L","R,R,L,R,R,R,R,R,R,R","Nakane, Shinjiro","Kohei, Matsumoto","Hikaru, Ishikawa","Abe, Senji","Shunsuke, Fujio","Otera, Kotaro","Yuna, Okabayashi","Murao, Yusaku","Komino, Harunobu",,,,,,,,556.0,1410180.0,Nakane Shinjiro,,1749931413.0,1749963813.0,Fastball,Y,0.0134,0.7651,132.38,2155.46,1717.6,79.68,1:02,1.0,2.0942287,30.9,7.5,38.0,23.5,-2.06,-0.11,1.52,0.51,37.17,1410180@1749963813,V3P4DLKO0850A,-1.4856378,-5.6335483,untitled,,1749963808.0,362.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931412.0,1749963812.0,128.3,132.4,50.7,19.9,1641.3276,81.7,0:00,1.0,10.7,121.6,65.4,,V3P4DLKO0850A,1410222@1749963812,untitled,1749963807.0,,,,,,,,,,,,,,,,,,,,,
3,4.0,4.0,2025/6/15,2845.705877,1210.705878,1749963838,3.0,1.0,中根,Right,TOK,3,加賀谷,Left,県千葉,1,Top,2,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,101.09,0.91,0.533,,,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2516530003,ボール,,2843,https://youtu.be/XzET5Oyn6gk&t=2843,832,https://youtu.be/SqNaUdkFYQc&t=832,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R","Nakane, Shinjiro","Kohei, Matsumoto","Hikaru, Ishikawa","Abe, Senji","Shunsuke, Fujio","Otera, Kotaro","Yuna, Okabayashi","Murao, Yusaku","Komino, Harunobu",,,,,,,,555.0,1410180.0,Nakane Shinjiro,,1749931443.0,1749963843.0,Curveball,N,1.0833,1.4947,101.09,1879.81,1409.2,74.96,7:14,1.0,,3.1,-19.6,-35.6,-29.0,2.6,6.13,1.54,0.57,41.44,1410180@1749963843,V3P4DLKO0850A,1.0390629,-7.4604764,untitled,,1749963838.0,361.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931442.0,1749963842.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410222@1749963842,untitled,1749963837.0,,,,,,,,,,,,,,,,,,,,,96.0
4,5.0,5.0,2025/6/15,2860.278502,1225.278505,1749963853,3.0,2.0,中根,Right,TOK,3,加賀谷,Left,県千葉,1,Top,2,1,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,130.52,,,89.06893904,27.8380812,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,9,9,2516530004,右飛,,2858,https://youtu.be/XzET5Oyn6gk&t=2858,847,https://youtu.be/SqNaUdkFYQc&t=847,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R","Nakane, Shinjiro","Kohei, Matsumoto","Hikaru, Ishikawa","Abe, Senji","Shunsuke, Fujio","Otera, Kotaro","Yuna, Okabayashi","Murao, Yusaku","Komino, Harunobu",,,,,,,,554.0,1410180.0,Nakane Shinjiro,,1749931455.0,1749963855.0,Fastball,N,0.1794,1.0835,130.52,2129.82,1539.0,72.26,1:14,1.0,2.0833397,10.2,4.2,31.9,24.9,-2.21,0.88,1.53,0.55,43.73,1410180@1749963855,V3P4DLKO0850A,-1.8856283,-6.253069,untitled,,1749963850.0,360.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931455.0,1749963855.0,140.2,130.5,32.2,26.4,3203.2058,98.9,11:56,1.0,-4.9,100.0,-1.7,,V3P4DLKO0850A,1410222@1749963855,untitled,1749963850.0,,,,,,,,,,,,,,,,,,,,,
5,1.0,6.0,2025/6/15,2990.518212,1355.518213,1749963983,1.0,1.0,加賀谷,Left,県千葉,1,岡林,Left,TOK,1,Bottom,0,0,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,138.4,0.846,0.136,46.36150969,-18.55023193,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,"6,3","6,3",2516530005,遊ゴ,,2988,https://youtu.be/XzET5Oyn6gk&t=2988,875,https://youtu.be/SqNaUdkFYQc&t=875,菅原,北原,桒田,青木,出口,杉中,白井,内山,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R",,,,,,,,,,"Yuna, Okabayashi",,,,,,,113.0,972671.0,TokyoBBC Left,,1749931588.0,1749963988.0,ChangeUp,Y,-0.0478,0.7548,138.4,2331.83,2205.8,94.6,10:50,1.0,2.3745346,56.2,-23.2,43.8,-30.2,2.37,-2.01,1.68,-0.46,-18.92,972671@1749963988,V3P4DLKO0850A,0.53154474,-4.9820147,untitled,,1749963983.0,354.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931587.0,1749963987.0,79.5,138.4,7.3,-6.6,1571.6108,695.0,9:08,1.0,13.6,72.5,0.0,,V3P4DLKO0850A,1410222@1749963987,untitled,1749963982.0,,,,,,,,,,,,,,,,,,,,,137.0
6,2.0,7.0,2025/6/15,3018.287633,1383.287634,1749964011,2.0,1.0,加賀谷,Left,県千葉,2,小美野,Left,TOK,1,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,134.05,0.323,0.056,,,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2516530006,ボール,,3016,https://youtu.be/XzET5Oyn6gk&t=3016,896,https://youtu.be/SqNaUdkFYQc&t=896,菅原,北原,桒田,青木,出口,杉中,白井,内山,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R",,,,,,,,,,"Komino, Harunobu",,,,,,,112.0,972671.0,TokyoBBC Left,,1749931615.0,1749964015.0,ChangeUp,Y,-0.1485,0.4824,134.05,2333.08,2293.8,98.32,10:54,1.0,2.4100533,48.3,-32.1,46.5,-30.4,2.28,-2.77,1.64,-0.45,-10.53,972671@1749964015,V3P4DLKO0850A,-0.11345492,-5.7520394,untitled,,1749964010.0,353.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931614.0,1749964014.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410222@1749964014,untitled,1749964009.0,,,,,,,,,,,,,,,,,,,,,137.0
7,3.0,8.0,2025/6/15,3029.732346,1394.732347,1749964022,2.0,2.0,加賀谷,Left,県千葉,2,小美野,Left,TOK,1,Bottom,1,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,139.16,0.826,0.076,,,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2516530007,空振り,,3027,https://youtu.be/XzET5Oyn6gk&t=3027,908,https://youtu.be/SqNaUdkFYQc&t=908,菅原,北原,桒田,青木,出口,杉中,白井,内山,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R",,,,,,,,,,"Komino, Harunobu",,,,,,,111.0,972671.0,TokyoBBC Left,,1749931625.0,1749964025.0,ChangeUp,Y,-0.085,0.7181,139.16,2338.38,2305.6,98.6,10:50,1.0,1.8662663,57.1,-35.7,49.7,-34.9,2.61,-1.81,1.65,-0.46,-9.61,972671@1749964025,V3P4DLKO0850A,-0.12494483,-5.0073013,untitled,,1749964020.0,352.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931624.0,1749964024.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410222@1749964024,untitled,1749964019.0,,,,,,,,,,,,,,,,,,,,,138.0
8,4.0,9.0,2025/6/15,3039.171668,1404.17167,1749964032,2.0,3.0,加賀谷,Left,県千葉,2,小美野,Left,TOK,1,Bottom,1,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.942,0.413,,,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2516530008,ボール,,3037,https://youtu.be/XzET5Oyn6gk&t=3037,917,https://youtu.be/SqNaUdkFYQc&t=917,菅原,北原,桒田,青木,出口,杉中,白井,内山,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R",,,,,,,,,,"Komino, Harunobu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0
9,5.0,10.0,2025/6/15,3050.35969,1415.359691,1749964043,2.0,4.0,加賀谷,Left,県千葉,2,小美野,Left,TOK,1,Bottom,1,2,1,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,138.05,0.61,0.18,84.86608263,3.986292844,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,8,8,2516530009,中安,,3048,https://youtu.be/XzET5Oyn6gk&t=3048,928,https://youtu.be/SqNaUdkFYQc&t=928,菅原,北原,桒田,青木,出口,杉中,白井,内山,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R",,,,,,,,,,"Komino, Harunobu",,,,,,,110.0,972671.0,TokyoBBC Left,,1749931648.0,1749964048.0,ChangeUp,Y,-0.0464,0.6528,138.05,2338.13,2290.7,97.97,10:56,1.0,2.1567383,51.8,-26.6,48.5,-30.3,2.44,-1.98,1.63,-0.45,-11.56,972671@1749964048,V3P4DLKO0850A,0.38700318,-5.2796364,untitled,,1749964043.0,351.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931647.0,1749964047.0,135.9,138.1,6.3,5.8,229.62886,32.0,4:04,1.0,6.0,66.2,21.5,,V3P4DLKO0850A,1410222@1749964047,untitled,1749964042.0,,,,,,,,,,,,,,,,,,,,,138.0
10,6.0,11.0,2025/6/15,3080.583113,1445.583115,1749964073,3.0,1.0,加賀谷,Left,県千葉,3,石川,Right,TOK,1,Bottom,1,0,0,Fastball,InPlay,Undefined,Popup,Single,0,0,,136.0,0.578,-0.204,72.26235571,32.32768406,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,1,小美野,,,Undefined,,,,9,9,2516530010,右安,,3078,https://youtu.be/XzET5Oyn6gk&t=3078,954,https://youtu.be/SqNaUdkFYQc&t=954,菅原,北原,桒田,青木,出口,杉中,白井,内山,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R",,,,,,,,,,"Hikaru, Ishikawa","Komino, Harunobu",,,,,,109.0,972671.0,TokyoBBC Left,,1749931679.0,1749964079.0,ChangeUp,Y,-0.2244,0.6192,136.0,2269.54,2142.1,94.39,10:54,1.0,,59.1,-31.6,44.0,-28.5,2.29,-2.34,1.65,-0.53,-19.29,972671@1749964079,V3P4DLKO0850A,-0.24590755,-5.4567513,untitled,,1749964074.0,350.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931678.0,1749964078.0,106.0,136.0,31.4,27.0,3181.4143,67.7,1:06,1.0,23.5,62.5,-7.5,,V3P4DLKO0850A,1410222@1749964078,untitled,1749964073.0,,,,,,,,,,,,,,,,,,,,,129.0
11,7.0,12.0,2025/6/15,3117.842054,1482.842055,1749964110,4.0,1.0,加賀谷,Left,県千葉,4,山本,Right,TOK,1,Bottom,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,103.98,,,,,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,"1,2",石川,小美野,,Nothing,,,,,,2516530011,ボール,,3115,https://youtu.be/XzET5Oyn6gk&t=3115,982,https://youtu.be/SqNaUdkFYQc&t=982,菅原,北原,桒田,青木,出口,杉中,白井,内山,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R",,,,,,,,,,"Akira, Yamamoto","Hikaru, Ishikawa","Komino, Harunobu",,,,,108.0,972671.0,TokyoBBC Left,,1749931711.0,1749964111.0,Curveball,N,0.0945,0.2978,103.98,1668.63,879.5,52.71,5:44,0.5,,-55.4,46.2,-28.4,6.3,1.98,1.83,1.53,-0.48,-58.19,972671@1749964111,V3P4DLKO0850A,5.567813,-14.286467,untitled,,1749964106.0,349.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931710.0,1749964110.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410222@1749964110,untitled,1749964105.0,,,,,,,,,,,,,,,,,,,,,103.0
12,8.0,13.0,2025/6/15,3125.619867,1490.619869,1749964118,4.0,2.0,加賀谷,Left,県千葉,4,山本,Right,TOK,1,Bottom,1,1,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,102.43,0.23,0.224,,,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,"1,2",石川,小美野,,Nothing,,,,,,2516530012,ボール,,3123,https://youtu.be/XzET5Oyn6gk&t=3123,990,https://youtu.be/SqNaUdkFYQc&t=990,菅原,北原,桒田,青木,出口,杉中,白井,内山,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R",,,,,,,,,,"Akira, Yamamoto","Hikaru, Ishikawa","Komino, Harunobu",,,,,107.0,972671.0,TokyoBBC Left,,1749931723.0,1749964123.0,Curveball,N,0.7208,-0.8555,102.43,1747.66,1163.4,66.57,5:46,1.0,2.1752338,-16.9,14.1,-43.3,7.6,3.94,-1.67,1.61,-0.43,-48.26,972671@1749964123,V3P4DLKO0850A,5.0424714,-16.306843,untitled,,1749964118.0,348.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931722.0,1749964122.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410222@1749964122,untitled,1749964117.0,,,,,,,,,,,,,,,,,,,,,102.0
13,9.0,14.0,2025/6/15,3147.413657,1512.413658,1749964140,4.0,3.0,加賀谷,Left,県千葉,4,山本,Right,TOK,1,Bottom,1,2,0,Slider,FoulBall,Undefined,GroundBall,Undefined,0,0,,108.87,0.882,0.104,28.34315551,-87.61405597,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,"1,2",石川,小美野,,Undefined,,,,,,2516530013,ファール,,3145,https://youtu.be/XzET5Oyn6gk&t=3145,1011,https://youtu.be/SqNaUdkFYQc&t=1011,菅原,北原,桒田,青木,出口,杉中,白井,内山,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R",,,,,,,,,,"Akira, Yamamoto","Hikaru, Ishikawa","Komino, Harunobu",,,,,106.0,972671.0,TokyoBBC Left,,1749931745.0,1749964145.0,Slider,Y,0.133,0.8249,108.87,2098.26,551.2,26.27,5:28,1.0,2.156416,-18.8,31.6,-17.5,7.4,1.33,3.6,1.54,-0.55,-74.77,972671@1749964145,V3P4DLKO0850A,3.7567813,-9.527905,untitled,,1749964140.0,347.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931744.0,1749964144.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410222@1749964144,untitled,1749964139.0,,,,,,,,,,,,,,,,,,,,,108.0
14,10.0,15.0,2025/6/15,3172.096852,1537.096853,1749964165,4.0,4.0,加賀谷,Left,県千葉,4,山本,Right,TOK,1,Bottom,1,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,137.6,0.203,-0.116,,,TOK,#217fc4,東大,県千葉,#040404,県千葉,TodaiStadium,B,夏季オープン戦,Normal,"1,2",石川,小美野,,Nothing,,,,,,2516530014,ボール,,3170,https://youtu.be/XzET5Oyn6gk&t=3170,1030,https://youtu.be/SqNaUdkFYQc&t=1030,菅原,北原,桒田,青木,出口,杉中,白井,内山,"岡林,小美野,石川,山本,藤尾,松本康,村尾,阿部,大寺","桒田,白井,加賀谷,北原,内山,面谷,出口,川端,岩佐","中根,松本康,石川,阿部,藤尾,大寺,岡林,村尾,小美野","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,R,R,R,R,L","R,R,L,L,R,R,R,R,R,R",,,,,,,,,,"Akira, Yamamoto","Hikaru, Ishikawa","Komino, Harunobu",,,,,105.0,972671.0,TokyoBBC Left,,1749931769.0,1749964169.0,ChangeUp,N,-0.1143,0.1039,137.6,2363.79,2336.2,98.83,10:56,1.0,2.394043,57.6,-30.4,48.1,-30.5,2.06,-4.35,1.63,-0.37,-8.76,972671@1749964169,V3P4DLKO0850A,-0.30007133,-6.973158,untitled,,1749964164.0,346.0,1410222.0,tokyobbc_rapsodo Player_039,,1749931768.0,1749964168.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410222@1749964168,untitled,1749964163.0,,,,,,,,,,,,,,,,,,,,,137.0
