count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,csv_path
0,1.0,1.0,2025/3/8,1166.011937,826.0119379,1741396976,1.0,1.0,増田,Right,TOK,1,磯部,Right,横浜金港クラブ,1,Top,0,0,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,132.0,0.634,-0.092,6.381506682,-146.3099325,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2506600000,ファール,,1164,https://youtu.be/8nzGCbkleis&t=1164,613,https://youtu.be/RIOsgIq2m3k&t=613,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,124.0,993921.0,Kosei Masuda,,1741364579.0,1741396979.0,ChangeUp,Y,-0.0972,0.7897,131.96,1624.82,1613.7,99.31,0:32,1.0,1.7993813,52.2,9.3,48.8,15.1,-0.24,-0.97,1.6,-0.12,-6.71,993921@1741396979,V3P4DLKO0850A,0.4539353,-4.971112,untitled,,1741396979.0,426.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364578.0,1741396978.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741396978,untitled,1741396978.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
1,2.0,2.0,2025/3/8,1180.399766,840.3997669,1741396990,1.0,2.0,増田,Right,TOK,1,磯部,Right,横浜金港クラブ,1,Top,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,130.0,0.806,-0.48,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506600001,ボール,,1178,https://youtu.be/8nzGCbkleis&t=1178,620,https://youtu.be/RIOsgIq2m3k&t=620,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,123.0,993921.0,Kosei Masuda,,1741364595.0,1741396995.0,ChangeUp,N,-0.4516,1.1486,130.17,1675.46,1641.9,97.99,0:34,1.0,2.1313896,56.2,11.4,46.5,14.6,-1.51,0.31,1.58,-0.15,11.49,993921@1741396995,V3P4DLKO0850A,-0.6221431,-3.7050693,untitled,,1741396995.0,425.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364594.0,1741396994.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741396994,untitled,1741396994.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
2,3.0,3.0,2025/3/8,1193.043544,853.0435448,1741397003,1.0,3.0,増田,Right,TOK,1,磯部,Right,横浜金港クラブ,1,Top,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.0,0.197,-0.58,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506600002,ボール,,1191,https://youtu.be/8nzGCbkleis&t=1191,632,https://youtu.be/RIOsgIq2m3k&t=632,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,122.0,993921.0,Kosei Masuda,,1741364607.0,1741397007.0,ChangeUp,N,-0.4839,0.1963,131.7,1724.48,1682.0,97.54,0:34,1.0,2.3395557,44.3,7.7,46.5,15.0,-1.53,-2.92,1.55,-0.14,12.74,993921@1741397007,V3P4DLKO0850A,-0.93648237,-7.169474,untitled,,1741397007.0,424.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364606.0,1741397006.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397006,untitled,1741397006.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
3,4.0,4.0,2025/3/8,1208.766981,868.7669818,1741397019,1.0,4.0,増田,Right,TOK,1,磯部,Right,横浜金港クラブ,1,Top,0,2,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,121.0,0.137,-0.272,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506600003,ボール,,1206,https://youtu.be/8nzGCbkleis&t=1206,648,https://youtu.be/RIOsgIq2m3k&t=648,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,121.0,993921.0,Kosei Masuda,,1741364624.0,1741397024.0,ChangeUp,N,-0.4687,0.4909,120.55,794.35,639.0,80.44,1:08,1.0,1.9110546,21.2,3.7,22.7,14.9,-1.2,-0.18,1.58,-0.17,36.45,993921@1741397024,V3P4DLKO0850A,-0.9258794,-7.9381375,untitled,,1741397024.0,423.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364623.0,1741397023.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397023,untitled,1741397023.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
4,5.0,5.0,2025/3/8,1222.499293,882.4992938,1741397032,1.0,5.0,増田,Right,TOK,1,磯部,Right,横浜金港クラブ,1,Top,0,3,1,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,122.0,0.514,0.088,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506600004,見逃し,,1220,https://youtu.be/8nzGCbkleis&t=1220,662,https://youtu.be/RIOsgIq2m3k&t=662,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,120.0,993921.0,Kosei Masuda,,1741364637.0,1741397037.0,ChangeUp,Y,-0.0584,0.5493,122.43,869.93,706.5,81.22,1:34,1.0,2.2199516,17.4,2.4,19.1,20.9,0.22,-0.03,1.56,-0.14,35.69,993921@1741397037,V3P4DLKO0850A,0.40405163,-7.7001987,untitled,,1741397037.0,422.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364637.0,1741397037.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397037,untitled,1741397037.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
5,6.0,6.0,2025/3/8,1236.71542,896.7154198,1741397047,1.0,6.0,増田,Right,TOK,1,磯部,Right,横浜金港クラブ,1,Top,0,3,2,Splitter,BallCalled,Walk,Undefined,Undefined,0,0,,123.0,0.017,0.0,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506600005,四球,,1234,https://youtu.be/8nzGCbkleis&t=1234,676,https://youtu.be/RIOsgIq2m3k&t=676,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,119.0,993921.0,Kosei Masuda,,1741364651.0,1741397051.0,Cutter,N,-0.1806,0.0682,123.36,1050.88,599.4,57.04,0:42,1.0,2.3517342,15.6,-2.8,20.1,7.3,-0.06,-1.68,1.53,-0.14,55.22,993921@1741397051,V3P4DLKO0850A,-0.27768785,-9.439785,untitled,,1741397051.0,421.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364650.0,1741397050.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397050,untitled,1741397050.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
6,7.0,7.0,2025/3/8,1265.798814,925.7988138,1741397076,2.0,1.0,増田,Right,TOK,2,高橋海,Left,横浜金港クラブ,1,Top,0,0,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,132.0,0.922,0.264,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,1,磯部,,,Nothing,,,,,,2506600006,空振り,,1263,https://youtu.be/8nzGCbkleis&t=1263,696,https://youtu.be/RIOsgIq2m3k&t=696,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,118.0,993921.0,Kosei Masuda,,1741364680.0,1741397080.0,ChangeUp,Y,0.1318,0.9106,131.91,1698.14,1685.7,99.27,0:40,1.0,1.8641663,55.7,24.4,48.9,18.0,-0.14,-0.46,1.58,-0.07,6.94,993921@1741397080,V3P4DLKO0850A,1.728807,-4.572492,untitled,,1741397080.0,420.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364679.0,1741397079.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397079,untitled,1741397079.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
7,,,2025/3/8,1281.26614,941.2661397,1741397091,,,増田,Right,TOK,2,高橋海,Left,横浜金港クラブ,1,Top,0,0,1,,,,,,0,0,,,,,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,1,磯部,,,PickOff,,,,"1,3","1,3",2506600007,牽制,,1279,https://youtu.be/8nzGCbkleis&t=1279,711,https://youtu.be/RIOsgIq2m3k&t=711,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
8,8.0,8.0,2025/3/8,1292.619341,952.6193416,1741397102,2.0,2.0,増田,Right,TOK,2,高橋海,Left,横浜金港クラブ,1,Top,0,0,1,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,122.0,0.09,-0.124,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,1,磯部,,,Nothing,,,,,,2506600008,空振り,,1290,https://youtu.be/8nzGCbkleis&t=1290,723,https://youtu.be/RIOsgIq2m3k&t=723,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,117.0,993921.0,Kosei Masuda,,1741364707.0,1741397107.0,ChangeUp,N,-0.0711,0.2018,121.69,862.14,575.5,66.75,1:30,1.0,2.116993,-2.4,0.8,15.6,15.7,-0.03,-0.34,1.56,-0.07,48.13,993921@1741397107,V3P4DLKO0850A,0.02767824,-10.039256,untitled,,1741397107.0,419.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364706.0,1741397106.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397106,untitled,1741397106.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
9,9.0,9.0,2025/3/8,1309.743231,969.7432318,1741397120,2.0,3.0,増田,Right,TOK,2,高橋海,Left,横浜金港クラブ,1,Top,0,0,2,Splitter,InPlay,Undefined,GroundBall,Out,2,0,,122.0,0.486,-0.128,25.52602673,33.69006753,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,1,磯部,,,Undefined,,,,"3,6","3A,6T",2506600009,一ゴ併,,1307,https://youtu.be/8nzGCbkleis&t=1307,740,https://youtu.be/RIOsgIq2m3k&t=740,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,116.0,993921.0,Kosei Masuda,,1741364724.0,1741397124.0,ChangeUp,N,0.064,0.4168,122.41,827.9,640.8,77.39,1:42,1.0,2.207716,0.9,5.4,15.7,19.5,0.51,0.14,1.55,-0.13,39.29,993921@1741397124,V3P4DLKO0850A,0.9258797,-8.780092,untitled,,1741397124.0,418.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364723.0,1741397123.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397123,untitled,1741397123.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
10,10.0,10.0,2025/3/8,1347.402525,1007.402526,1741397157,3.0,1.0,増田,Right,TOK,3,高橋優,Left,横浜金港クラブ,1,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.0,0.75,-1.173,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506600010,ボール,,1345,https://youtu.be/8nzGCbkleis&t=1345,761,https://youtu.be/RIOsgIq2m3k&t=761,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,115.0,993921.0,Kosei Masuda,,1741364761.0,1741397161.0,ChangeUp,N,-0.8619,0.9625,131.71,1616.69,1582.2,97.87,0:38,1.0,1.9169521,53.8,10.6,46.4,16.4,-3.11,-0.4,1.6,-0.09,11.85,993921@1741397161,V3P4DLKO0850A,-2.3108375,-4.3322515,untitled,,1741397161.0,417.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364761.0,1741397161.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397161,untitled,1741397161.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
11,11.0,11.0,2025/3/8,1372.893527,1032.893527,1741397183,3.0,2.0,増田,Right,TOK,3,高橋優,Left,横浜金港クラブ,1,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,131.0,0.538,0.673,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506600011,ボール,,1370,https://youtu.be/8nzGCbkleis&t=1370,786,https://youtu.be/RIOsgIq2m3k&t=786,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,114.0,993921.0,Kosei Masuda,,1741364787.0,1741397187.0,ChangeUp,N,0.5431,0.7291,130.74,1824.68,1731.4,94.89,0:58,1.0,2.0277882,63.5,18.1,44.0,25.1,1.42,-1.39,1.57,-0.03,-18.4,993921@1741397187,V3P4DLKO0850A,2.8144293,-4.8405433,untitled,,1741397187.0,416.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364787.0,1741397187.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397187,untitled,1741397187.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
12,12.0,12.0,2025/3/8,1388.232927,1048.232928,1741397198,3.0,3.0,増田,Right,TOK,3,高橋優,Left,横浜金港クラブ,1,Top,2,2,0,Splitter,FoulBall,Undefined,GroundBall,Undefined,0,0,,121.0,0.558,-0.04,19.1740413,126.8698976,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2506600012,ファール,,1386,https://youtu.be/8nzGCbkleis&t=1386,802,https://youtu.be/RIOsgIq2m3k&t=802,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,113.0,993921.0,Kosei Masuda,,1741364799.0,1741397199.0,ChangeUp,Y,-0.1266,0.8768,120.92,903.25,615.0,68.09,1:12,1.0,2.2110748,21.5,8.2,18.8,13.4,-0.46,1.35,1.54,-0.08,47.09,993921@1741397199,V3P4DLKO0850A,0.17868863,-6.7382426,untitled,,1741397199.0,415.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364799.0,1741397199.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397199,untitled,1741397199.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
13,13.0,13.0,2025/3/8,1401.803657,1061.803658,1741397212,3.0,4.0,増田,Right,TOK,3,高橋優,Left,横浜金港クラブ,1,Top,2,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,115.0,0.063,-0.044,,,TOK,#217fc4,東大,横浜金港クラブ,#020d4f,金港,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506600013,ボール,,1399,https://youtu.be/8nzGCbkleis&t=1399,811,https://youtu.be/RIOsgIq2m3k&t=811,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木,"秋元,明石,門田,荒井慶,竹山,黒武者,青貝,鈴木,小村","磯部,高橋海,高橋優,小椋,高橋亮,石丸,大塚,村上,上杉","増田,明石,荒井慶,秋元,青貝,小村,黒武者,竹山,鈴木","田中,高橋亮,高橋優,小椋,大塚,磯部,村上,上杉,高橋海","R,R,L,R,R,R,L,R,L,L","R,R,L,L,R,R,R,R,L,L","Kosei, Masuda","Ken, Akashi","Keito, Arai","Ryo, Akimoto","Naomasa, Aogai","Osuke, Komura","Tetsuta, Kuromusha","Naotaro, Takeyama","Yugo, Suzuki",,,,,,,,112.0,993921.0,Kosei Masuda,,1741364816.0,1741397216.0,Slider,N,0.012,0.2448,114.92,1771.53,381.4,21.53,6:22,1.0,2.084505,-20.6,-20.6,-13.5,-5.3,1.07,0.86,1.57,-0.08,77.57,993921@1741397216,V3P4DLKO0850A,-0.50135493,-10.945989,untitled,,1741397216.0,414.0,1410148.0,tokyobbc_rapsodo Player_003,,1741364816.0,1741397216.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410148@1741397216,untitled,1741397216.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250308春季オープン戦vs横浜金港クラブA.csv
