count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0,1.0,2023/10/8,53:44.2,2023/10/8,53:44.2,1.0,1.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,0.0,0.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,131.47367,0.069599,-3.527169,2710.337843,219.833396,1:15,1.664111,0.568797,1.676284,-101.9909,4.9945,1.6951,0.664082,-0.42106,122.01492,-7.239508,-3.408531,0.467108,,,,,,,,,,,,-3.0511,3.4024,-0.474887,15.24,1.65765,2.219547,-36.140834,-0.379384,-0.52735,6.151469,-9.218573,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,a8e16e70-6596-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,129.86299,,,9.45876,,,,16.763957,-36.3993,3.075735,1.665454,0.007951,-4.609286,-0.568611,2.241705,-0.263675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abdd3259-5a20-4e2d-9965-83fe47ab3555,2023-10-08T13:53:44.2030138+09:00,2023-10-08T04:53:44.2030138Z,NoShift,26.78015434,20.59594966,44.60156362,13.21446224,24.07182894,-19.60284684,41.36030995,-11.33398536,82.3455901,-44.34841542,95.35999769,-3.684937865,75.95379311,41.89067136,1696740824,上野 達也,1.0,2023/10/8,1.0,0.352855206,0.352860928,1696740827,Normal,1.0,1.0,1,Top,0,0,0,1,武川,Right,松岡,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,,0:04:43,281,https://youtu.be/0D3jS7q300o&t=281,1043,https://youtu.be/P_UluW9MORQ&t=1043,2328010000,23A
1,2.0,2023/10/8,53:56.7,2023/10/8,53:56.7,1.0,2.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,1.0,0.0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,119.3279,2.569225,-1.941054,2601.185838,38.171,7:15,1.630384,0.565963,1.690232,-168.2108,-36.9627,-32.2313,0.681004,-0.309451,109.86432,-9.45085,-4.204171,0.51737,,,,,,,,,,,,14.7999,-19.2059,-0.512133,15.24,1.684913,1.254801,-32.802953,0.813999,2.07389,5.923936,-12.497935,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,b0534110-6596-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,117.24688,,,9.46358,,,,16.751117,-33.074722,2.961968,1.634418,1.387359,-6.248968,-0.567516,1.159659,1.036945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4549db9d-94b2-4c5b-88a7-1db41081b757,2023-10-08T13:53:56.6563898+09:00,2023-10-08T04:53:56.6563898Z,NoShift,26.68338312,20.58232719,44.57479896,13.23462204,24.8458033,-20.40002146,41.30784571,-11.55687829,81.78571301,-44.23167597,95.76036215,-3.569251164,74.26951486,42.75372667,1696740837,上野 達也,2.0,2023/10/8,2.0,10.16357827,10.16358519,1696740837,Normal,1.0,2.0,1,Top,0,1,0,1,武川,Right,松岡,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,,0:04:56,294,https://youtu.be/0D3jS7q300o&t=294,1056,https://youtu.be/P_UluW9MORQ&t=1056,2328010001,23A
2,3.0,2023/10/8,54:10.4,2023/10/8,54:10.4,1.0,3.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,1.0,1.0,Cutter,Slider,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,129.98405,0.734564,-2.76003,2677.126187,105.84372,9:30,1.643148,0.638671,1.705467,-103.9742,4.5011,-5.8332,0.812697,-0.205701,121.03646,-6.730008,-3.169321,0.470349,147.613,40.287988,-8.889101,4014.691588,33.16185,28.614105,-4.941327,88.490251,88.315019,-6.971756,5.98112,1.3404,2.6404,-0.566042,15.24,1.654109,1.751624,-35.778408,0.040498,0.227922,5.782881,-9.357673,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,b88185e0-6596-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,128.96809,36.969723,,8.94759,,,,16.735176,-36.019263,2.891441,1.644306,0.430242,-4.678836,-0.638799,1.742131,0.113961,0.528736,0.810389,0.191209,178.600709,0.530921,30.860614,-8.101478,2.07095,-0.348247,0.027594,0.001452,-0.000439,2.3e-05,0.807651,26.559865,-5.274668,0.128152,0.008536,-0.003006,0.001184,-0.000228,1.3e-05,0.190697,-4.824245,1.093121,-0.144509,-0.012184,0.011337,-0.002456,0.000241,-9e-06,,,,,,,,,,,,,,,,,,,,,,,c389dc18-5e0e-4332-b9a9-4449dca72e64,2023-10-08T13:54:10.4304698+09:00,2023-10-08T04:54:10.4304698Z,NoShift,26.70484504,20.75000461,44.56756781,13.20156484,25.26644583,-20.93105898,41.25485058,-11.56242448,81.61953661,-44.0238437,95.4359357,-3.477832392,75.03405804,43.63752044,1696740850,上野 達也,3.0,2023/10/8,3.0,23.90244412,23.90244889,1696740851,Normal,1.0,3.0,1,Top,0,1,1,1,武川,Right,松岡,Right,,,,,Undefined,InPlay,FlyBall,Out,Undefined,1,0,別府,8.0,,武川,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,中飛,0:05:09,307,https://youtu.be/0D3jS7q300o&t=307,1069,https://youtu.be/P_UluW9MORQ&t=1069,2328010002,23A
3,4.0,2023/10/8,54:40.3,2023/10/8,54:40.3,2.0,1.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0.0,0.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,115.94981,3.191132,1.307824,2596.920574,23.650549,6:45,1.650328,0.559635,1.718726,-179.5489,-42.2687,-20.2268,0.763389,0.729301,107.48557,-9.645525,-0.116771,0.529125,,,,,,,,,,,,11.0351,-21.9363,-0.591982,15.24,1.719458,-0.640998,-31.908033,1.096064,1.477089,5.125699,-12.742914,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,ca5e46e0-6596-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,114.64204,,,8.46424,,,,16.723231,-32.145416,2.562849,1.655031,1.686217,-6.371457,-0.560712,-0.709405,0.738544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2f9534eb-9a5e-45a7-bec5-faa984658b07,2023-10-08T13:54:40.3411002+09:00,2023-10-08T04:54:40.3411002Z,NoShift,25.13620082,21.11397854,42.90156506,16.37382724,22.13059429,-15.45419414,40.76669822,-9.627255911,84.41003273,-38.72904938,99.27652584,6.723048507,76.77112682,47.16893038,1696740880,上野 達也,4.0,2023/10/8,4.0,53.81338024,53.81338596,1696740881,Normal,2.0,1.0,1,Top,1,0,0,2,中津,Left,松岡,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,,0:05:39,337,https://youtu.be/0D3jS7q300o&t=337,1091,https://youtu.be/P_UluW9MORQ&t=1091,2328010003,23A
4,5.0,2023/10/8,54:55.5,2023/10/8,54:55.5,2.0,2.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,1.0,0.0,TwoSeamFastBall,Changeup,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,139.82798,-1.387438,-2.702256,1835.497815,237.656027,2:00,1.67055,0.623019,1.790378,-69.67,23.4662,32.8885,0.580564,0.18635,129.45838,-6.459625,-0.379868,0.435827,140.54248,-25.421306,49.360766,,,,,1.404491,1.404491,31.523339,0.034384,-18.6054,13.6988,-0.558726,15.24,1.631424,1.65749,-38.477928,-1.210166,-3.644104,6.994086,-7.123567,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,d364ea50-6596-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,139.18375,0.577231,,10.3696,,,,16.650001,-38.733374,3.497043,1.670872,-0.949991,-3.561784,-0.621693,1.790584,-1.822052,0.406242,0.577231,-0.187247,,0.406022,23.004089,,,,,,,,0.577392,-16.787549,,,,,,,,-0.187503,26.802166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011f5459-2d7c-4edd-a0bb-15deb20806a6,2023-10-08T13:54:55.5290170+09:00,2023-10-08T04:54:55.5290170Z,NoShift,25.521535,21.34996711,42.8225421,16.17305636,22.13717215,-15.67190974,41.08906675,-9.604698001,84.53012052,-39.81411511,97.22270195,6.601715869,76.22451025,46.97819526,1696740896,上野 達也,5.0,2023/10/8,5.0,68.90076399,68.90077019,1696740896,Normal,2.0,2.0,1,Top,1,1,0,2,中津,Left,松岡,Right,,,,,Undefined,InPlay,GroundBall,Single,Undefined,0,0,酒井捷,9.0,,中津,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,右安,0:05:54,352,https://youtu.be/0D3jS7q300o&t=352,1107,https://youtu.be/P_UluW9MORQ&t=1107,2328010004,23A
5,6.0,2023/10/8,55:33.5,2023/10/8,55:33.5,3.0,1.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Sota, Imaizumi",1000089968,Right,HOS_HOS,Undefined,1,Top,1,0.0,0.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,132.39267,-0.484295,-3.736374,2649.442604,261.611153,2:45,1.595017,0.597573,1.718596,-99.9406,4.7219,12.9275,0.457608,-0.337079,123.28677,-7.652599,-2.829019,0.462009,,,,,,,,,,,,-8.8341,3.5265,-0.501715,15.24,1.574686,2.316904,-36.406152,-0.716803,-1.554258,6.033953,-9.186206,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,e9ff8180-6596-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,131.29624,,,9.1059,,,,16.721938,-36.650945,3.016977,1.596206,-0.344125,-4.593103,-0.596989,2.379959,-0.777129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313fbc09-af5d-4f75-9cd5-370c19117370,2023-10-08T13:55:33.4818874+09:00,2023-10-08T04:55:33.4818874Z,NoShift,19.49093516,18.35542149,41.10646271,7.938890276,23.4339038,-19.20259968,38.83124032,-8.611986043,82.4653661,-48.56082668,96.80533914,-6.071863514,78.61030228,39.95175805,1696740933,上野 達也,6.0,2023/10/8,6.0,106.91745,106.9174521,1696740934,Normal,3.0,1.0,1,Top,1,0,0,3,今泉,Right,松岡,Right,1,中津,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,,0:06:32,390,https://youtu.be/0D3jS7q300o&t=390,1129,https://youtu.be/P_UluW9MORQ&t=1129,2328010005,23A
6,,2023/10/8,0:55:50,2023/10/8,0:55:50,,,"Yuki, Matsuoka",1000091921,Right,TOK,"Sota, Imaizumi",1000089968,Right,HOS_HOS,,1,Top,1,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696740951,上野 達也,,2023/10/8,,123.6147211,123.614728,1696740951,Normal,,,1,Top,1,1,0,3,今泉,Right,松岡,Right,1,中津,,,,,,,,0,0,"大井,松岡",,PickOff,中津,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,,0:06:49,407,https://youtu.be/0D3jS7q300o&t=407,1147,https://youtu.be/P_UluW9MORQ&t=1147,2328010006,23A
7,7.0,2023/10/8,56:05.0,2023/10/8,56:05.0,3.0,2.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Sota, Imaizumi",1000089968,Right,HOS_HOS,Undefined,1,Top,1,1.0,0.0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,1,139.48356,-2.495684,-4.248271,2082.550428,224.573184,1:30,1.652309,0.617189,1.827644,-54.6884,39.6847,36.1371,0.398151,-0.223531,127.88475,-6.540237,-1.698058,0.438711,,,,,,,,,,,,-21.5571,23.0451,-0.517495,15.24,1.588615,2.669326,-38.266746,-1.86915,-4.139171,7.565535,-5.381762,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,fcc17260-6596-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,138.26858,,,11.59881,,,,16.612334,-38.537109,3.782767,1.651975,-1.676827,-2.690881,-0.615529,2.817244,-2.069586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c2258608-93b6-4fb7-93b4-d3a71ef1c6a8,2023-10-08T13:56:04.9809466+09:00,2023-10-08T04:56:04.9809466Z,NoShift,19.52572514,18.34283119,40.32420891,7.513020822,23.87786081,-19.39006451,38.81431174,-8.837673363,83.17371952,-48.64178306,97.45061743,-5.632389055,78.32205115,41.3002408,1696740965,上野 達也,7.0,2023/10/8,7.0,138.414732,138.4147379,1696740965,Normal,3.0,2.0,1,Top,1,1,0,3,今泉,Right,松岡,Right,1,中津,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,,0:07:04,422,https://youtu.be/0D3jS7q300o&t=422,1161,https://youtu.be/P_UluW9MORQ&t=1161,2328010007,23A
8,8.0,2023/10/8,56:26.2,2023/10/8,56:26.2,3.0,3.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Sota, Imaizumi",1000089968,Right,HOS_HOS,Undefined,1,Top,1,2.0,0.0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,131.71789,-0.442752,-2.430798,2623.4095,231.632079,1:45,1.625922,0.620489,1.671566,-101.7157,5.2182,2.6539,0.482391,-0.046569,121.82307,-7.740378,-2.244687,0.466995,,,,,,,,,,,,-2.9337,3.9063,-0.555735,15.24,1.605777,1.524848,-36.223417,-0.70462,-0.50698,6.491243,-9.131606,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,096ab800-6597-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,129.8943,,,9.89482,,,,16.768446,-36.496287,3.245621,1.627329,-0.320758,-4.565803,-0.620283,1.54616,-0.25349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30f7938b-9682-444b-a5aa-b71691dac3ef,2023-10-08T13:56:26.1626426+09:00,2023-10-08T04:56:26.1626426Z,NoShift,19.41365261,18.26917074,40.12699006,7.651121564,23.83728895,-19.51606325,38.03206742,-8.180151152,81.81286887,-47.85075617,97.2566827,-5.116779166,77.60453256,41.86079712,1696740986,上野 達也,8.0,2023/10/8,8.0,159.611083,159.611089,1696740987,Normal,3.0,3.0,1,Top,1,2,0,3,今泉,Right,松岡,Right,1,中津,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,,0:07:25,443,https://youtu.be/0D3jS7q300o&t=443,1182,https://youtu.be/P_UluW9MORQ&t=1182,2328010008,23A
9,9.0,2023/10/8,56:46.7,2023/10/8,56:46.7,3.0,4.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Sota, Imaizumi",1000089968,Right,HOS_HOS,Undefined,1,Top,1,2.0,1.0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,,StolenBase,0,0,1,132.09882,-0.281561,-3.809982,2629.657331,224.965677,1:30,1.604541,0.632828,1.685762,-97.7416,7.7041,4.9138,0.546724,-0.405168,123.12841,-7.281055,-3.466046,0.463734,,,,,,,,,,,,-4.7352,4.9168,-0.532251,15.24,1.58916,2.395388,-36.319861,-0.582641,-0.830455,5.901551,-8.944353,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,15a36180-6597-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,130.80767,,,8.97042,,,,16.754671,-36.565149,2.950776,1.605651,-0.210884,-4.472176,-0.632528,2.429904,-0.415228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.25147,2.121785,0.760115,1.36167,-0.107931,0.476447,0.437804,-0.534897,1.753897,0.628624,38.794409,-0.573681,0.33245,-0.488656,32.747281,-2.910207,1.756216,2.820467,-3.332415,0.612799,-1.241078,0.776065,5b838bfa-4cc7-4d39-97b2-385c5fd17068,2023-10-08T13:56:46.6520000+09:00,2023-10-08T04:56:46.6520000Z,NoShift,19.53128689,18.32345035,40.17205199,7.82834657,23.87870827,-19.65919396,38.52547869,-8.526036243,81.35852675,-48.73992753,97.64359195,-5.164881289,78.47565973,41.32818423,1696741007,上野 達也,9.0,2023/10/8,9.0,180.0712929,180.0712991,1696741007,Normal,3.0,4.0,1,Top,1,2,1,3,今泉,Right,松岡,Right,1,中津,,,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,"山口真,和田,青貝",,Steal,中津,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,,0:07:46,464,https://youtu.be/0D3jS7q300o&t=464,1203,https://youtu.be/P_UluW9MORQ&t=1203,2328010009,23A
10,10.0,2023/10/8,57:21.5,2023/10/8,57:21.5,3.0,5.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Sota, Imaizumi",1000089968,Right,HOS_HOS,Undefined,1,Top,1,2.0,2.0,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,2,135.0623,-0.425562,-4.558055,2739.492279,240.757547,2:00,1.605118,0.627338,1.709478,-97.3116,4.1736,2.2852,0.510542,-0.649336,125.0586,-7.405871,-4.398162,0.454942,,,,,,,,,,,,-4.0955,3.2775,-0.508523,15.24,1.586398,2.944595,-37.075181,-0.683893,-0.742758,6.675804,-9.212239,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,2a617080-6597-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,133.33573,,,10.00371,,,,16.730721,-37.342637,3.337902,1.606404,-0.314818,-4.606119,-0.62709,2.974352,-0.371379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d935ccf-dec0-4b8a-8699-767eaa720b99,2023-10-08T13:57:21.4873146+09:00,2023-10-08T04:57:21.4873146Z,NoShift,25.96989021,20.39467257,43.02993324,7.631024557,26.06870568,-22.18771331,39.37542844,-9.235699715,81.37439278,-49.11363268,94.20176697,-4.856393805,75.12601604,41.97084895,1696741041,上野 達也,10.0,2023/10/8,10.0,214.9170189,214.9170251,1696741042,Normal,3.0,5.0,1,Top,1,2,2,3,今泉,Right,松岡,Right,2,,中津,,Undefined,StrikeSwinging,Undefined,Undefined,Strikeout,0,0,,,,,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,空三振,0:08:20,498,https://youtu.be/0D3jS7q300o&t=498,1237,https://youtu.be/P_UluW9MORQ&t=1237,2328010010,23A
11,11.0,2023/10/8,57:53.0,2023/10/8,57:53.0,4.0,1.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Kazuhiro, Ura",1000089980,Left,HOS_HOS,Undefined,1,Top,2,0.0,0.0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,120.98491,2.310726,-0.173048,2509.190323,20.450304,6:45,1.610971,0.599098,1.631454,-165.4267,-36.7981,-15.2459,0.617622,0.397171,111.05042,-9.487638,-1.241912,0.512181,,,,,,,,,,,,7.4925,-18.8221,-0.593015,15.24,1.660149,0.170851,-33.262681,0.666429,1.078278,6.154759,-12.515434,TOK,HOS_HOS,JinguStadium,TeamExclusive,Banana Ball,20231008-JinguStadium-2,3d2dc1a0-6597-11ee-8f5b-49633867bce1,e09eba8e-1f5d-483e-99df-0f63b8415db4,v3,,,,"Taisei, Wada",1000091929,Right,TOK,118.43469,,,9.93449,,,,16.809586,-33.551853,3.07738,1.615025,1.254446,-6.257717,-0.599852,0.12019,0.539139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e714833-9b24-4d45-8fdb-98bd56fe320d,2023-10-08T13:57:52.9951802+09:00,2023-10-08T04:57:52.9951802Z,NoShift,27.14683966,22.6709577,45.73113255,15.24736275,27.14151224,-18.88556885,40.09173363,-8.152586291,85.26857884,-39.64905893,97.56986309,4.908291432,77.54462326,44.41089736,1696741073,上野 達也,11.0,2023/10/8,11.0,246.5002081,246.5002131,1696741073,Normal,4.0,1.0,1,Top,2,0,0,4,浦,Left,松岡,Right,2,,中津,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,矢追,別府,酒井捷,,0:08:52,530,https://youtu.be/0D3jS7q300o&t=530,1260,https://youtu.be/P_UluW9MORQ&t=1260,2328010011,23A
