count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0,1.0,2023/9/10,00:25.0,2023/9/10,00:25.0,1.0,1.0,"Yuto, Noguchi",1000089918,Left,RIK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,136.00028,-1.630021,2.202351,2174.052479,167.673553,11:30,1.574644,-0.586424,1.609307,-54.7396,49.0214,-9.8494,0.56018,-0.05418,122.11199,-5.698933,1.514901,0.460015,,,,,,,,,,,,6.7453,26.9591,0.526054,15.24,1.524696,-1.380227,-37.255778,-1.264402,1.201893,8.611404,-5.003036,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,ceebcbd0-4f7d-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,131.86536,,,13.88829,,,,16.828742,-37.621212,4.305702,1.573847,-1.052093,-2.501518,0.585708,-1.43123,0.600947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8cc5e42f-59ea-4a4d-90fe-36182712c7d1,2023-09-10T11:00:25.0243436+09:00,2023-09-10T02:00:25.0243436Z,NoShift,28.26283242,23.28060841,42.97430659,14.58443487,20.77622211,-14.9730317,42.40213964,-10.73807381,76.2549695,-44.1438819,94.1568604,-1.152286219,82.58702853,37.1205148,1694311225,瀧口 耕介,1.0,2023/9/10,1.0,896.7735028,896.7735181,1694311225,Normal,1.0,1.0,1,Top,0,0,0,1,吉川,Left,野口,Left,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:04:24,262,https://youtu.be/w0T4tIc0usE&t=262,983,https://youtu.be/cDjMQey8t3s&t=983,2325202000,23A
1,2.0,2023/9/10,00:35.2,2023/9/10,00:35.2,1.0,2.0,"Yuto, Noguchi",1000089918,Left,RIK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,138.5058,-0.911983,4.444034,2188.457128,159.275131,11:15,1.562568,-0.620533,1.65313,-50.9201,49.3167,-17.1739,0.7922,0.478994,123.6693,-4.729059,3.247233,0.452135,,,,,,,,,,,,12.3772,26.5714,0.501567,15.24,1.533774,-2.848841,-37.857499,-0.786074,2.269555,9.124301,-4.934375,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,d510ac10-4f7d-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,134.16343,,,14.8365,,,,16.784467,-38.227929,4.56215,1.561621,-0.585748,-2.467187,0.619096,-2.940981,1.134777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3feeef2f-3a6f-44c0-8116-838552968f0e,2023-09-10T11:00:35.2296300+09:00,2023-09-10T02:00:35.2296300Z,NoShift,28.6972117,23.72372916,43.09421259,15.14988831,21.24117791,-15.29001794,42.21760922,-10.44545518,76.93430421,-43.83124246,92.7213058,-1.775193084,83.56506951,37.08055227,1694311235,瀧口 耕介,2.0,2023/9/10,2.0,906.959702,906.959712,1694311235,Normal,1.0,2.0,1,Top,0,0,1,1,吉川,Left,野口,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:04:34,272,https://youtu.be/w0T4tIc0usE&t=272,993,https://youtu.be/cDjMQey8t3s&t=993,2325202001,23A
2,3.0,2023/9/10,00:46.3,2023/9/10,00:46.3,1.0,3.0,"Yuto, Noguchi",1000089918,Left,RIK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,1.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,137.50262,-3.947893,3.428121,2255.032838,155.401725,11:15,1.55944,-0.631381,1.63102,-53.4817,48.8136,-20.4563,-0.10779,0.145235,123.14623,-7.914369,2.000023,0.456754,,,,,,,,,,,,13.4403,29.2414,0.539144,15.24,1.44651,-2.145191,-37.559048,-2.796324,2.417959,9.200019,-4.546028,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,db9e1220-4f7d-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,132.80666,,,14.35639,,,,16.808093,-37.941206,4.60001,1.558743,-2.607488,-2.273014,0.630338,-2.24563,1.20898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d783c13a-e059-43ce-9c17-ac62b2752c0b,2023-09-10T11:00:46.3421292+09:00,2023-09-10T02:00:46.3421292Z,NoShift,28.37970175,23.47034153,43.05794585,15.03753077,21.45314145,-15.37403968,42.26659505,-10.76033932,75.97568048,-43.68816047,92.84120221,-2.552451321,83.48707192,37.28890857,1694311246,瀧口 耕介,3.0,2023/9/10,3.0,918.0756981,918.075707,1694311246,Normal,1.0,3.0,1,Top,0,1,1,1,吉川,Left,野口,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:04:45,283,https://youtu.be/w0T4tIc0usE&t=283,1004,https://youtu.be/cDjMQey8t3s&t=1004,2325202002,23A
3,4.0,2023/9/10,01:06.1,2023/9/10,01:06.1,1.0,4.0,"Yuto, Noguchi",1000089918,Left,RIK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,2.0,1.0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,136.97324,-1.076507,2.260611,2252.647706,159.989803,11:15,1.558178,-0.649923,1.62912,-61.1787,39.4875,-13.1429,0.638335,-0.134694,124.56994,-5.564839,1.342103,0.453102,,,,,,,,,,,,8.2386,21.5967,0.588979,15.24,1.523471,-1.414937,-37.593673,-0.94997,1.515005,7.839435,-5.835198,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,e7633950-4f7d-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,133.87702,,,12.4033,,,,16.809711,-37.919593,3.919718,1.557923,-0.707375,-2.917599,0.649113,-1.477922,0.757503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8567499f-44de-4253-abab-f76acd28400c,2023-09-10T11:01:06.0830060+09:00,2023-09-10T02:01:06.0830060Z,NoShift,29.15311787,24.09321613,42.59534753,14.14818618,21.41031147,-15.47686198,42.16560375,-11.23188298,77.64661144,-43.60535876,91.96355203,-2.534786742,83.96657498,37.2170017,1694311266,瀧口 耕介,4.0,2023/9/10,4.0,937.8509669,937.8509769,1694311266,Normal,1.0,4.0,1,Top,0,2,1,1,吉川,Left,野口,Left,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:05:05,303,https://youtu.be/w0T4tIc0usE&t=303,1024,https://youtu.be/cDjMQey8t3s&t=1024,2325202003,23A
4,5.0,2023/9/10,01:18.8,2023/9/10,01:18.8,1.0,5.0,"Yuto, Noguchi",1000089918,Left,RIK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,2.0,2.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,136.26295,-0.35198,2.281976,2207.165966,162.147264,11:30,1.563671,-0.652554,1.630827,-59.964,41.4641,-12.2821,0.863327,-0.122666,124.08233,-4.759106,1.423809,0.454814,144.50518,0.845307,-18.312713,2508.108355,,,,18.064698,17.584893,-19.915435,0.477863,7.8276,22.0466,0.591032,15.24,1.548999,-1.427864,-37.418353,-0.4653,1.428996,7.623842,-5.781866,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,eefd2d60-4f7d-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,133.37319,0.900082,,12.18061,,,,16.808403,-37.736556,3.811921,1.563383,-0.223977,-2.890933,0.651873,-1.487507,0.714498,0.14129,0.883851,0.089179,83.738922,0.14603,37.970257,-5.740018,,,,,,,0.886292,0.523738,-4.987402,,,,,,,0.091427,-12.674423,-0.833399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19bf79e7-1f2d-4d39-bcd0-303c98ad2a01,2023-09-10T11:01:18.8082028+09:00,2023-09-10T02:01:18.8082028Z,NoShift,29.11746395,24.23083929,43.23410066,14.386396,25.5541342,-18.40168206,43.12760782,-11.24026828,76.42444889,-43.82404019,91.83556731,-0.498883111,84.02228874,38.34828861,1694311279,瀧口 耕介,5.0,2023/9/10,5.0,950.5610681,950.5610731,1694311279,Normal,1.0,5.0,1,Top,0,2,2,1,吉川,Left,野口,Left,,,,,Undefined,InPlay,GroundBall,Single,Undefined,0,0,"菅谷,西川晋",6.0,,吉川,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,遊安,0:05:18,316,https://youtu.be/w0T4tIc0usE&t=316,1037,https://youtu.be/cDjMQey8t3s&t=1037,2325202004,23A
5,,2023/9/10,0:02:00,2023/9/10,0:02:00,,,"Yuto, Noguchi",1000089918,Left,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,,1,Top,0,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694311321,瀧口 耕介,,2023/9/10,,992.57639,992.5764,1694311321,Normal,,,1,Top,0,0,0,2,廣瀬,Right,野口,Left,1,吉川,,,,,,,,0,0,"野口,菅谷",,PickOff,吉川,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:05:59,357,https://youtu.be/w0T4tIc0usE&t=357,1061,https://youtu.be/cDjMQey8t3s&t=1061,2325202005,23A
6,6.0,2023/9/10,02:15.7,2023/9/10,02:15.7,2.0,1.0,"Yuto, Noguchi",1000089918,Left,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,137.40482,-1.449228,2.703298,2269.555816,155.31941,11:15,1.562578,-0.569096,1.628429,-52.8231,49.547,-20.8455,0.619436,-0.004054,122.19262,-5.410884,1.247413,0.456921,,,,,,,,,,,,12.8115,27.2359,0.496612,15.24,1.518435,-1.662359,-37.595819,-1.143215,2.30305,9.402896,-4.910623,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,10e41240-4f7e-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,132.75816,,,15.2122,,,,16.809192,-37.986254,4.701448,1.561671,-0.939311,-2.455311,0.567623,-1.757988,1.151525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cab29cc8-c6dd-4db1-af28-5e6c85cd5357,2023-09-10T11:02:15.6854636+09:00,2023-09-10T02:02:15.6854636Z,NoShift,19.30627422,17.75687317,37.69502837,8.656039114,26.53008106,-20.48711792,,,82.28721969,-43.66005736,99.06265837,-2.10066961,85.31835561,41.99762169,1694311336,瀧口 耕介,6.0,2023/9/10,6.0,1007.645631,1007.645641,1694311336,Normal,2.0,1.0,1,Top,0,0,0,2,廣瀬,Right,野口,Left,1,吉川,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:06:15,373,https://youtu.be/w0T4tIc0usE&t=373,1076,https://youtu.be/cDjMQey8t3s&t=1076,2325202006,23A
7,7.0,2023/9/10,02:34.2,2023/9/10,02:34.2,2.0,2.0,"Yuto, Noguchi",1000089918,Left,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,0.0,1.0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,122.30935,0.123743,1.187758,1442.747024,163.20006,11:30,1.571491,-0.528576,1.499595,-97.0687,32.3056,-8.3256,0.63647,-0.26951,110.4744,-6.898267,0.609796,0.513664,,,,,,,,,,,,5.0507,17.2345,0.494145,15.24,1.565734,-0.653901,-33.528486,-0.31346,0.731707,6.763962,-7.30986,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,1bf21e70-4f7e-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,118.09286,,,11.83495,,,,16.938602,-33.869424,3.381981,1.572248,0.054995,-3.65493,0.528035,-0.690783,0.365853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1c0a601-f635-4fd9-89db-b808b8efc25e,2023-09-10T11:02:34.1892460+09:00,2023-09-10T02:02:34.1892460Z,NoShift,19.28997427,17.6392126,37.33186584,7.465708962,26.38647289,-20.15552119,,,82.92669227,-43.57859597,100.0822507,-1.327189461,84.54566949,43.90329144,1694311354,瀧口 耕介,7.0,2023/9/10,7.0,1026.198504,1026.198547,1694311355,Normal,2.0,2.0,1,Top,0,0,1,2,廣瀬,Right,野口,Left,1,吉川,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:06:33,391,https://youtu.be/w0T4tIc0usE&t=391,1094,https://youtu.be/cDjMQey8t3s&t=1094,2325202007,23A
8,8.0,2023/9/10,02:56.6,2023/9/10,02:56.6,2.0,3.0,"Yuto, Noguchi",1000089918,Left,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,0.0,2.0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,1,127.41093,-0.378343,1.441185,2656.4693,323.182526,4:45,1.613206,-0.525963,1.401774,-127.8821,-8.4999,9.2682,0.224677,-0.01543,116.94637,-9.390107,2.082008,0.493429,,,,,,,,,,,,-3.488,-2.8951,0.479564,15.24,1.586992,-0.927475,-34.978671,-0.815044,-0.555263,6.788799,-10.267528,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,29500e10-4f7e-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,122.9357,,,10.46455,,,,17.038408,-35.325989,3.394399,1.615253,-0.289753,-5.133764,0.526288,-0.899067,-0.277631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a353fd4d-c4a3-4f75-a26a-fee086b7550e,2023-09-10T11:02:56.6305132+09:00,2023-09-10T02:02:56.6305132Z,NoShift,19.20819998,17.94021338,37.46708486,7.923422825,27.32986661,-22.45766177,,,82.30159774,-44.37554596,98.39841143,-1.62496299,82.90256696,43.52417527,1694311377,瀧口 耕介,8.0,2023/9/10,8.0,1048.546054,1048.546063,1694311377,Normal,2.0,3.0,1,Top,0,0,2,2,廣瀬,Right,野口,Left,1,吉川,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:06:56,414,https://youtu.be/w0T4tIc0usE&t=414,1117,https://youtu.be/cDjMQey8t3s&t=1117,2325202008,23A
9,9.0,2023/9/10,03:16.1,2023/9/10,03:16.1,2.0,4.0,"Yuto, Noguchi",1000089918,Left,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,1.0,2.0,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,1,137.08366,-1.309226,3.029123,2259.134954,153.333074,11:00,1.573597,-0.565798,1.615004,-66.0227,35.1674,-15.8836,0.538143,0.142966,124.28743,-6.134929,1.920905,0.45428,43.23342,-2.030993,-54.026533,,,,,,1.134203,,,10.3204,19.6561,0.483263,15.24,1.531647,-1.906266,-37.586272,-1.129359,1.888712,8.142949,-6.209426,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,34ec2970-4f7e-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,133.52998,0.206452,,12.79623,,,,16.824138,-37.927917,4.071474,1.573566,-0.868837,-3.104713,0.564905,-1.985508,0.944356,0.415146,0.206452,-0.707344,180.0,0.415138,7.051958,,,,,,,,0.206452,-0.425731,,,,,,,,-0.707332,-9.715646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18d552e5-55ee-42c0-8e0c-b388aeb8d1cf,2023-09-10T11:03:16.1409900+09:00,2023-09-10T02:03:16.1409900Z,NoShift,19.38126443,17.78709095,37.59646321,8.834051036,26.53204539,-21.93145117,,,82.83931717,-43.72423376,98.78548831,-0.973954638,82.38440208,43.14420716,1694311396,瀧口 耕介,9.0,2023/9/10,9.0,1068.156434,1068.156443,1694311397,Normal,2.0,4.0,1,Top,0,1,2,2,廣瀬,Right,野口,Left,1,吉川,,,Undefined,FoulBall,Other,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:07:15,433,https://youtu.be/w0T4tIc0usE&t=433,1136,https://youtu.be/cDjMQey8t3s&t=1136,2325202009,23A
10,,2023/9/10,0:03:40,2023/9/10,0:03:40,,,"Yuto, Noguchi",1000089918,Left,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,,1,Top,0,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694311421,瀧口 耕介,,2023/9/10,,1092.202315,1092.20232,1694311421,Normal,,,1,Top,0,1,2,2,廣瀬,Right,野口,Left,1,吉川,,,,,,,,0,0,"野口,菅谷",,PickOff,吉川,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:07:39,457,https://youtu.be/w0T4tIc0usE&t=457,1153,https://youtu.be/cDjMQey8t3s&t=1153,2325202010,23A
11,10.0,2023/9/10,03:51.2,2023/9/10,03:51.2,2.0,5.0,"Yuto, Noguchi",1000089918,Left,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,1.0,2.0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,125.18569,-1.865707,1.558135,1548.2319,127.712541,10:15,1.568243,-0.573143,1.533852,-92.6202,30.0763,-33.2056,0.105133,-0.457017,113.80942,-8.536027,-0.754395,0.500231,,,,,,,,,,,,17.8174,17.6435,0.531165,15.24,1.505134,-0.772921,-34.330783,-1.490055,2.712321,6.962948,-7.120802,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,49d36b50-4f7e-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,121.26392,,,11.37627,,,,16.905524,-34.666938,3.481474,1.568772,-1.146279,-3.560401,0.571641,-0.903865,1.35616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf84adf-fe00-40c8-a023-e3acb52ccde0,2023-09-10T11:03:51.1755116+09:00,2023-09-10T02:03:51.1755116Z,NoShift,19.33065965,17.69074772,37.48683493,9.195314407,26.8046148,-22.2563567,38.83615276,-7.399345942,80.85332556,-44.11593275,99.94318576,-0.8319876,83.46724414,42.19344106,1694311431,瀧口 耕介,10.0,2023/9/10,10.0,1103.163467,1103.163473,1694311432,Normal,2.0,5.0,1,Top,0,1,2,2,廣瀬,Right,野口,Left,1,吉川,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:07:50,468,https://youtu.be/w0T4tIc0usE&t=468,1163,https://youtu.be/cDjMQey8t3s&t=1163,2325202011,23A
12,11.0,2023/9/10,04:14.1,2023/9/10,04:14.1,2.0,6.0,"Yuto, Noguchi",1000089918,Left,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,2.0,2.0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,1,138.46506,-2.175356,3.614854,2277.633922,157.82978,11:15,1.588473,-0.541153,1.683073,-62.824,35.3306,-13.0415,0.3388,0.359905,126.15247,-6.770094,2.701992,0.447414,,,,,,,,,,,,9.2489,20.4484,0.446246,15.24,1.525701,-2.330054,-37.951298,-1.693891,1.733397,7.985443,-5.974265,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230910-JinguStadium-1,57828830-4f7e-11ee-9faa-e9f1d27c2861,c08a1768-80fd-4b11-85e8-680dd9c54d7b,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,135.579,,,12.3126,,,,16.755921,-38.268938,3.992721,1.588353,-1.45625,-2.987132,0.540301,-2.399004,0.866698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253180a-b4c1-416d-9c64-dcd79d01f50e,2023-09-10T11:04:14.1491052+09:00,2023-09-10T02:04:14.1491052Z,NoShift,19.36107801,17.59351411,37.01238044,8.308162121,26.89139194,-22.05791333,,,81.34712308,-43.86906505,99.730161,-1.652570831,85.04515541,41.82303554,1694311454,瀧口 耕介,11.0,2023/9/10,11.0,1127.761687,1127.761697,1694311456,Normal,2.0,6.0,1,Top,0,2,2,2,廣瀬,Right,野口,Left,1,吉川,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,田中,柴田,西川晋,西川侑,桑垣,鈴木唯,,0:08:13,491,https://youtu.be/w0T4tIc0usE&t=491,1186,https://youtu.be/cDjMQey8t3s&t=1186,2325202012,23A
