count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0,1.0,2023/10/15,30:37.0,2023/10/15,30:37.0,1.0,1.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,0.0,0.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,108.62985,5.904109,0.731329,2563.30025,356.791378,6:00,1.783992,-0.545741,1.84142,-207.1231,-49.477,3.0743,1.384965,-0.308605,98.57286,-9.078133,0.948825,0.567017,,,,,,,,,,,,-0.9706,-27.8679,0.528188,15.24,1.911856,-0.392174,-29.762031,2.375803,-0.111024,5.241317,-12.994331,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,353dd100-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,106.98086,,,10.05699,,,,16.600199,-30.000616,2.620658,1.790247,2.967305,-6.497165,0.545925,-0.38712,-0.055512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80514e76-bbae-48a9-ac85-2ee135ddfa41,2023-10-15T12:30:36.9790000+09:00,2023-10-15T03:30:36.9790000Z,NoShift,27.66117512,22.61602432,44.62066823,13.49549109,22.33307159,-16.77830658,39.36486461,-12.98597828,72.41792353,-40.46706093,92.06765133,-1.34963836,76.20294407,37.95916518,1697340637,杉山 由泰,1.0,2023/10/15,1.0,920.353174,920.353174,1697340675,Normal,1.0,1.0,1,Top,0,0,0,1,尾瀬,Left,尾﨑,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,,0:05:16,314,https://youtu.be/24H1w4Xcejs&t=314,1048,https://youtu.be/8sndeOqSP8w&t=1048,2328713000,23A
1,2.0,2023/10/15,30:48.4,2023/10/15,30:48.4,1.0,2.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,1.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.4189,-3.645112,4.357375,2445.760658,148.69493,11:00,1.746284,-0.570193,1.883619,-34.4523,58.6776,-33.758,0.371428,0.321043,127.96729,-6.283397,1.969246,0.435812,,,,,,,,,,,,20.5252,33.8737,0.471669,15.24,1.659854,-2.767299,-38.462676,-2.549686,3.962939,7.984694,-3.266419,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,3bfcce60-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,139.18846,,,12.45161,,,,16.555806,-38.734869,3.992347,1.744873,-2.438336,-1.633209,0.568307,-2.902393,1.981469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519c609-91be-40dc-9d05-818d0553948c,2023-10-15T12:30:48.4400000+09:00,2023-10-15T03:30:48.4400000Z,NoShift,27.72037477,22.67826691,44.75516421,13.59616813,23.77802443,-18.33864666,39.77420597,-13.12604916,71.95122417,-40.33032827,92.66315207,-1.148945497,76.51737673,38.49756336,1697340648,杉山 由泰,2.0,2023/10/15,2.0,931.8127525,931.8127525,1697340687,Normal,1.0,2.0,1,Top,0,1,0,1,尾瀬,Left,尾﨑,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,,0:05:27,325,https://youtu.be/24H1w4Xcejs&t=325,1059,https://youtu.be/8sndeOqSP8w&t=1059,2328713001,23A
2,3.0,2023/10/15,31:01.1,2023/10/15,31:01.1,1.0,3.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,2.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,139.90253,-2.005865,2.695938,2509.957124,161.226518,11:15,1.718491,-0.587447,1.868287,-32.0998,61.2033,-19.7706,0.831519,-0.02506,127.63387,-4.479733,1.295186,0.436217,,,,,,,,,,,,12.0812,33.8852,0.525811,15.24,1.66963,-1.714137,-38.440963,-1.429687,2.333271,7.872215,-3.262307,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,438201f0-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,139.05918,,,12.26866,,,,16.571004,-38.712575,3.936108,1.717016,-1.317128,-1.631153,0.586342,-1.794641,1.166635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83552bbe-f016-44f1-953b-fdec9e03c1d2,2023-10-15T12:31:01.0530000+09:00,2023-10-15T03:31:01.0530000Z,NoShift,27.38518176,22.86480879,44.88235917,13.46461723,23.85994943,-18.40592895,39.65967525,-13.36081539,71.87932055,-40.54077067,92.19789956,-1.351134217,76.90508476,39.24783364,1697340661,杉山 由泰,3.0,2023/10/15,3.0,944.456048,944.456048,1697340699,Normal,1.0,3.0,1,Top,0,2,0,1,尾瀬,Left,尾﨑,Left,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,,0:05:40,338,https://youtu.be/24H1w4Xcejs&t=338,1072,https://youtu.be/8sndeOqSP8w&t=1072,2328713002,23A
3,4.0,2023/10/15,31:12.9,2023/10/15,31:12.9,1.0,4.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,2.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.62395,-0.178485,3.15304,2373.35543,158.632996,11:15,1.731132,-0.619573,1.857744,-33.836,59.1412,-21.9098,1.342379,0.05112,127.35707,-2.793075,1.602849,0.435454,,,,,,,,,,,,13.5554,31.4039,0.546793,15.24,1.724682,-2.01741,-38.616746,-0.207192,2.626802,8.367701,-3.721106,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,4a9539d0-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,139.30276,,,13.26687,,,,16.580984,-38.906233,4.18385,1.729624,-0.078457,-1.860553,0.618159,-2.108287,1.313401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7efeb54f-e461-4f64-a99a-0be16d0e1d66,2023-10-15T12:31:12.9140000+09:00,2023-10-15T03:31:12.9140000Z,NoShift,28.5451272,23.50220468,45.03336458,13.513888,24.10026437,-18.5210397,39.91468724,-13.3959706,71.49241542,-40.84937973,93.14310226,-0.829315926,77.25299044,38.94530597,1697340673,杉山 由泰,4.0,2023/10/15,4.0,956.4574816,956.4574816,1697340711,Normal,1.0,4.0,1,Top,0,2,1,1,尾瀬,Left,尾﨑,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,,0:05:52,350,https://youtu.be/24H1w4Xcejs&t=350,1084,https://youtu.be/8sndeOqSP8w&t=1084,2328713003,23A
4,5.0,2023/10/15,31:28.6,2023/10/15,31:28.6,1.0,5.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,3.0,1.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,140.45434,-2.659665,3.419921,2374.825385,150.722855,11:00,1.720879,-0.573302,1.898719,-34.5654,58.8259,-31.0825,0.625453,0.078702,126.84071,-5.333402,1.215117,0.436423,,,,,,,,,,,,18.7393,33.5106,0.497143,15.24,1.658086,-2.150704,-38.517461,-1.880549,3.59262,8.72925,-3.382145,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,53f08cf0-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,138.99351,,,13.61363,,,,16.540279,-38.811026,4.364625,1.719417,-1.766807,-1.691072,0.571503,-2.271524,1.79631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7a6ee907-d647-46c3-ad73-548cc68bbd8d,2023-10-15T12:31:28.6450000+09:00,2023-10-15T03:31:28.6450000Z,NoShift,28.72971422,23.27815988,44.8438367,13.54310878,24.30796596,-18.69994373,39.63966664,-13.78382085,71.24444023,-40.94301676,92.23887323,-1.535768408,76.73136861,39.54477664,1697340689,杉山 由泰,5.0,2023/10/15,5.0,971.9343495,971.9343495,1697340727,Normal,1.0,5.0,1,Top,0,3,1,1,尾瀬,Left,尾﨑,Left,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,,0:06:08,366,https://youtu.be/24H1w4Xcejs&t=366,1100,https://youtu.be/8sndeOqSP8w&t=1100,2328713004,23A
5,6.0,2023/10/15,31:44.4,2023/10/15,31:44.4,1.0,6.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,3.0,2.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,143.40146,-1.086081,2.25443,2461.835912,165.12293,11:30,1.721836,-0.601944,1.907757,-28.865,59.0707,-14.9685,1.127677,-0.117709,131.17991,-3.322327,1.190823,0.423484,117.05842,32.911229,-167.704293,2398.313329,,,,,21.159822,,,9.3611,32.3131,0.551854,15.24,1.695527,-1.482407,-39.460851,-0.822254,1.910443,8.08106,-3.212076,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,5d5e7db0-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,143.2403,11.002387,,12.22155,,,,16.532121,-39.72458,4.04053,1.720651,-0.717427,-1.606038,0.60125,-1.544755,0.955221,0.33438,1.101848,0.121742,49.763097,0.33438,-26.671539,1.147625,0.07016,-0.213096,0.480689,-0.619021,0.412246,-0.111162,1.101848,17.667421,-7.411459,0.787557,-0.305093,0.400492,-0.48104,0.310526,-0.081842,0.121743,-5.813445,2.315849,-0.617118,0.441854,-0.828023,1.046573,-0.686168,0.182778,,,,,,,,,,,,,,,,,,,,,,,a0c32fd9-d6c5-46ee-991c-82b8b3a95d89,2023-10-15T12:31:44.4500000+09:00,2023-10-15T03:31:44.4500000Z,NoShift,28.73306109,23.40981054,44.85979673,12.87078241,24.05964288,-18.74872137,40.20269776,-13.46367515,71.40461461,-40.88643815,90.95148416,-1.246941083,75.43547306,38.54923011,1697340704,杉山 由泰,6.0,2023/10/15,6.0,987.7276831,987.7276831,1697340743,Normal,1.0,6.0,1,Top,0,3,2,1,尾瀬,Left,尾﨑,Left,,,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,,0:06:23,381,https://youtu.be/24H1w4Xcejs&t=381,1115,https://youtu.be/8sndeOqSP8w&t=1115,2328713005,23A
6,7.0,2023/10/15,32:06.1,2023/10/15,32:06.1,1.0,7.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,3.0,2.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,139.44903,-2.508491,2.616092,2364.15925,152.436866,11:00,1.721862,-0.553985,1.914401,-29.6499,65.6469,-32.3221,0.719473,-0.141763,124.74958,-4.86369,0.318745,0.440853,,,,,,,,,,,,19.108,37.3661,0.496973,15.24,1.663655,-1.594539,-38.248961,-1.738239,3.573169,9.381323,-2.819252,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,6a473d50-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,137.59682,,,14.69944,,,,16.524655,-38.562761,4.690661,1.720221,-1.643937,-1.409626,0.552308,-1.71406,1.786584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18969da9-ac28-468c-90dd-d53d754d058a,2023-10-15T12:32:06.1380000+09:00,2023-10-15T03:32:06.1380000Z,NoShift,28.82811545,23.86379527,44.80920895,13.16657436,24.25809538,-18.71740683,39.8730938,-13.67230432,70.82921265,-41.49758223,88.6407517,-1.539327584,74.7718419,40.05363455,1697340726,杉山 由泰,7.0,2023/10/15,7.0,1009.446773,1009.446773,1697340764,Normal,1.0,7.0,1,Top,0,3,2,1,尾瀬,Left,尾﨑,Left,,,,,Undefined,FoulBall,GroundBall,Undefined,Undefined,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,,0:06:45,403,https://youtu.be/24H1w4Xcejs&t=403,1137,https://youtu.be/8sndeOqSP8w&t=1137,2328713006,23A
7,8.0,2023/10/15,32:34.0,2023/10/15,32:34.0,1.0,8.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,3.0,2.0,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,,142.28579,-1.134179,4.724964,2493.838228,161.149881,11:15,1.724771,-0.577573,1.886984,-28.2575,62.9267,-20.3815,1.121901,0.551266,128.37921,-3.357878,3.2853,0.431235,,,,,,,,,,,,14.0986,34.1597,0.469968,15.24,1.696743,-3.118808,-38.982306,-0.830998,2.773689,8.803689,-3.086221,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,7aef75f0-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,140.66567,,,13.90658,,,,16.551476,-39.277371,4.401844,1.722862,-0.72756,-1.54311,0.576056,-3.211771,1.386845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188eeb6b-75e1-4770-bfb0-ed8b2c0f909f,2023-10-15T12:32:34.0460000+09:00,2023-10-15T03:32:34.0460000Z,NoShift,27.91552592,24.99634613,44.99140484,13.98874045,24.26614451,-18.53623098,40.15822919,-12.64321571,70.38340947,-41.31671967,88.36380168,-1.623434847,70.64343591,40.89512566,1697340754,杉山 由泰,8.0,2023/10/15,8.0,1037.392162,1037.392162,1697340792,Normal,1.0,8.0,1,Top,0,3,2,1,尾瀬,Left,尾﨑,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Walk,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,四球,0:07:13,431,https://youtu.be/24H1w4Xcejs&t=431,1165,https://youtu.be/8sndeOqSP8w&t=1165,2328713007,23A
8,9.0,2023/10/15,33:04.3,2023/10/15,33:04.3,2.0,1.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Syu, Yamagata",1000126593,Right,WAS_EDA,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,138.81782,-2.818741,4.120605,2307.649233,160.154544,11:15,1.698941,-0.631168,1.96086,-39.563,54.9864,-18.6671,0.51105,0.338404,126.14782,-5.841036,2.793579,0.439121,,,,,,,,,,,,12.8066,31.7611,0.542648,15.24,1.635392,-2.655294,-38.06112,-1.984808,2.410628,8.133517,-3.828146,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,8cff7bf0-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,138.13962,,,12.67,,,,16.478189,-38.324803,4.066758,1.697727,-1.860702,-1.914073,0.629997,-2.733444,1.205314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2b4f1d23-39d5-4b0b-ae16-3198ddd54795,2023-10-15T12:33:04.3070000+09:00,2023-10-15T03:33:04.3070000Z,NoShift,19.31242513,18.37300097,34.36559337,10.0952377,18.23013858,-13.84865591,39.09471701,-7.089368784,68.94291637,-38.86342074,82.76952662,-0.583752951,65.93343747,37.97762859,1697340784,杉山 由泰,9.0,2023/10/15,9.0,1067.694792,1067.694792,1697340823,Normal,2.0,1.0,1,Top,0,0,0,2,山縣,Right,尾﨑,Left,1,尾瀬,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,,0:07:43,461,https://youtu.be/24H1w4Xcejs&t=461,1179,https://youtu.be/8sndeOqSP8w&t=1179,2328713008,23A
9,10.0,2023/10/15,33:33.2,2023/10/15,33:33.2,2.0,2.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Syu, Yamagata",1000126593,Right,WAS_EDA,Undefined,1,Top,0,1.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,1,139.65371,-1.133004,2.972078,2322.405551,157.077601,11:15,1.707441,-0.624427,1.913586,-40.6338,51.9859,-20.7823,0.982326,0.003479,128.01812,-4.209549,1.495854,0.434616,,,,,,,,,,,,12.9264,28.7554,0.558752,15.24,1.67953,-1.900368,-38.416925,-0.884867,2.503491,7.56652,-4.237507,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,9e2792f0-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,139.57134,,,11.63559,,,,16.52656,-38.669493,3.78326,1.706706,-0.743421,-2.118754,0.62358,-1.983934,1.251745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34c7a2d0-7421-4787-83ce-477b1d09bd03,2023-10-15T12:33:33.1620000+09:00,2023-10-15T03:33:33.1620000Z,NoShift,18.94818949,18.21052131,34.06225171,10.68615115,18.4466305,-14.14145978,38.1121693,-7.650393205,68.09356877,-38.93230397,83.3186886,-0.41141379,64.33042968,38.18450914,1697340813,杉山 由泰,10.0,2023/10/15,10.0,1139.166739,1139.166739,1697340894,Normal,2.0,2.0,1,Top,0,1,0,2,山縣,Right,尾﨑,Left,1,尾瀬,,,Undefined,FoulBall,Bunt,Undefined,Undefined,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,,0:08:12,490,https://youtu.be/24H1w4Xcejs&t=490,1208,https://youtu.be/8sndeOqSP8w&t=1208,2328713009,23A
10,11.0,2023/10/15,33:57.6,2023/10/15,33:57.6,2.0,3.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Syu, Yamagata",1000126593,Right,WAS_EDA,Undefined,1,Top,0,1.0,1.0,Splitter,Changeup,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,124.86869,0.121244,2.906691,1139.007477,130.35226,10:15,1.674442,-0.59792,1.829985,-88.7887,29.2385,-29.8065,0.820838,-0.074429,113.87466,-6.404983,0.798519,0.49062,,,,,,,,,,,,17.6045,16.0623,0.530261,15.24,1.671504,-1.614914,-34.314649,-0.232258,2.696286,6.551532,-7.346574,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,acc02570-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,123.63937,,,10.99403,,,,16.609814,-34.575192,3.275766,1.674931,0.059903,-3.673287,0.596616,-1.722141,1.348143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c9b17384-2e43-413a-bd4f-a514dc0451c4,2023-10-15T12:33:57.5740000+09:00,2023-10-15T03:33:57.5740000Z,NoShift,19.17832636,18.40799416,33.74588056,10.24692101,17.12666748,-13.29443967,39.51240955,-6.78509325,68.41426054,-39.40112566,82.85660533,-1.085334815,62.03852578,37.70096431,1697340838,杉山 由泰,11.0,2023/10/15,11.0,1141.929784,1141.929784,1697340897,Normal,2.0,3.0,1,Top,0,1,1,2,山縣,Right,尾﨑,Left,1,尾瀬,,,Undefined,InPlay,Bunt,Sacrifice,Undefined,1,0,尾﨑,1.0,,"尾瀬,山縣",,,吉安,浦,高原,武川,今泉,西村,中津,姫木,投犠,0:08:37,515,https://youtu.be/24H1w4Xcejs&t=515,1219,https://youtu.be/8sndeOqSP8w&t=1219,2328713010,23A
11,12.0,2023/10/15,34:38.6,2023/10/15,34:38.6,3.0,1.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,1,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,141.3206,-2.162135,3.437898,2425.612781,157.563418,11:15,1.704605,-0.57862,1.894966,-36.8677,54.7531,-21.3291,0.726406,0.176216,128.48796,-4.9797,1.925722,0.432267,,,,,,,,,,,,13.5178,30.8091,0.501271,15.24,1.652854,-2.225844,-38.788882,-1.570202,2.647759,8.307616,-3.772023,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20231015-JinguStadium-1,c53289e0-6b0b-11ee-8a0a-1973cea2f036,c134ae9f-e2fb-49b2-b6c5-4e56b277e5a5,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,140.33004,,,12.83263,,,,16.544072,-39.067184,4.153808,1.703338,-1.443841,-1.886012,0.577322,-2.314543,1.32388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27e5efe7-00fa-4db9-a6fc-37e2d5466cfd,2023-10-15T12:34:38.6390000+09:00,2023-10-15T03:34:38.6390000Z,NoShift,27.54212917,23.8290911,44.18100327,11.47008969,24.19787408,-18.76878307,42.20155158,-7.287282179,70.96729402,-40.48758808,86.8982478,-1.37138303,71.46621899,38.63766668,1697340879,杉山 由泰,12.0,2023/10/15,12.0,1161.918947,1161.918947,1697340917,Normal,3.0,1.0,1,Top,1,0,0,3,熊田,Left,尾﨑,Left,2,,尾瀬,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,浦,高原,武川,今泉,西村,中津,姫木,,0:09:18,556,https://youtu.be/24H1w4Xcejs&t=556,1238,https://youtu.be/8sndeOqSP8w&t=1238,2328713011,23A
