count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL
0,1.0,2023/5/10,0:01:40,2023/5/10,0:01:40,1.0,1.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Ren, Takekawa",1000101186.0,Right,HOS_HOS,Undefined,1,Top,0,0,0,Curveball,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2023/5/10,1.0,100.5420961,100.5421019,100.542104,Normal,1.0,1.0,1,Top,0,0,0,1,武川,Right,清水大,Left,,,,,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,103,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:08:57,,https://youtu.be/t29myOeRX8U&t=537,1045,https://youtu.be/KGCCR4ob3Yw&t=1045
1,2.0,2023/5/10,0:01:53,2023/5/10,0:01:53,1.0,2.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Ren, Takekawa",1000101186.0,Right,HOS_HOS,Undefined,1,Top,0,0,1,Slider,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2023/5/10,2.0,113.7042518,113.7042589,113.7042611,Normal,1.0,2.0,1,Top,0,0,1,1,武川,Right,清水大,Left,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,116,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:09:10,0:00:13,https://youtu.be/t29myOeRX8U&t=550,1058,https://youtu.be/KGCCR4ob3Yw&t=1058
2,3.0,2023/5/10,0:02:08,2023/5/10,0:02:08,1.0,3.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Ren, Takekawa",1000101186.0,Right,HOS_HOS,Undefined,1,Top,0,1,1,Curveball,,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2023/5/10,3.0,128.7398908,128.739898,128.7399008,Normal,1.0,3.0,1,Top,0,1,1,1,武川,Right,清水大,Left,,,,,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,104,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:09:25,0:00:15,https://youtu.be/t29myOeRX8U&t=565,1073,https://youtu.be/KGCCR4ob3Yw&t=1073
3,4.0,2023/5/10,0:02:27,2023/5/10,0:02:27,1.0,4.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Ren, Takekawa",1000101186.0,Right,HOS_HOS,Undefined,1,Top,0,1,2,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2023/5/10,4.0,147.1213419,147.121347,147.1213491,Normal,1.0,4.0,1,Top,0,1,2,1,武川,Right,清水大,Left,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,140,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:09:44,0:00:19,https://youtu.be/t29myOeRX8U&t=584,1091,https://youtu.be/KGCCR4ob3Yw&t=1091
4,5.0,2023/5/10,0:02:44,2023/5/10,0:02:44,1.0,5.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Ren, Takekawa",1000101186.0,Right,HOS_HOS,Undefined,1,Top,0,2,2,Slider,,InPlay,Undefined,FlyBall,,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2023/5/10,5.0,164.329453,164.3294599,164.3294609,Normal,1.0,5.0,1,Top,0,2,2,1,武川,Right,清水大,Left,,,,,Slider,InPlay,FlyBall,Single,Undefined,0,0,尾瀬,8.1,,武川,118,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,中安,0:10:01,0:00:17,https://youtu.be/t29myOeRX8U&t=601,1109,https://youtu.be/KGCCR4ob3Yw&t=1109
5,6.0,2023/5/10,0:03:22,2023/5/10,0:03:22,2.0,1.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Kojun, Fujimori",1000242173.0,Left,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2023/5/10,6.0,202.4731719,202.4731781,202.4731798,Normal,2.0,1.0,1,Top,0,0,0,2,藤森康,Left,清水大,Left,1,武川,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,137,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:10:39,0:00:38,https://youtu.be/t29myOeRX8U&t=639,1125,https://youtu.be/KGCCR4ob3Yw&t=1125
6,7.0,2023/5/10,0:03:44,2023/5/10,0:03:44,2.0,2.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Kojun, Fujimori",1000242173.0,Left,HOS_HOS,Undefined,1,Top,0,1,0,Fastball,,FoulBall,Undefined,Bunt,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2023/5/10,7.0,224.8688991,224.8689029,224.8689039,Normal,2.0,2.0,1,Top,0,1,0,2,藤森康,Left,清水大,Left,1,武川,,,Fastball,FoulBall,Bunt,Undefined,Undefined,0,0,,,,,138,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:11:01,0:00:22,https://youtu.be/t29myOeRX8U&t=661,1144,https://youtu.be/KGCCR4ob3Yw&t=1144
7,8.0,2023/5/10,0:04:11,2023/5/10,0:04:11,2.0,3.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Kojun, Fujimori",1000242173.0,Left,HOS_HOS,Undefined,1,Top,0,1,1,Curveball,,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2023/5/10,8.0,251.0355861,251.0355918,251.035593,Normal,2.0,3.0,1,Top,0,1,1,2,藤森康,Left,清水大,Left,1,武川,,,Curveball,InPlay,Bunt,Sacrifice,Undefined,1,0,"清水大,山縣",1.12,,"武川,藤森康",※,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,投犠,0:11:28,0:00:27,https://youtu.be/t29myOeRX8U&t=688,1157,https://youtu.be/KGCCR4ob3Yw&t=1157
8,9.0,2023/5/10,0:04:49,2023/5/10,0:04:49,3.0,1.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Sota, Utsumi",1000101188.0,Right,HOS_HOS,Undefined,1,Top,1,0,0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2023/5/10,9.0,289.8144529,289.8144591,289.814461,Normal,3.0,1.0,1,Top,1,0,0,3,内海壮,Right,清水大,Left,2,,武川,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,137,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:12:06,0:00:38,https://youtu.be/t29myOeRX8U&t=726,1181,https://youtu.be/KGCCR4ob3Yw&t=1181
9,10.0,2023/5/10,0:05:06,2023/5/10,0:05:06,3.0,2.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Sota, Utsumi",1000101188.0,Right,HOS_HOS,Undefined,1,Top,1,1,0,Slider,,FoulBall,Undefined,GroundBall,,Undefined,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2023/5/10,10.0,306.5733991,306.5734069,306.5734091,Normal,3.0,2.0,1,Top,1,1,0,3,内海壮,Right,清水大,Left,2,,武川,,Slider,FoulBall,GroundBall,Undefined,Undefined,0,0,,,,,128,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:12:23,0:00:17,https://youtu.be/t29myOeRX8U&t=743,1198,https://youtu.be/KGCCR4ob3Yw&t=1198
10,11.0,2023/5/10,0:05:38,2023/5/10,0:05:38,3.0,3.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Sota, Utsumi",1000101188.0,Right,HOS_HOS,Undefined,1,Top,1,1,1,Fastball,,InPlay,Undefined,LineDrive,,Single,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2023/5/10,11.0,338.1798131,338.1798201,338.179821,Normal,3.0,3.0,1,Top,1,1,1,3,内海壮,Right,清水大,Left,2,,武川,,Fastball,InPlay,LineDrive,Single,Undefined,0,1,尾瀬,8.4,,"武川,内海壮",※,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,中安,0:12:55,0:00:32,https://youtu.be/t29myOeRX8U&t=775,1220,https://youtu.be/KGCCR4ob3Yw&t=1220
11,12.0,2023/5/10,0:06:19,2023/5/10,0:06:19,4.0,1.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Takato, Utsumi",1000089963.0,Left,HOS_HOS,Undefined,1,Top,1,0,0,Slider,,InPlay,Undefined,FlyBall,,Out,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2023/5/10,12.0,379.3914528,379.3914599,379.3914621,Normal,4.0,1.0,1,Top,1,0,0,4,内海貴,Left,清水大,Left,1,内海壮,,,Slider,InPlay,FlyBall,Out,Undefined,1,0,尾瀬,8.2,,"内海壮,内海貴",138,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,中飛,0:13:36,0:00:41,https://youtu.be/t29myOeRX8U&t=816,1248,https://youtu.be/KGCCR4ob3Yw&t=1248
12,13.0,2023/5/10,0:06:54,2023/5/10,0:06:54,5.0,1.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Sota, Imaizumi",1000089968.0,Right,HOS_HOS,Undefined,1,Top,2,0,0,Slider,,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2023/5/10,13.0,414.3739979,414.3740008,414.374002,Normal,5.0,1.0,1,Top,2,0,0,5,今泉,Right,清水大,Left,1,内海壮,,,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,128,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:14:11,0:00:35,https://youtu.be/t29myOeRX8U&t=851,1271,https://youtu.be/KGCCR4ob3Yw&t=1271
13,14.0,2023/5/10,0:07:13,2023/5/10,0:07:13,5.0,2.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Sota, Imaizumi",1000089968.0,Right,HOS_HOS,Undefined,1,Top,2,0,1,Slider,,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2023/5/10,14.0,433.757844,433.7578502,433.7578518,Normal,5.0,2.0,1,Top,2,0,1,5,今泉,Right,清水大,Left,1,内海壮,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,126,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:14:30,0:00:19,https://youtu.be/t29myOeRX8U&t=870,1282,https://youtu.be/KGCCR4ob3Yw&t=1282
14,15.0,2023/5/10,0:07:32,2023/5/10,0:07:32,5.0,3.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Sota, Imaizumi",1000089968.0,Right,HOS_HOS,Undefined,1,Top,2,1,1,Slider,,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2023/5/10,15.0,452.304013,452.304019,452.3040199,Normal,5.0,3.0,1,Top,2,1,1,5,今泉,Right,清水大,Left,1,内海壮,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,126,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:14:49,0:00:19,https://youtu.be/t29myOeRX8U&t=889,1301,https://youtu.be/KGCCR4ob3Yw&t=1301
15,16.0,2023/5/10,0:07:53,2023/5/10,0:07:53,5.0,4.0,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Sota, Imaizumi",1000089968.0,Right,HOS_HOS,Undefined,1,Top,2,2,1,Slider,,InPlay,Undefined,LineDrive,,Out,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2023/5/10,16.0,473.3100059,473.3100119,473.3100128,Normal,5.0,4.0,1,Top,2,2,1,5,今泉,Right,清水大,Left,1,内海壮,,,Slider,InPlay,LineDrive,Out,Undefined,1,0,熊田,6.0,,"内海壮,今泉",※,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,遊直,0:15:10,0:00:21,https://youtu.be/t29myOeRX8U&t=910,1322,https://youtu.be/KGCCR4ob3Yw&t=1322
16,17.0,2023/5/10,0:10:36,2023/5/10,0:10:36,1.0,1.0,"Shoei, Yoshitsuru",1000101179,Left,HOS_HOS,"Yudai, Ose",1000126636.0,Left,WAS_EDA,Undefined,1,Bottom,0,0,0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,2023/5/10,1.0,636.993001,636.9930041,636.993005,Normal,1.0,1.0,1,Bottom,0,0,0,1,尾瀬,Left,吉鶴,Left,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,146,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:17:50,0:02:40,https://youtu.be/t29myOeRX8U&t=1070,1444,https://youtu.be/KGCCR4ob3Yw&t=1444
17,18.0,2023/5/10,0:10:55,2023/5/10,0:10:55,1.0,2.0,"Shoei, Yoshitsuru",1000101179,Left,HOS_HOS,"Yudai, Ose",1000126636.0,Left,WAS_EDA,Undefined,1,Bottom,0,1,0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,2023/5/10,2.0,655.525929,655.5259352,655.5259368,Normal,1.0,2.0,1,Bottom,0,1,0,1,尾瀬,Left,吉鶴,Left,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,147,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:18:09,0:00:19,https://youtu.be/t29myOeRX8U&t=1089,1462,https://youtu.be/KGCCR4ob3Yw&t=1462
18,19.0,2023/5/10,0:11:07,2023/5/10,0:11:07,1.0,3.0,"Shoei, Yoshitsuru",1000101179,Left,HOS_HOS,"Yudai, Ose",1000126636.0,Left,WAS_EDA,Undefined,1,Bottom,0,2,0,Fastball,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,2023/5/10,3.0,667.351481,667.351486,667.3514879,Normal,1.0,3.0,1,Bottom,0,2,0,1,尾瀬,Left,吉鶴,Left,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,149,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:18:21,0:00:12,https://youtu.be/t29myOeRX8U&t=1101,1474,https://youtu.be/KGCCR4ob3Yw&t=1474
19,20.0,2023/5/10,0:11:18,2023/5/10,0:11:18,1.0,4.0,"Shoei, Yoshitsuru",1000101179,Left,HOS_HOS,"Yudai, Ose",1000126636.0,Left,WAS_EDA,Undefined,1,Bottom,0,2,1,Fastball,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,2023/5/10,4.0,678.2653461,678.2653539,678.2653549,Normal,1.0,4.0,1,Bottom,0,2,1,1,尾瀬,Left,吉鶴,Left,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,146,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:18:32,0:00:11,https://youtu.be/t29myOeRX8U&t=1112,1485,https://youtu.be/KGCCR4ob3Yw&t=1485
20,21.0,2023/5/10,0:11:29,2023/5/10,0:11:29,1.0,5.0,"Shoei, Yoshitsuru",1000101179,Left,HOS_HOS,"Yudai, Ose",1000126636.0,Left,WAS_EDA,Undefined,1,Bottom,0,2,2,Slider,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2023/5/10,5.0,689.733005,689.733011,689.7330129,Normal,1.0,5.0,1,Bottom,0,2,2,1,尾瀬,Left,吉鶴,Left,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,132,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:18:43,0:00:11,https://youtu.be/t29myOeRX8U&t=1123,1496,https://youtu.be/KGCCR4ob3Yw&t=1496
21,22.0,2023/5/10,0:11:41,2023/5/10,0:11:41,1.0,6.0,"Shoei, Yoshitsuru",1000101179,Left,HOS_HOS,"Yudai, Ose",1000126636.0,Left,WAS_EDA,Undefined,1,Bottom,0,3,2,Fastball,,BallCalled,Walk,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,HOS_HOS,,,,20230510-JinguStadium-1,,,,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2023/5/10,6.0,701.3970618,701.3970649,701.3970659,Normal,1.0,6.0,1,Bottom,0,3,2,1,尾瀬,Left,吉鶴,Left,,,,,Fastball,BallCalled,Undefined,Undefined,Walk,0,0,,,,,148,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,四球,0:18:55,0:00:12,https://youtu.be/t29myOeRX8U&t=1135,1508,https://youtu.be/KGCCR4ob3Yw&t=1508
