PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
1,2022/10/30,01:22.4,2022/10/30,01:22.4,1,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,144.66563,-1.364457,-2.1914,2120.088356,199.876973,12:45,1.681449,0.55076,1.961196,-47.9966,38.2369,12.8171,0.818933,0.064799,132.01615,-4.96882,-1.277138,0.419365,157.93403,5.844521,-11.59632,1844.800155,,,,38.243962,35.69723,-15.677126,1.001318,-8.2995,21.8265,-0.503928,15.24,1.649222,1.462277,-39.796738,-1.108366,-1.71424,8.60652,-5.298419,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,5f3e6130-57ee-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,144.6471,1.664833,,12.64949,,,,16.478351,-40.063651,4.30326,1.681048,-0.944047,-2.649209,-0.550102,1.51544,-0.85712,0.248109,0.762508,-0.057501,,0.293624,42.126774,-5.680371,,,,,,,0.784282,4.168972,-4.965313,,,,,,,-0.032735,-9.118288,-1.189353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=629,22A
2,2022/10/30,01:54.9,2022/10/30,01:54.9,2,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,145.27069,-1.878769,-1.925568,2077.631763,197.08063,12:30,1.684948,0.536458,1.906949,-53.9992,32.0789,9.0065,0.616428,0.085126,132.80404,-5.888204,-1.284907,0.418987,,,,,,,,,,,,-6.0324,18.8438,-0.493403,15.24,1.639243,1.298279,-39.944731,-1.507364,-1.256808,8.574082,-5.880667,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,729eb4f0-57ee-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,144.77764,,,12.46665,,,,16.532241,-40.221152,4.287041,1.684783,-1.317777,-2.940334,-0.535912,1.338797,-0.628404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=661,22A
3,2022/10/30,02:06.2,2022/10/30,02:06.2,2,2,"Yosuke, Ikeda",1000089900,Right,RIK,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,146.34908,-1.214293,-1.249971,2206.486601,196.572198,12:30,1.684447,0.508267,1.937507,-41.935,42.3835,11.8134,0.924327,0.2757,133.63776,-4.379383,-0.407999,0.414683,145.09989,-17.82038,-34.123402,,,,,2.775516,2.702154,-40.176833,0.070947,-7.0324,23.7527,-0.48129,15.24,1.655206,0.82111,-40.278424,-0.990133,-1.490396,8.681864,-4.772644,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,795b8f70-57ee-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,146.28041,0.877203,,12.71132,,,,16.501873,-40.549504,4.340932,1.683795,-0.841113,-2.386322,-0.507655,0.867645,-0.745198,-0.13836,0.877203,-0.259808,180.0,-0.139225,31.841041,,,,,,,,0.877539,-12.364276,,,,,,,,-0.259222,-21.576978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=673,22A
4,2022/10/30,02:36.3,2022/10/30,02:36.3,3,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,135.92842,0.077491,-1.207634,2250.14398,153.576711,11:00,1.648161,0.608847,1.84161,-80.4504,18.1075,-7.5131,0.86553,0.192874,124.84562,-5.809552,-1.740111,0.448333,,,,,,,,,,,,3.0155,10.2551,-0.579707,15.24,1.644841,0.824562,-37.412431,-0.258075,0.553615,7.210164,-7.92395,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,8b4fd010-57ee-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,135.30133,,,11.08281,,,,16.597724,-37.673184,3.605082,1.648992,0.028492,-3.961975,-0.609165,0.804541,0.276807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=703,22A
5,2022/10/30,02:49.5,2022/10/30,02:49.5,3,2,"Yosuke, Ikeda",1000089900,Right,RIK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,145.92886,-2.424826,-1.310374,2183.478652,195.399831,12:30,1.677126,0.520661,1.956126,-33.6462,51.7729,13.4399,0.660647,0.287831,132.21647,-5.016885,-0.351471,0.417381,,,,,,,,,,,,-7.9672,29.686,-0.492796,15.24,1.622359,0.850496,-40.101456,-1.787315,-1.659784,9.266114,-3.622241,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,932805a0-57ee-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,145.33495,,,13.71239,,,,16.482594,-40.387557,4.633057,1.675817,-1.675474,-1.811121,-0.519848,0.901744,-0.829892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=716,22A
6,2022/10/30,03:06.6,2022/10/30,03:06.6,3,3,"Yosuke, Ikeda",1000089900,Right,RIK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,146.24712,-2.457849,-1.011535,2202.98939,197.729378,12:30,1.683526,0.532349,1.897109,-39.1864,46.3833,13.887,0.599912,0.386717,132.73746,-5.428574,-0.023984,0.417748,,,,,,,,,,,,-7.908,26.724,-0.510061,15.24,1.625085,0.638744,-40.184036,-1.84778,-1.656684,9.187774,-4.208111,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,9d649100-57ee-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,145.20705,,,13.50966,,,,16.541651,-40.480555,4.593887,1.682527,-1.711971,-2.104055,-0.531538,0.69221,-0.828342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=733,22A
7,2022/10/30,03:27.8,2022/10/30,03:27.8,3,4,"Yosuke, Ikeda",1000089900,Right,RIK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,1,2,TwoSeamFastBall,Changeup,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,,,141.17331,-1.329545,-2.546264,1772.343723,239.063481,2:00,1.624843,0.551434,1.833448,-65.303,27.2058,40.1407,0.595992,0.233456,128.33281,-6.147741,0.296223,0.434356,142.67786,18.20392,5.047652,1719.067511,33.438609,9.439014,2.444298,91.137251,89.012025,2.736988,3.532572,-22.63,15.9375,-0.493197,15.24,1.588792,1.528195,-38.790636,-1.150411,-4.418078,8.556888,-6.695151,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,a9f322b0-57ee-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,139.65489,11.117974,,12.8405,,,,16.606225,-39.090852,4.278444,1.625033,-0.915514,-3.347576,-0.549532,1.683202,-2.209039,0.427177,0.591159,-0.232838,177.804879,0.427065,37.507134,-6.222802,1.447412,-0.321743,0.071867,-0.014678,0.00205,-0.000125,0.591316,12.375545,-3.508003,-0.212415,0.133244,-0.046586,0.011285,-0.001392,5.5e-05,-0.23284,3.312161,-0.673279,-0.026046,0.032535,-0.006339,0.000218,9.7e-05,-1e-05,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=754,22A
8,2022/10/30,05:59.7,2022/10/30,05:59.7,1,1,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,145.56439,-2.085272,2.533415,2241.661659,163.723966,11:30,1.804351,-0.676816,1.98236,-37.5069,47.4271,-13.0485,0.845118,-0.09814,132.95147,-4.939702,1.602007,0.416194,118.43016,31.557258,108.789388,3726.931028,,,,,16.098573,,,8.6297,27.1502,0.623464,15.24,1.757812,-1.70885,-40.025338,-1.568198,1.805991,8.573802,-4.124736,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,048be270-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,145.74945,9.08365,,12.61293,,,,16.457049,-40.285198,4.286901,1.803447,-1.443183,-2.062368,0.676086,-1.763587,0.902996,-0.170397,0.824812,0.091542,297.400214,-0.170397,-9.028946,-1.641238,0.501814,-0.167925,0.272435,-0.655635,0.842521,-0.413454,0.824812,17.216798,-6.425257,0.662773,-0.150529,0.137001,-0.290398,0.367375,-0.179081,0.091542,26.538469,-4.148297,0.445397,-0.102158,0.104588,-0.245928,0.305866,-0.145909,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=906,22A
9,2022/10/30,06:17.5,2022/10/30,06:17.5,1,2,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Bottom,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,130.62166,-0.132678,1.430797,2210.267473,276.920766,3:15,1.791418,-0.685098,1.74911,-113.5433,-2.8559,57.0888,0.618318,0.291951,118.01676,-8.350969,5.454342,0.47512,,,,,,,,,,,,-28.1206,-0.3924,0.644408,15.24,1.779692,-1.159948,-35.873857,-0.531822,-4.613433,8.416617,-9.87102,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,0f194cf0-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,127.67288,,,12.6049,,,,16.69101,-36.212688,4.208309,1.793103,-0.13444,-4.93551,0.687366,-0.974223,-2.306717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=924,22A
10,2022/10/30,06:31.1,2022/10/30,06:31.1,1,3,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Bottom,0,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,143.86388,-2.28279,2.465854,2241.364493,168.270515,11:30,1.795178,-0.650512,2.017582,-50.2549,36.9407,-7.0508,0.654515,-0.032311,130.75474,-6.06333,1.961249,0.421698,,,,,,,,,,,,5.62,22.103,0.599815,15.24,1.745383,-1.670211,-39.538098,-1.738493,1.138566,8.979984,-5.328784,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,17351b30-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,143.84691,,,13.10915,,,,16.421727,-39.80559,4.489992,1.794804,-1.579762,-2.664392,0.650071,-1.704126,0.569283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=938,22A
11,2022/10/30,06:50.2,2022/10/30,06:50.2,1,4,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Bottom,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,129.08752,0.058456,1.345618,2230.520825,281.572038,3:30,1.750021,-0.788206,1.784664,-120.6657,-7.8016,58.3801,0.559924,0.176732,116.67838,-8.682632,5.470399,0.479769,,,,,,,,,,,,-28.5994,-2.7936,0.750858,15.24,1.743166,-1.104555,-35.456796,-0.436999,-4.583503,8.222298,-10.254375,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,22a396e0-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,126.43578,,,12.40914,,,,16.655106,-35.783449,4.111149,1.752435,-0.029616,-5.127187,0.791122,-0.922463,-2.291751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=957,22A
12,2022/10/30,07:16.1,2022/10/30,07:16.1,2,1,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,145.60934,-4.033256,2.07068,2342.672831,171.008966,11:45,1.7871,-0.683635,2.029658,-38.2997,46.7986,-6.9415,0.276569,-0.175255,132.56023,-6.944984,1.573356,0.416596,,,,,,,,,,,,5.2435,28.6413,0.641548,15.24,1.702419,-1.413238,-39.970924,-2.929043,1.087268,9.061476,-3.867692,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,32154b50-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,145.60871,,,13.04911,,,,16.409781,-40.235241,4.530738,1.786212,-2.816225,-1.933846,0.683233,-1.444953,0.543634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=983,22A
13,2022/10/30,07:27.5,2022/10/30,07:27.5,2,2,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Bottom,1,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,145.86374,-1.888816,2.060344,2266.629662,177.301654,12:00,1.799145,-0.674002,2.003221,-42.4513,42.1958,-1.8562,0.846408,-0.116704,132.79115,-5.10498,1.927607,0.41549,144.24766,-17.661642,-48.445813,,,,,3.117199,0.707361,-37.845791,0.07112,2.5289,24.4589,0.630959,15.24,1.757366,-1.434645,-40.118524,-1.455186,0.529009,9.017201,-4.69021,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,38ce2e30-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,145.99621,0.866649,,13.07259,,,,16.436319,-40.386518,4.508601,1.798544,-1.315791,-2.345105,0.673831,-1.450368,0.264505,0.656055,0.866649,0.124326,,0.655364,25.386333,,,,,,,,0.866981,-12.185659,,,,,,,,0.125106,-28.639406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=994,22A
14,2022/10/30,08:04.2,2022/10/30,08:04.2,3,1,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Bottom,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,144.82135,-1.586825,3.206762,2282.902779,171.030829,11:45,1.784934,-0.697526,1.985672,-45.8376,40.4534,-5.9275,0.881941,0.141013,131.65925,-5.046399,2.784047,0.419505,,,,,,,,,,,,5.5059,23.2298,0.629638,15.24,1.748709,-2.200425,-39.783814,-1.24853,1.132243,8.89238,-5.029608,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,4eb61730-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.59895,,,13.16209,,,,16.453242,-40.054076,4.44619,1.784332,-1.095667,-2.514804,0.697038,-2.234837,0.566121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=1031,22A
15,2022/10/30,08:17.4,2022/10/30,08:17.4,3,2,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Bottom,2,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,114.64177,3.942172,0.893421,2194.976386,334.628136,5:15,1.814223,-0.623135,1.782005,-184.8695,-42.2816,22.4342,1.084,-0.145722,103.96215,-9.400771,2.478097,0.539257,,,,,,,,,,,,-10.555,-22.8512,0.599487,15.24,1.89952,-0.586637,-31.461571,1.490388,-1.342374,6.099249,-12.712848,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,56a1adb0-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,112.48804,,,10.67962,,,,16.658805,-31.735433,3.049624,1.819785,2.061208,-6.356424,0.624475,-0.526363,-0.671187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=1044,22A
16,2022/10/30,08:30.7,2022/10/30,08:30.7,3,3,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Bottom,2,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,,,144.64261,-2.173363,3.096304,2268.420071,162.04387,11:30,1.788194,-0.661438,1.984944,-46.9343,39.9145,-11.9528,0.70979,0.085899,131.1101,-5.715747,2.243469,0.420859,127.20879,33.699875,-39.891504,5000.976666,23.392718,17.56197,-24.018712,77.561539,77.561539,-53.659211,4.220722,8.6902,23.5178,0.596165,15.24,1.739437,-2.091929,-39.718971,-1.659192,1.773779,9.188441,-5.006385,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,5e81d280-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.1338,19.083318,,13.53251,,,,16.454219,-39.998878,4.59422,1.787658,-1.506683,-2.503192,0.660714,-2.145963,0.886889,0.08923,0.699228,-0.114567,138.750319,0.08957,22.546421,-5.539608,1.250267,-0.20396,0.016127,-0.00138,0.000457,-4.6e-05,0.69914,19.607604,-5.86502,0.420754,-0.052268,-0.004192,0.00575,-0.001237,8.5e-05,-0.114713,-18.851488,1.243545,-0.011272,-0.026864,0.000953,0.002889,-0.000869,7.5e-05,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=1057,22A
17,2022/10/30,08:57.8,2022/10/30,08:57.8,3,4,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Bottom,2,1,2,Slider,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,129.74102,0.487265,2.150403,2359.982049,280.488698,3:15,1.765375,-0.713034,1.725098,-115.3006,-3.3107,39.2373,0.750965,0.290836,117.62761,-7.845512,4.908653,0.477908,,,,,,,,,,,,-18.085,-0.9075,0.654559,15.24,1.76928,-1.524515,-35.618713,-0.161816,-2.946565,7.847881,-9.954502,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,6eb48d00-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,126.92825,,,12.11342,,,,16.714453,-35.942111,3.923941,1.767496,0.248393,-4.977251,0.71488,-1.403092,-1.473283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=1084,22A
18,2022/10/30,09:20.5,2022/10/30,09:20.5,3,5,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Bottom,2,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,145.51501,-0.677073,3.584336,2243.034463,172.299629,11:45,1.795861,-0.684257,1.980383,-49.1445,36.1355,-4.5129,1.114608,0.274732,132.60404,-4.366651,3.262901,0.41704,,,,,,,,,,,,4.98,20.2433,0.607938,15.24,1.778753,-2.482984,-39.984435,-0.636834,1.037645,8.740399,-5.588713,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,7c367f60-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,145.45352,,,12.91097,,,,16.458805,-40.249978,4.3702,1.795521,-0.467043,-2.794356,0.683852,-2.514509,0.518823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.85962,2.805429,1.240781,1.564648,-0.199111,1.06542,-0.31063,-1.038021,1.727186,-1.2285,24.133438,0.041455,13.899746,-1.007553,17.84298,-1.144084,1.757445,5.7615,-4.394908,-1.213057,10.599807,-0.606275,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=1107,22A
19,2022/10/30,11:35.0,2022/10/30,11:35.0,1,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,2,Top,0,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,144.49146,-0.546822,-4.008464,2242.232798,172.807301,11:45,1.6631,0.54228,1.959793,-52.4271,34.3062,-3.9806,0.985266,-0.62227,131.87493,-4.461741,-4.291254,0.420579,,,,,,,,,,,,-0.8453,19.2034,-0.455007,15.24,1.648345,2.799962,-39.697486,-0.560044,-0.173541,8.646429,-5.864181,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20221030-JinguStadium-1,cc5de820-57ef-11ed-af67-870f51f3f78f,81dafd7e-e648-4492-8494-0c602723ad1a,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,144.2298,,,12.61654,,,,16.480257,-39.966711,4.323215,1.66294,-0.377451,-2.932091,-0.542274,2.805365,-0.086771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,https://youtu.be/7s027RFgqRQ/&t=1242,22A
