PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
1,2022/10/15,01:18.9,2022/10/15,01:18.9,1,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,129.66006,-0.614497,4.31589,1330.498267,132.656236,10:30,1.611296,-0.742975,1.739277,-79.6343,30.4573,-29.3729,0.639944,0.19126,119.15127,-6.41611,2.25508,0.47384,148.09433,-15.852274,7.48129,,,,,2.598597,2.598597,2.053126,0.055167,17.9355,16.9172,0.634853,15.24,1.589615,-2.551009,-35.589271,-0.680755,2.984277,6.426531,-6.991812,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,42bfd1a0-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,128.01789,0.620904,,10.50878,,,,16.700703,-35.852068,3.213266,1.611607,-0.394843,-3.495906,0.741665,-2.673043,1.492139,0.42893,0.620904,-0.191605,180.0,0.428373,39.298626,,,,,,,,0.621064,-11.254934,,,,,,,,-0.191678,5.160708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=348,22A
2,2022/10/15,01:54.5,2022/10/15,01:54.5,2,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,141.26136,-2.430781,3.686368,2184.314381,155.546294,11:15,1.602818,-0.732953,1.715288,-34.3173,60.3116,-25.848,0.566476,0.058426,127.32985,-5.064246,1.874784,0.439305,,,,,,,,,,,,15.9154,33.3629,0.639132,15.24,1.53701,-2.354649,-38.683462,-1.744828,3.076688,8.825834,-3.357091,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,57e63f60-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.08159,,,13.93151,,,,16.723244,-39.020404,4.412917,1.601175,-1.616665,-1.678545,0.731267,-2.472108,1.538344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=384,22A
3,2022/10/15,02:04.1,2022/10/15,02:04.1,2,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,1,0,1,Curveball,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,117.16527,1.466327,2.282498,1960.498949,319.899405,4:45,1.601564,-0.687339,1.619888,-155.7827,-19.154,19.5509,0.46363,0.161463,108.44818,-9.621031,3.649661,0.527868,122.82798,-11.20662,26.232586,,,,,2.672787,2.415726,19.158127,0.070505,-8.262,-9.5414,0.622492,15.24,1.628399,-1.369125,-32.212834,0.222494,-1.122718,5.426698,-11.103217,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,5dbdc2f0-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,114.91501,0.468317,,8.71709,,,,16.820986,-32.478081,2.713349,1.60426,0.765199,-5.551608,0.688072,-1.314249,-0.561359,0.404465,0.468317,-0.167666,180.0,0.403881,30.072814,,,,,,,,0.468446,-6.642298,,,,,,,,-0.167954,14.81891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=393,22A
4,2022/10/15,02:44.5,2022/10/15,02:44.5,3,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,142.16057,-3.470021,2.416486,2211.528505,148.089443,11:00,1.601045,-0.699745,1.726559,-40.7072,51.7168,-30.2509,0.20569,-0.315069,129.56487,-6.516372,0.289592,0.434157,,,,,,,,,,,,17.2001,29.7821,0.639855,15.24,1.508506,-1.490871,-38.992187,-2.508389,3.406765,8.343159,-3.907804,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,75acc690-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,139.719,,,12.5957,,,,16.713111,-39.306124,4.17158,1.600125,-2.361346,-1.953902,0.698365,-1.619061,1.703382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=434,22A
5,2022/10/15,02:55.1,2022/10/15,02:55.1,3,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,142.39436,-2.629423,2.783031,2219.030658,151.889211,11:00,1.597227,-0.675345,1.745527,-39.9399,51.6718,-25.9876,0.449997,-0.144569,129.93725,-5.627023,0.955056,0.432245,,,,,,,,,,,,15.1468,29.0273,0.606454,15.24,1.527332,-1.764671,-39.08009,-1.931957,3.022599,8.156605,-4.01413,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,7c056100-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.33702,,,12.45711,,,,16.693725,-39.382336,4.078303,1.596165,-1.783212,-2.007065,0.673919,-1.876674,1.511299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=444,22A
6,2022/10/15,03:06.0,2022/10/15,03:06.0,3,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,127.66794,-0.732496,2.772897,2095.687319,227.325555,1:30,1.583773,-0.737792,1.716628,-101.7727,12.915,9.9103,0.357485,0.150479,116.84023,-8.086145,3.469224,0.48363,,,,,,,,,,,,-2.9424,8.2331,0.665068,15.24,1.556981,-1.743945,-35.056728,-0.844237,-0.469952,6.888721,-8.491665,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,8290f250-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,125.42653,,,10.82771,,,,16.722825,-35.346905,3.444361,1.585009,-0.486538,-4.245832,0.738112,-1.724149,-0.234976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=455,22A
7,2022/10/15,03:20.9,2022/10/15,03:20.9,3,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,1,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,LineDrive,Double,0,0,,,,132.02512,-0.465151,3.421359,1402.244583,117.735219,10:00,1.629689,-0.707756,1.729556,-82.8699,23.2684,-38.032,0.668577,-0.11473,121.28972,-6.489113,0.748739,0.465255,169.56363,19.014691,33.06525,1929.747626,27.026194,10.032008,19.841905,105.159786,99.05185,44.212572,3.482708,21.7583,13.093,0.622711,15.24,1.61143,-1.990172,-36.278812,-0.617769,3.758871,6.732252,-7.544749,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,8b74a470-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,130.38018,12.859436,,10.73539,,,,16.710605,-36.550693,3.366126,1.630226,-0.313075,-3.772375,0.706149,-2.141974,1.879435,0.65302,0.704249,0.121886,236.648909,0.653146,37.31586,-8.329886,1.977286,-0.435938,0.085068,-0.013843,0.001366,-4.5e-05,0.704153,15.3487,-5.24258,0.287397,-0.036411,0.011216,-0.004124,0.001048,-0.000104,0.12182,24.297109,-0.716142,-0.297032,0.163222,-0.060843,0.016763,-0.002779,0.000201,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=470,22A
8,2022/10/15,04:24.9,2022/10/15,04:24.9,4,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,2,,,117.6125,1.277067,2.58431,1927.180479,325.720235,4:45,1.593712,-0.722918,1.629284,-160.9716,-24.8644,19.8242,0.349545,0.214687,108.53969,-10.177412,3.971454,0.52686,,,,,,,,,,,,-8.0791,-12.234,0.650156,15.24,1.614876,-1.54585,-32.319537,0.094601,-1.099442,5.729434,-11.471508,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,b19a6b80-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,115.13499,,,9.0728,,,,16.81156,-32.596944,2.864717,1.596849,0.650028,-5.735754,0.723714,-1.492617,-0.549721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=534,22A
9,2022/10/15,04:48.4,2022/10/15,04:48.4,4,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,,,140.61332,-2.301452,3.012689,2166.09682,149.144473,11:00,1.5807,-0.747688,1.724116,-43.3861,52.1233,-29.0109,0.491399,-0.180657,126.5594,-5.576851,0.975243,0.441344,,,,,,,,,,,,17.1236,29.3029,0.672126,15.24,1.518033,-1.876146,-38.53092,-1.696468,3.273371,8.994682,-4.205066,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,bf9f97a0-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,137.44366,,,14.05392,,,,16.714588,-38.873625,4.497341,1.579618,-1.536252,-2.102533,0.745985,-2.000864,1.636686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=558,22A
10,2022/10/15,05:14.7,2022/10/15,05:14.7,4,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,0,2,Curveball,Curveball,InPlay,Undefined,LineDrive,LineDrive,Triple,0,1,2,,,119.66901,1.486134,1.71226,2076.775286,325.251634,4:45,1.669296,-0.682769,1.503164,-156.2362,-23.6336,19.1004,0.535383,0.001691,110.82051,-9.551761,3.039699,0.520033,157.47417,22.084064,28.486634,1892.918887,28.647185,11.555827,17.420235,102.289121,99.98423,38.510815,3.793865,-8.3553,-11.8167,0.62995,15.24,1.697547,-1.071531,-32.902098,0.20454,-1.186336,5.578356,-11.484451,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,cf529ad0-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,116.64651,14.703682,,8.8485,,,,16.937939,-33.188725,2.789178,1.671877,0.794633,-5.742226,0.683441,-1.010575,-0.593168,0.722466,0.600971,0.016849,229.457456,0.722348,35.629781,-7.192991,1.710903,-0.451412,0.133003,-0.034574,0.005431,-0.000352,0.601122,16.441325,-5.202552,0.216272,0.062594,-0.055219,0.019634,-0.003258,0.000206,0.016631,19.339198,-0.43798,-0.215945,0.059747,-0.000526,-0.003347,0.000787,-5.8e-05,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=584,22A
11,2022/10/15,06:13.8,2022/10/15,06:13.8,5,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,3,,,143.75686,-2.807587,2.843869,2296.159891,147.926008,11:00,1.62796,-0.779948,1.768907,-29.7186,60.8156,-36.0517,0.533299,-0.333662,129.76033,-5.114471,0.304699,0.429696,,,,,,,,,,,,20.5081,34.0824,0.711294,15.24,1.555488,-1.767677,-39.412766,-2.012621,4.118887,9.098322,-2.961479,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,f274e5e0-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,141.16971,,,13.99652,,,,16.67003,-39.741513,4.549161,1.626277,-1.905615,-1.48074,0.777854,-1.916504,2.059444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=643,22A
12,2022/10/15,06:29.5,2022/10/15,06:29.5,5,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,3,,,143.72087,-3.850226,2.811646,2266.364501,138.79964,10:45,1.616406,-0.787697,1.723119,-43.3262,47.7292,-38.9412,0.085688,-0.377214,130.37591,-7.08314,0.074618,0.430931,,,,,,,,,,,,22.0001,28.1772,0.718131,15.24,1.513558,-1.730805,-39.371672,-2.809507,4.418725,8.91829,-4.147248,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,fbccdda0-4c2d-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.76506,,,13.34496,,,,16.716436,-39.704699,4.459145,1.61558,-2.65464,-2.073624,0.785844,-1.895809,2.209362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=659,22A
13,2022/10/15,06:54.2,2022/10/15,06:54.2,5,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,2,1,1,Curveball,Curveball,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,3,,,117.56448,3.306341,1.000627,1923.839466,343.913114,5:30,1.642631,-0.732291,1.600289,-156.6086,-18.9066,6.7903,1.024708,-0.37777,106.92867,-7.908718,1.474684,0.529938,110.21382,56.285456,61.64142,6030.24522,11.511122,25.148813,31.490009,60.148617,57.151775,74.066496,4.394141,-2.6126,-10.6655,0.70368,15.24,1.721185,-0.594068,-32.252776,1.247099,-0.352037,5.998717,-11.243792,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,0aa0f280-4c2e-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,114.46628,25.330197,,10.63581,,,,16.839884,-32.54898,2.999359,1.645899,1.802293,-5.621896,0.732585,-0.576685,-0.176018,0.386164,0.854281,0.355562,220.349142,0.386019,8.077099,-2.222118,0.587982,-0.196707,0.0769,-0.021498,0.003292,-0.000204,0.855163,25.443824,-7.909699,0.805239,-0.021363,-0.058323,0.020101,-0.002874,0.000155,0.355573,14.953311,-0.834247,0.169455,-0.028944,0.005347,-0.00097,8.2e-05,-1e-06,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=683,22A
14,2022/10/15,07:23.6,2022/10/15,07:23.6,5,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,2,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,3,,,143.62012,-2.244232,2.407754,2278.711573,144.086482,10:45,1.615491,-0.750099,1.711336,-38.1905,52.0824,-35.5839,0.594277,-0.420599,131.06227,-5.113384,-0.091428,0.429075,,,,,,,,,,,,19.6603,28.8185,0.690189,15.24,1.554119,-1.469406,-39.439264,-1.678277,3.998181,8.260139,-3.94601,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,1c157bd0-4c2e-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,141.37388,,,12.55785,,,,16.72809,-39.749707,4.130069,1.614408,-1.529973,-1.973005,0.748238,-1.61967,1.999091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9139,2.874952,1.124659,1.750293,-0.2494,0.532452,0.422306,-0.826844,1.723213,0.902375,21.321361,0.311129,-16.711681,-0.80147,13.997477,-0.780505,1.778237,7.206896,-4.609479,0.867412,-11.515619,0.847712,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=713,22A
15,2022/10/15,09:55.6,2022/10/15,09:55.6,1,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Bottom,0,0,0,Splitter,Splitter,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,120.35326,2.027491,-1.740432,839.351972,234.305759,1:45,1.681106,0.250597,1.718756,-116.6276,12.0447,10.9745,1.091836,-0.134687,109.83799,-6.43611,-0.969113,0.512268,,,,,,,,,,,,-6.7892,5.9904,-0.206357,15.24,1.724818,0.955072,-33.056086,0.739212,-0.967114,5.958801,-8.953316,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,76aded70-4c2e-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,118.41455,,,10.51527,,,,16.720346,-33.321869,2.979401,1.68294,1.138562,-4.476658,-0.249919,0.998209,-0.483557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=865,22A
16,2022/10/15,10:10.8,2022/10/15,10:10.8,1,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,,,,144.04557,-1.523486,-1.933183,2250.891233,212.78929,1:00,1.660147,0.386857,1.847971,-38.3798,49.9796,30.3097,0.846248,0.144423,131.06712,-4.435219,0.214289,0.424503,156.34464,17.475722,26.336883,2069.195366,29.367209,8.946073,16.176566,92.876152,89.996837,35.033814,3.198352,-17.1361,27.8101,-0.34312,15.24,1.621669,1.187966,-39.606491,-1.177226,-3.499146,8.66858,-4.127907,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,7fb999f0-4c2e-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,142.89642,10.43659,,12.97845,,,,16.591812,-39.901262,4.33429,1.659314,-1.036858,-2.063954,-0.385539,1.306953,-1.749573,0.698609,0.854309,-0.149904,230.940043,0.6987,37.121679,-7.236274,1.593181,-0.320871,0.053141,-0.006666,0.000347,2.4e-05,0.854225,13.044726,-4.69711,0.194991,-0.026666,0.013519,-0.005454,0.001384,-0.000141,-0.149945,18.379104,-0.179292,-0.32067,0.15145,-0.058341,0.017666,-0.00319,0.000247,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=880,22A
17,2022/10/15,10:49.2,2022/10/15,10:49.2,2,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Bottom,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,113.62548,4.444543,1.571781,2333.216591,20.318785,6:45,1.687705,0.169242,1.560003,-181.8152,-35.6654,-14.7661,1.148683,0.472971,104.91066,-8.453965,0.544053,0.545951,,,,,,,,,,,,8.3262,-19.1355,-0.212872,15.24,1.798273,-0.789984,-31.191263,1.707093,1.066913,4.8104,-12.258656,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,96a05550-4c2e-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,111.10884,,,8.71483,,,,16.881575,-31.443412,2.4052,1.691951,2.34966,-6.129328,-0.169997,-0.845909,0.533456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=918,22A
18,2022/10/15,11:05.5,2022/10/15,11:05.5,2,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Bottom,1,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,,,143.83394,-2.214435,-1.755752,2242.019282,212.443369,1:00,1.640995,0.352135,1.769986,-40.9976,47.9242,28.702,0.602736,0.141336,131.88381,-5.277484,0.268614,0.425852,155.06365,30.637339,16.841533,2728.162083,31.751555,18.26301,10.768678,111.05142,107.632762,23.70871,5.253016,-15.9683,26.8977,-0.31037,15.24,1.582708,1.068552,-39.549951,-1.675937,-3.276296,8.05394,-4.28792,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20221015-JinguStadium-1,a055fd70-4c2e-11ed-9c8a-9981e4292aae,0bc0cb99-552d-4dc7-bba2-1d656589aa29,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,142.4438,26.253855,,11.95014,,,,16.670085,-39.840108,4.02697,1.640304,-1.521457,-2.14396,-0.350993,1.186587,-1.638148,0.754293,0.663803,-0.132559,205.799564,0.756234,35.430186,-7.004173,1.418803,-0.135616,-0.028568,0.010906,-0.001243,4.8e-05,0.662867,21.968561,-5.267984,0.327698,-0.069671,0.013564,0.000162,-0.000358,2.9e-05,-0.13206,10.728963,-0.13825,-0.317902,0.144939,-0.04328,0.008596,-0.00094,4.2e-05,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,https://youtu.be/jeQgnOVkTSc/&t=935,22A
