PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
1,2022/9/26,29:24.8,2022/9/26,29:24.8,1,1,"Kosei, Shoji",1000101253,Right,RIK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,149.55031,-2.988329,-2.246953,2054.426259,200.492891,12:45,1.831636,0.432701,1.697409,-33.637,50.5549,17.7827,0.64302,-0.029539,135.40427,-5.5345,-0.999221,0.414371,128.87848,64.350247,-60.951793,,,,,,18.265614,,,-10.8175,28.8509,-0.375138,15.24,1.75054,1.512826,-41.013857,-2.261379,-2.356192,9.731107,-3.522548,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,2e4d8030-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,146.39042,29.874983,,14.14605,,,,16.74217,-41.368732,4.865553,1.830666,-2.132918,-1.761274,-0.431874,1.598752,-1.178096,1.011993,0.698681,0.019195,,1.011993,7.52426,-3.525486,0.892225,-0.209767,0.051936,-0.012136,0.002244,-0.000225,0.698681,32.271777,-9.885408,1.616052,-0.39556,0.096418,-0.02281,0.004226,-0.000422,0.019195,-13.547232,1.347232,-0.333081,0.07745,-0.019225,0.004509,-0.000835,8.4e-05,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=322,22A
2,2022/9/26,29:44.4,2022/9/26,29:44.4,1,2,"Kosei, Shoji",1000101253,Right,RIK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,150.19447,-2.524491,-0.418488,2088.651947,192.357114,12:30,1.864415,0.415999,1.656558,-23.5997,61.4045,12.7101,0.907376,0.42365,133.84384,-4.400018,0.471821,0.416366,,,,,,,,,,,,-6.6984,33.9013,-0.405772,15.24,1.794494,0.226152,-41.140549,-1.866903,-1.446749,10.987092,-2.484464,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,3a08e360-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,145.68929,,,16.35063,,,,16.781339,-41.550144,5.493546,1.862365,-1.774283,-1.242232,-0.415208,0.280086,-0.723374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=342,22A
3,2022/9/26,30:01.2,2022/9/26,30:01.2,1,3,"Kosei, Shoji",1000101253,Right,RIK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,148.93298,-4.072174,-1.76752,2029.484861,188.910289,12:15,1.837692,0.420971,1.75277,-28.2925,57.7035,8.4906,0.396797,0.004189,132.56184,-6.284108,-1.169625,0.418788,,,,,,,,,,,,-5.9096,33.9875,-0.376864,15.24,1.7325,1.209735,-40.728412,-2.974153,-1.246421,11.055106,-2.638162,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,43f5a110-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,144.8467,,,16.37114,,,,16.685264,-41.118836,5.527553,1.835891,-2.880984,-1.319081,-0.420364,1.253754,-0.62321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=358,22A
4,2022/9/26,30:19.4,2022/9/26,30:19.4,1,4,"Kosei, Shoji",1000101253,Right,RIK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,1,2,Splitter,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,145.11375,-2.326256,-2.482685,1745.757596,246.557053,2:15,1.838008,0.432324,1.615196,-73.8646,16.471,30.7063,0.432714,0.028525,131.8152,-7.660147,-0.335472,0.429224,109.26024,-22.162083,58.881112,,,,,2.322702,1.78823,27.641551,0.052441,-17.4936,10.926,-0.366379,15.24,1.767066,1.559981,-39.798557,-1.953157,-3.584642,9.232555,-7.567786,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,4ed10480-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,141.32474,0.602195,,13.29855,,,,16.824655,-40.164486,4.616278,1.838534,-1.653211,-3.783893,-0.431024,1.702057,-1.792321,1.293531,0.602195,-0.188087,,1.293163,14.570233,,,,,,,,0.602485,-11.483316,,,,,,,,-0.188697,24.135358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=377,22A
5,2022/9/26,30:49.5,2022/9/26,30:49.5,2,1,"Kosei, Shoji",1000101253,Right,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,136.02582,-1.643085,-1.09707,2138.037624,78.119158,8:30,1.798677,0.471132,1.707189,-100.2809,1.7928,-8.99,0.328125,0.06903,123.34138,-8.880281,-1.73029,0.456259,,,,,,,,,,,,3.6305,3.3879,-0.441795,15.24,1.748078,0.760234,-37.33558,-1.496383,0.650393,8.571628,-9.199716,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,60cda990-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,132.95075,,,12.68444,,,,16.731928,-37.676545,4.285814,1.800323,-1.130434,-4.599858,-0.471522,0.734362,0.325196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=407,22A
6,2022/9/26,31:03.9,2022/9/26,31:03.9,2,2,"Kosei, Shoji",1000101253,Right,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Triple,0,0,,149.6745,-3.150922,-1.936088,2300.644723,195.713837,12:30,1.829502,0.416852,1.713235,-22.4648,62.9309,16.7194,0.707196,0.03314,133.02797,-4.958345,-0.761884,0.417323,163.13011,27.077108,14.074492,2161.941716,32.666522,16.18448,7.55089,115.483972,115.135629,12.576726,4.912339,-10.2524,35.7462,-0.367856,15.24,1.745985,1.291827,-40.968354,-2.303241,-2.1871,11.216886,-2.18109,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,69655e90-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,145.35495,24.102759,,16.64653,,,,16.725302,-41.373022,5.608443,1.827659,-2.224554,-1.090545,-0.415884,1.37073,-1.09355,0.735011,0.721303,-0.047061,170.767003,0.734976,39.137693,-7.661328,1.880587,-0.434566,0.097465,-0.017975,0.00209,-0.000106,0.721892,20.611918,-4.781188,-0.036044,0.165304,-0.079799,0.020091,-0.002547,0.000127,-0.046936,9.80954,-2.574063,0.761171,-0.19169,0.041739,-0.006966,0.000737,-3.5e-05,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=421,22A
7,2022/9/26,32:03.8,2022/9/26,32:03.8,3,1,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,3,139.47057,-1.563521,-4.019003,2163.604102,177.498237,12:00,1.821755,0.438429,1.815281,-86.902,8.5253,-0.232,0.509596,-0.701756,127.19909,-7.873193,-4.035367,0.441155,,,,,,,,,,,,-2.9902,6.5707,-0.340975,15.24,1.778031,2.688513,-38.248964,-1.39882,-0.567023,8.391371,-8.560675,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,8d173f70-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,137.50273,,,12.27149,,,,16.624089,-38.551421,4.195685,1.822889,-1.090261,-4.280337,-0.438247,2.70895,-0.283512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=481,22A
8,2022/9/26,32:22.1,2022/9/26,32:22.1,3,2,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,3,151.96186,-3.022557,-1.730775,2333.360926,185.902093,12:15,1.831533,0.411532,1.722946,-27.1372,55.5458,5.3945,0.699754,-0.026678,135.20388,-5.147492,-1.351622,0.410641,,,,,,,,,,,,-4.295,31.7681,-0.367249,15.24,1.751467,1.226144,-41.59945,-2.27095,-0.945572,11.486357,-2.812662,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,97fb5570-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,147.72016,,,16.75798,,,,16.715125,-42.004784,5.743178,1.829854,-2.171696,-1.406331,-0.411106,1.259511,-0.472786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=499,22A
9,2022/9/26,32:45.4,2022/9/26,32:45.4,3,3,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,3,118.14967,-0.409314,-2.040871,2395.995631,5.259019,6:15,1.88675,0.357441,1.6886,-191.6416,-53.5461,-5.4375,-0.146342,-0.278558,106.89017,-14.050142,-2.42534,0.530694,,,,,,,,,,,,0.7297,-25.6209,-0.303053,15.24,1.860569,1.178352,-32.409373,-0.967601,0.096312,7.586765,-13.188315,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,a5e6b800-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,114.30312,,,11.25951,,,,16.752166,-32.761446,3.793383,1.891271,-0.355581,-6.594157,-0.357632,1.173883,0.048156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=523,22A
10,2022/9/26,33:12.4,2022/9/26,33:12.4,3,4,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,2,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,3,139.38508,-3.463867,-2.49631,2195.869408,177.310815,12:00,1.800383,0.476327,1.834737,-82.5406,13.4444,-0.4685,-0.005055,-0.233555,126.59081,-9.463437,-2.529529,0.442442,,,,,,,,,,,,-1.8433,10.7343,-0.416683,15.24,1.712155,1.668115,-38.211921,-2.63834,-0.345885,8.982837,-7.792384,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,b5ef0720-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,137.10268,,,12.79427,,,,16.604897,-38.531444,4.491418,1.801072,-2.361162,-3.896192,-0.476237,1.680419,-0.172943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=550,22A
11,2022/9/26,33:44.7,2022/9/26,33:44.7,3,5,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,3,151.6213,-2.631613,-2.364576,2266.077508,191.562257,12:30,1.83201,0.399015,,-22.9078,58.9368,11.3344,0.862264,-0.152493,133.68831,-4.499295,-1.559276,0.408554,158.84171,44.800463,40.348856,4794.708227,23.236966,30.273284,24.169428,86.684636,85.550428,55.900921,5.594321,-8.2185,34.1325,-0.346272,15.24,1.771206,1.654917,-41.523482,-1.947904,-1.78357,12.320633,-2.399287,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,c94792b0-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,148.4748,37.428044,,17.93299,,,,16.528673,-41.904106,6.160317,1.830238,-1.873782,-1.199644,-0.398249,1.710018,-0.891785,0.787422,0.889233,0.14586,210.230981,0.793778,23.75237,-7.52961,1.808391,-0.266435,0.024532,-0.004443,0.000976,-7.4e-05,0.893048,31.014902,-7.896961,0.427427,0.253399,-0.158185,0.040173,-0.004856,0.000227,0.148908,20.21443,-2.428341,0.091185,0.188961,-0.091072,0.020322,-0.00224,9.8e-05,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=582,22A
12,2022/9/26,34:21.2,2022/9/26,34:21.2,3,6,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,2,2,Splitter,Changeup,InPlay,Undefined,FlyBall,,Out,1,0,3,144.31553,-2.202524,-2.743412,1543.787337,231.505277,1:45,1.864564,0.377058,1.728942,-55.9927,34.4633,39.1666,0.677734,-0.01145,130.20585,-6.343745,0.011341,0.42951,132.11567,60.284738,41.257066,,,,,,45.994043,,,-22.254,20.2647,-0.309555,15.24,1.803705,1.692367,-39.57771,-1.745542,-4.488917,9.481409,-5.719018,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,def1fd80-3d5c-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,141.23068,32.759857,,14.10968,,,,16.710563,-39.92845,4.740705,1.864364,-1.533982,-2.859509,-0.375231,1.858423,-2.244458,0.868887,0.733106,0.006592,198.663444,0.868899,13.673346,-6.266141,1.896272,-0.139573,-0.267214,0.188344,-0.058786,0.007385,0.733102,31.873531,-8.887065,1.087869,-0.298202,0.170309,-0.090103,0.027303,-0.003489,0.006592,11.995998,-1.908609,0.380335,-0.065124,0.017925,-0.008095,0.002636,-0.000372,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=618,22A
13,2022/9/26,35:19.6,2022/9/26,35:19.6,4,1,"Kosei, Shoji",1000101253,Right,RIK,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,3,151.66315,-3.160664,-3.334333,2301.766062,208.689753,1:00,1.83571,0.400771,1.65917,-31.5845,52.1145,26.6702,0.615423,-0.285158,135.14133,-5.58838,-1.469993,0.413157,,,,,,,,,,,,-16.2573,29.858,-0.31311,15.24,1.747932,2.258384,-41.455413,-2.395088,-3.564898,11.165108,-3.259416,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,01c87280-3d5d-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,146.82075,,,16.52182,,,,16.778902,-41.867831,5.582554,1.834178,-2.274691,-1.629708,-0.398962,2.390065,-1.782449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=677,22A
14,2022/9/26,35:44.2,2022/9/26,35:44.2,4,2,"Kosei, Shoji",1000101253,Right,RIK,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,2,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,3,138.97441,-0.753612,-2.484032,2285.791677,136.151174,10:30,1.832572,0.416667,1.719924,-90.1717,6.3791,-3.1164,0.716374,-0.321202,127.06458,-7.270453,-2.703154,0.443744,,,,,,,,,,,,-0.2615,4.748,-0.352125,15.24,1.806188,1.672035,-38.178623,-0.887742,-0.049606,8.057092,-8.905789,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,107e29f0-3d5d-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,136.70041,,,11.90983,,,,16.71963,-38.489613,4.028546,1.833819,-0.543994,-4.452894,-0.4167,1.673949,-0.024803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=701,22A
15,2022/9/26,36:07.4,2022/9/26,36:07.4,4,3,"Kosei, Shoji",1000101253,Right,RIK,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Double,0,1,3,152.21849,-3.182247,-2.053168,2369.23741,201.308033,12:45,1.82907,0.384457,1.68249,-29.0251,53.4342,19.5774,0.630444,-0.005119,136.07015,-5.42452,-0.68057,0.410085,131.7547,33.796173,30.5173,4847.676965,27.2123,17.47119,19.586138,80.475583,67.620039,43.251194,4.087896,-11.687,30.6713,-0.331612,15.24,1.742404,1.382561,-41.677204,-2.410032,-2.595078,11.128222,-2.996129,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,1e3a8d40-3d5d-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,147.92039,19.158383,,16.14834,,,,16.756271,-42.080115,5.564111,1.827699,-2.301553,-1.498064,-0.383371,1.47652,-1.297539,0.595308,0.668669,0.00254,224.645713,0.595138,26.206032,-6.168955,1.612866,-0.430252,0.13022,-0.035077,0.005627,-0.000364,0.668881,20.351877,-6.286439,0.417645,0.006355,-0.036062,0.013011,-0.001901,9.8e-05,0.002375,15.449514,-0.333875,-0.135442,0.017007,0.016717,-0.008289,0.001622,-0.000119,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=725,22A
16,2022/9/26,37:00.4,2022/9/26,37:00.4,5,1,"Kosei, Shoji",1000101253,Right,RIK,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,117.64123,2.328164,-0.889175,2326.944374,18.256342,6:30,1.877018,0.380593,1.449577,-186.7986,-45.1066,-16.6212,0.682414,-0.042646,106.46342,-10.872717,-2.042641,0.53756,,,,,,,,,,,,7.3026,-22.3221,-0.351553,15.24,1.928535,0.581524,-32.245515,0.506207,0.969601,6.71623,-12.770447,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,3dea46d0-3d5d-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,112.84312,,,11.1778,,,,16.990896,-32.60816,3.358115,1.882586,1.195751,-6.385224,-0.381539,0.52917,0.484801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=778,22A
17,2022/9/26,37:24.2,2022/9/26,37:24.2,5,2,"Kosei, Shoji",1000101253,Right,RIK,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,2,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,119.14326,1.809877,-1.19705,2426.554691,12.90298,6:30,1.855247,0.357511,1.4132,-187.2244,-48.1842,-12.2419,0.507567,-0.111713,107.74863,-11.378437,-2.045266,0.532506,,,,,,,,,,,,4.8781,-23.5272,-0.318705,15.24,1.891097,0.742832,-32.650654,0.206691,0.662295,7.022431,-13.000901,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,4c2d8d60-3d5d-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,113.91413,,,11.39463,,,,17.027338,-33.032834,3.511216,1.860595,0.914235,-6.50045,-0.358151,0.706788,0.331147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=801,22A
18,2022/9/26,37:53.6,2022/9/26,37:53.6,5,3,"Kosei, Shoji",1000101253,Right,RIK,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,2,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,2,150.32279,-2.092519,-2.258303,2262.948321,204.087173,12:45,1.874843,0.397659,1.646349,-30.5702,54.8357,22.9416,0.970777,-0.018241,133.34822,-4.46546,-0.653712,0.417348,122.09617,55.825846,170.248661,4204.760608,-33.459648,25.168096,2.138056,62.59115,27.851069,175.962239,4.106322,-13.6169,30.4464,-0.33832,15.24,1.815662,1.490511,-41.145403,-1.600393,-2.926011,11.423642,-3.2643,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,5d9b8700-3d5d-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,145.34626,25.192954,,16.97457,,,,16.792003,-41.57407,5.711821,1.873418,-1.477902,-1.63215,-0.396311,1.600308,-1.463006,0.726311,0.959017,0.013707,333.763296,0.726182,-18.774253,0.47215,0.223996,-0.016813,-0.043931,0.022619,-0.004411,0.000308,0.959484,28.046744,-9.946786,1.289584,-0.131551,-0.029986,0.012698,-0.001574,6e-05,0.013802,3.222544,-2.223368,0.806286,-0.09529,-0.038879,0.020314,-0.003575,0.000226,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=831,22A
19,2022/9/26,38:28.1,2022/9/26,38:28.0,5,4,"Kosei, Shoji",1000101253,Right,RIK,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,149.85761,-1.156974,-0.544055,2100.919906,215.717239,1:15,1.841549,0.410654,1.695451,-39.3566,45.4613,30.3033,1.118478,0.558763,133.68244,-4.142009,1.584226,0.415909,,,,,,,,,,,,-15.5598,24.7979,-0.398674,15.24,1.808121,0.213542,-41.087915,-0.969874,-3.35369,10.920657,-4.461844,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220926-JinguStadium-2,72271450-3d5d-11ed-8fad-4bbfb35d3eaf,4954181d-edc1-4922-8942-83ac1b46907a,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,145.84922,,,16.17518,,,,16.742247,-41.485272,5.460329,1.840457,-0.807526,-2.230922,-0.408664,0.335569,-1.676845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,https://youtu.be/awGQKjMN3P4/&t=865,22A
