count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,n_time,n_URL
0,1.0,2023/11/2,00:35.0,2023/11/2,00:35.0,1.0,1.0,"Mirai, Sayama",1000242823,Right,RIK,"Chihiro, Se",1000126512,Right,MEI_MEI,Undefined,1,Top,0,0.0,0.0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,136.95666,-1.49915,-2.731088,2631.996458,198.876195,12:45,1.545173,0.599143,1.706411,-72.7794,27.2488,8.1469,0.390203,-0.097128,124.59883,-6.810066,-2.1591,0.451664,,,,,,,,,,,,-6.2189,15.9609,-0.528442,15.24,1.500388,1.75187,-37.583707,-1.276454,-1.139634,8.039198,-6.88176,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,3ae63f70-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,134.30329,,,12.35783,,,,16.732784,-37.90167,4.019599,1.545491,-1.00427,-3.44088,-0.598623,1.796944,-0.569817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9f9077b6-5eb6-4dc7-917d-349b5bf97e1a,2023-11-02T10:00:35.0010000+09:00,2023-11-02T01:00:35.0010000Z,NoShift,28.8200133,22.7837133,,,27.71907087,-22.85442721,41.73888564,-15.02353881,80.30520118,-42.98293335,94.36485623,-4.018560127,82.14541766,42.57825593,1698886835,浅田 祐太朗,1.0,2023/11/2,1.0,,,,Normal,1.0,1.0,1,Top,0,0,0,1,瀨,Right,佐山,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,,,1046,https://youtu.be/fRKcBlhAgs0&t=1046
1,2.0,2023/11/2,00:45.4,2023/11/2,00:45.4,1.0,2.0,"Mirai, Sayama",1000242823,Right,RIK,"Chihiro, Se",1000126512,Right,MEI_MEI,Undefined,1,Top,0,0.0,1.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,138.99859,-1.427214,-4.192626,2704.339145,196.291259,12:30,1.528462,0.592891,1.76004,-67.7199,29.0113,7.5125,0.445305,-0.523229,126.37376,-6.390054,-3.665133,0.444158,,,,,,,,,,,,-7.0197,16.8675,-0.487718,15.24,1.487586,2.754727,-38.095148,-1.216415,-1.322103,8.234799,-6.629813,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,4120f1a0-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,136.57289,,,12.62484,,,,16.678968,-38.404942,4.117399,1.528656,-0.967002,-3.314906,-0.592287,2.804465,-0.661052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4f642848-47e8-4464-922f-fdf7a78e5986,2023-11-02T10:00:45.4380000+09:00,2023-11-02T01:00:45.4380000Z,NoShift,28.46597466,22.83857122,45.8732513,13.32690435,28.33131014,-23.43872432,42.22749494,-14.86089264,78.08544933,-45.27809958,94.45877833,-4.71528184,82.92452028,43.37351571,1698886845,浅田 祐太朗,2.0,2023/11/2,2.0,,,,Normal,1.0,2.0,1,Top,0,0,1,1,瀨,Right,佐山,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,,,1056,https://youtu.be/fRKcBlhAgs0&t=1056
2,3.0,2023/11/2,00:55.3,2023/11/2,00:55.2,1.0,3.0,"Mirai, Sayama",1000242823,Right,RIK,"Chihiro, Se",1000126512,Right,MEI_MEI,Undefined,1,Top,0,1.0,1.0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,125.26824,0.404769,-2.370977,2703.930974,57.676222,8:00,1.516331,0.595828,1.731254,-136.2023,-17.6066,-33.6942,0.269413,-0.41515,115.32552,-9.357033,-4.743007,0.491801,,,,,,,,,,,,15.3904,-8.1778,-0.532339,15.24,1.516453,1.577651,-34.443266,-0.293061,2.373881,6.625221,-11.068025,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,46fc1eb0-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,123.34267,,,9.94271,,,,16.709341,-34.724746,3.31261,1.518914,0.177177,-5.534012,-0.597225,1.476794,1.18694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedf7fd4-2256-4658-9bf1-6efea2fbcb03,2023-11-02T10:00:55.2560000+09:00,2023-11-02T01:00:55.2560000Z,NoShift,28.38313062,22.52010341,,,28.17668505,-23.30701121,42.27159695,-14.879231,78.73410628,-45.29908898,93.95897333,-4.338450845,82.82556901,43.28406996,1698886855,浅田 祐太朗,3.0,2023/11/2,3.0,,,,Normal,1.0,3.0,1,Top,0,1,1,1,瀨,Right,佐山,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,,,1066,https://youtu.be/fRKcBlhAgs0&t=1066
3,4.0,2023/11/2,01:05.7,2023/11/2,01:05.7,1.0,4.0,"Mirai, Sayama",1000242823,Right,RIK,"Chihiro, Se",1000126512,Right,MEI_MEI,Undefined,1,Top,0,2.0,1.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,140.64251,-1.604374,-3.222172,2479.368645,187.050249,12:15,1.535447,0.564207,1.809955,-40.5686,53.641,6.214,0.675287,-0.285684,126.87739,-4.690494,-2.783964,0.438331,111.30076,68.049387,126.790712,5274.09127,-27.714133,21.637923,18.869351,42.205634,17.824125,148.145278,4.590344,-5.8176,29.8389,-0.48626,15.24,1.493725,2.141298,-38.579116,-1.20939,-1.116384,8.920051,-4.08063,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,4d3179b0-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,138.38855,29.063509,,13.76513,,,,16.629259,-38.899007,4.460026,1.534472,-1.06305,-2.040315,-0.563769,2.181334,-0.558192,0.686193,0.690936,0.268425,339.754899,0.68572,-6.914152,-1.944137,0.824911,-0.115095,-0.041584,0.024088,-0.004371,0.000277,0.692461,28.638309,-8.720153,0.785686,0.116368,-0.129567,0.037341,-0.004874,0.000243,0.269644,9.226857,-1.713303,0.119712,0.150114,-0.085188,0.020173,-0.002247,9.6e-05,,,,,,,,,,,,,,,,,,,,,,,cadcca95-7f24-4ec6-a469-541502622317,2023-11-02T10:01:05.7210000+09:00,2023-11-02T01:01:05.7210000Z,NoShift,27.64205935,22.17229231,,,28.19093439,-23.14751439,41.58253519,-14.70005087,78.59491623,-45.1538061,93.57831753,-4.09429927,82.94659509,43.36080368,1698886866,浅田 祐太朗,4.0,2023/11/2,4.0,,,,Normal,1.0,4.0,1,Top,0,2,1,1,瀨,Right,佐山,Right,,,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,,,1077,https://youtu.be/fRKcBlhAgs0&t=1077
4,5.0,2023/11/2,01:26.1,2023/11/2,01:26.1,1.0,5.0,"Mirai, Sayama",1000242823,Right,RIK,"Chihiro, Se",1000126512,Right,MEI_MEI,Undefined,1,Top,0,2.0,2.0,Slider,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,125.51866,2.132423,-1.754964,2774.243923,74.222642,8:30,1.512802,0.612999,1.733873,-123.9927,-5.8772,-34.019,0.879213,-0.225894,114.80398,-6.822728,-4.146606,0.490804,157.77718,-1.24861,-12.691265,1964.473937,,,,12.878208,12.451759,-11.805303,0.29402,16.0639,-3.5714,-0.565365,15.24,1.558127,1.20989,-34.496817,0.804334,2.487158,6.606227,-10.359608,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,595e3c50-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,123.59312,0.934055,,10.71468,,,,16.706478,-34.776518,3.303114,1.514787,1.242948,-5.179804,-0.614361,1.104587,1.243579,0.574077,0.934055,0.194006,25.242681,0.574934,42.707364,-6.093524,,,,,,,0.935399,-1.015879,-7.38039,,,,,,,0.194231,-9.636618,0.048632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15614d7d-3cae-43b1-a832-f46a9a0d2682,2023-11-02T10:01:26.0870000+09:00,2023-11-02T01:01:26.0870000Z,NoShift,28.35157958,23.37200502,,,27.78647418,-23.07327725,42.1859658,-14.42356767,79.52936075,-45.75174691,92.11154423,-2.078952231,78.38213452,43.88416628,1698886886,浅田 祐太朗,5.0,2023/11/2,5.0,,,,Normal,1.0,5.0,1,Top,0,2,2,1,瀨,Right,佐山,Right,,,,,Undefined,InPlay,GroundBall,Out,Undefined,1,0,"丸山,小原",6.0,,瀨,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,遊ゴロ,,1090,https://youtu.be/fRKcBlhAgs0&t=1090
5,6.0,2023/11/2,01:56.1,2023/11/2,01:56.1,2.0,1.0,"Mirai, Sayama",1000242823,Right,RIK,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,Undefined,1,Top,1,0.0,0.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,109.44621,4.466725,0.063574,2590.368109,46.076262,7:30,1.587222,0.512552,1.744253,-192.9022,-34.8303,-42.1752,0.928865,0.108849,98.79435,-9.460299,-2.906782,0.567782,,,,,,,,,,,,21.195,-19.3909,-0.511128,15.24,1.687195,0.142333,-29.99831,1.663692,2.439413,5.744768,-12.038417,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,6b5207c0-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,106.83669,,,10.65185,,,,16.696395,-30.275929,2.872384,1.592739,2.245456,-6.019208,-0.515159,0.024447,1.219706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7487a676-ff61-4c8d-8666-fc1b584ab908,2023-11-02T10:01:56.1560000+09:00,2023-11-02T01:01:56.1560000Z,NoShift,22.90667309,18.19093639,43.33383377,13.95657629,23.10717075,-18.23459402,41.15750985,-11.03910009,74.84810452,-40.87548658,85.25229224,0.105562825,71.46553485,41.18067838,1698886916,浅田 祐太朗,6.0,2023/11/2,6.0,,,,Normal,2.0,1.0,1,Top,1,0,0,2,福原,Right,佐山,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,,,1102,https://youtu.be/fRKcBlhAgs0&t=1102
6,7.0,2023/11/2,02:05.2,2023/11/2,02:05.2,2.0,2.0,"Mirai, Sayama",1000242823,Right,RIK,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,Undefined,1,Top,1,1.0,0.0,Fastball,Cutter,FoulBall,Undefined,Undefined,,Undefined,0,0,,139.28617,-0.455563,-1.885532,2484.783995,185.842317,12:15,1.549916,0.581604,1.798638,-46.1605,47.9375,4.6199,0.959337,0.094103,127.99137,-3.8999,-1.559355,0.438071,107.94195,70.688597,102.643494,,,,,,6.411261,,,-3.6246,25.7675,-0.535724,15.24,1.535582,1.23972,-38.333295,-0.464749,-0.700997,7.317959,-4.823211,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,70a73bf0-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,138.47055,17.728697,,11.29481,,,,16.641244,-38.59987,3.658979,1.549312,-0.289052,-2.411606,-0.58135,1.265255,-0.350499,0.2339,0.966371,-0.090915,339.222169,0.2339,-2.170356,-2.387801,0.837217,0.213217,-1.061223,1.535681,-1.149953,0.356753,0.966371,28.296827,-7.888773,0.870623,-0.219104,0.217913,-0.284968,0.212828,-0.066245,-0.090915,9.675305,-2.299905,0.622966,0.079316,-0.52073,0.755235,-0.564866,0.175114,,,,,,,,,,,,,,,,,,,,,,,635a6d48-d583-4b47-8f0c-0c13dc8e6799,2023-11-02T10:02:05.1690000+09:00,2023-11-02T01:02:05.1690000Z,NoShift,23.51253603,18.38144996,43.68523229,13.23058713,24.83724647,-19.87808722,42.10730634,-11.49055502,75.87888722,-41.25231032,85.94928684,-1.085704573,70.16635473,41.16316245,1698886925,浅田 祐太朗,7.0,2023/11/2,7.0,,,,Normal,2.0,2.0,1,Top,1,1,0,2,福原,Right,佐山,Right,,,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,,,1111,https://youtu.be/fRKcBlhAgs0&t=1111
7,8.0,2023/11/2,02:23.5,2023/11/2,02:23.5,2.0,3.0,"Mirai, Sayama",1000242823,Right,RIK,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,Undefined,1,Top,1,1.0,1.0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,139.62008,-1.738837,-3.109187,2189.629372,245.023903,2:15,1.524399,0.600542,1.852257,-73.1149,20.4384,37.6494,0.302003,0.099346,128.32042,-7.086029,-0.440814,0.436802,,,,,,,,,,,,-21.6263,12.6148,-0.529618,15.24,1.478678,1.906489,-38.381789,-1.448768,-4.176672,7.62515,-7.370364,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,7b8ed460-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,138.8731,,,11.29965,,,,16.58791,-38.648645,3.812575,1.524867,-1.190829,-3.685182,-0.598896,2.052659,-2.088336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a57eb94d-3d07-4120-af5a-d37cbb7a5a4a,2023-11-02T10:02:23.5090000+09:00,2023-11-02T01:02:23.5090000Z,NoShift,25.19151814,20.25274154,44.55729536,13.34750922,25.08432313,-20.27275416,41.40003541,-11.60564817,76.10689269,-42.03540819,85.71264572,-1.046133923,70.46995225,41.99843822,1698886944,浅田 祐太朗,8.0,2023/11/2,8.0,,,,Normal,2.0,3.0,1,Top,1,1,1,2,福原,Right,佐山,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,,,1122,https://youtu.be/fRKcBlhAgs0&t=1122
8,9.0,2023/11/2,02:34.0,2023/11/2,02:34.0,2.0,4.0,"Mirai, Sayama",1000242823,Right,RIK,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,Undefined,1,Top,1,2.0,1.0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,137.00264,-0.357948,-2.801199,2714.267582,158.331234,11:15,1.483259,0.635891,1.710812,-73.3242,24.8973,-8.779,0.648064,-0.249421,126.57465,-5.675896,-3.417051,0.447567,,,,,,,,,,,,2.6592,13.7437,-0.562233,15.24,1.468254,1.886967,-37.672854,-0.533849,0.498292,6.843424,-7.231273,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,81d0d990-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,135.53285,,,10.42799,,,,16.728919,-37.942358,3.421712,1.48367,-0.249071,-3.615637,-0.636159,1.867343,0.249146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745432c0-5f8c-49a5-b1aa-fa1162a5130c,2023-11-02T10:02:33.9860000+09:00,2023-11-02T01:02:33.9860000Z,NoShift,25.98595778,20.85680384,44.31652705,13.44816141,25.03563234,-20.30807428,41.42460178,-11.79851269,76.20001267,-41.94270852,86.22077737,-0.760160755,70.17100203,42.17921805,1698886954,浅田 祐太朗,9.0,2023/11/2,9.0,,,,Normal,2.0,4.0,1,Top,1,2,1,2,福原,Right,佐山,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,,,1132,https://youtu.be/fRKcBlhAgs0&t=1132
9,10.0,2023/11/2,02:45.6,2023/11/2,02:45.6,2.0,5.0,"Mirai, Sayama",1000242823,Right,RIK,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,Undefined,1,Top,1,2.0,2.0,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,141.77969,-1.738447,-3.972673,2422.568606,205.974887,12:45,1.509624,0.598142,1.838938,-51.1479,39.492,17.9252,0.506145,-0.34567,130.56774,-5.521933,-2.707262,0.429946,,,,,,,,,,,,-11.7996,22.3034,-0.504616,15.24,1.464787,2.61696,-38.941763,-1.369345,-2.359084,7.422917,-5.347544,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,88b8e2c0-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,141.08736,,,11.21195,,,,16.60083,-39.200301,3.711459,1.509238,-1.183092,-2.673772,-0.597195,2.699126,-1.179542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.31534,,,1.062646,,,,-1.590344,1.549695,1.679572,20.852449,2.800977,17.17931,-1.516468,23.33769,-2.124823,1.569185,5.204881,-3.799166,1.694873,15.244742,-0.627601,cb520b35-8da2-4cf2-91ff-bfe9e1c0ecd7,2023-11-02T10:02:45.5990000+09:00,2023-11-02T01:02:45.5990000Z,NoShift,27.85264394,22.55717823,43.84703789,13.58011694,25.97511964,-20.87272139,41.33733633,-11.58172982,75.71738406,-41.69071517,85.93049777,0.246129799,69.99351224,42.58371868,1698886966,浅田 祐太朗,10.0,2023/11/2,10.0,,,,Normal,2.0,5.0,1,Top,1,2,2,2,福原,Right,佐山,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Strikeout,0,0,,,,,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,見三振,,1144,https://youtu.be/fRKcBlhAgs0&t=1144
10,11.0,2023/11/2,03:08.3,2023/11/2,03:08.3,3.0,1.0,"Mirai, Sayama",1000242823,Right,RIK,"Issa, Kishimoto",1000242815,Left,MEI_MEI,Undefined,1,Top,2,0.0,0.0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,138.34023,0.162364,-1.641694,2203.894613,240.104238,2:00,1.504881,0.637442,1.810358,-75.167,19.9832,29.9169,0.799137,0.472306,127.3912,-5.330736,0.474383,0.440514,,,,,,,,,,,,-16.3475,11.0477,-0.599515,15.24,1.503748,0.945216,-38.08549,-0.188598,-3.123619,7.160017,-7.695709,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,9640a180-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,137.70282,,,10.94903,,,,16.62943,-38.345811,3.580009,1.505519,0.0912,-3.847855,-0.635945,1.058784,-1.56181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b1983364-8e4d-4f1c-ad84-5ae0bd8122c0,2023-11-02T10:03:08.3080000+09:00,2023-11-02T01:03:08.3080000Z,NoShift,29.21082908,24.59085494,46.32829865,16.81512445,25.05651507,-16.54684661,44.52919251,-7.521262823,73.4691335,-42.57570459,92.21121945,2.414851046,79.06238486,46.94649862,1698886988,浅田 祐太朗,11.0,2023/11/2,11.0,,,,Normal,3.0,1.0,1,Top,2,0,0,3,岸本,Left,佐山,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,,,1153,https://youtu.be/fRKcBlhAgs0&t=1153
11,12.0,2023/11/2,03:17.5,2023/11/2,03:17.5,3.0,2.0,"Mirai, Sayama",1000242823,Right,RIK,"Issa, Kishimoto",1000242815,Left,MEI_MEI,Undefined,1,Top,2,0.0,1.0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,140.85281,-0.996191,-1.562655,2420.111383,192.759815,12:30,1.550947,0.585419,1.862384,-40.8316,50.8388,10.866,0.861737,0.253558,128.88783,-4.080293,-0.792128,0.432384,155.46823,22.662588,-1.434898,2843.604203,33.473304,13.746428,-1.912508,109.759652,108.42595,-6.525149,4.625441,-6.7043,27.8286,-0.549544,15.24,1.525045,1.005257,-38.760088,-0.803425,-1.319462,7.83168,-4.329788,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20231102-JinguStadium-1,9bca2c20-791b-11ee-996f-8700023cc339,b10e2f27-df39-4dbf-8dbf-31759e5d4c3b,v3,,,,"haruki, Oyama",1000242828,Right,RIK,140.2921,19.636795,,11.96498,,,,16.577249,-39.029351,3.91584,1.550109,-0.654561,-2.164894,-0.584886,1.050622,-0.659731,0.253817,0.822283,-0.248639,167.040477,0.253607,39.844151,-7.852002,1.894998,-0.421091,0.093771,-0.018026,0.002216,-0.000118,0.822879,16.624198,-3.380074,-0.367682,0.222362,-0.088329,0.021891,-0.002853,0.000148,-0.248642,-0.997688,-0.891039,0.247106,-0.057719,0.012262,-0.002148,0.000246,-1.3e-05,,,,,,,,,,,,,,,,,,,,,,,cd65b332-1d68-44f7-9103-278278580074,2023-11-02T10:03:17.5590000+09:00,2023-11-02T01:03:17.5590000Z,NoShift,28.51010464,23.89583654,46.11004942,16.55482032,25.65008605,-17.35354669,44.46794069,-7.871501985,71.85406649,-43.07371659,92.42158954,2.421040085,78.80547265,46.38808326,1698886998,浅田 祐太朗,12.0,2023/11/2,12.0,,,,Normal,3.0,2.0,1,Top,2,0,1,3,岸本,Left,佐山,Right,,,,,Undefined,InPlay,LineDrive,Out,Undefined,1,0,北田峻,8.0,,岸本,,,大山,丸山,中本,吉野,小原,西川侑,北田峻,内山,中飛,,1163,https://youtu.be/fRKcBlhAgs0&t=1163
