PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1.0,2021/4/10,02:41.9,2021/4/10,02:41.9,1,1.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,143.01112,-1.557732,-3.772102,1857.034975,224.659824,1:30,1.690035,0.635699,1.87754,-43.1101,46.9378,43.2487,0.819261,0.004536,129.34003,-4.826043,-0.708674,0.42854,99.91999,69.156416,-76.948562,4970.008148,,,,,,,,-25.1769,26.3555,-0.550892,15.24,1.651255,2.371643,-39.241381,-1.20666,-5.021637,8.885273,-4.549926,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,d592b1f0-99a0-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,141.55036,8.45831,,13.67109,,,,16.561771,-39.539532,4.442637,1.689183,-1.053985,-2.274963,-0.633301,2.540147,-2.510819,-0.001558,0.765972,0.005319,159.202425,-0.001558,2.230238,-2.953064,1.225335,-0.350811,0.136064,-0.171073,0.236699,-0.150362,0.765972,25.9391,-8.051273,0.954102,-0.158803,0.069454,-0.155496,0.233786,-0.147948,0.005319,-9.620807,0.88919,-0.175031,0.027216,-0.01899,0.049524,-0.07679,0.04988,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2.0,2021/4/10,03:05.6,2021/4/10,03:05.6,1,2.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.54278,-0.707079,-2.408212,1984.139896,225.431862,1:30,1.707289,0.644211,1.948788,-45.501,43.6485,40.9214,1.05388,0.37794,128.71376,-4.179324,0.508598,0.426397,,,,,,,,,,,,-23.1005,24.2214,-0.59342,15.24,1.689222,1.452891,-39.419908,-0.625748,-4.604158,9.706206,-4.979094,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,e3bbe0d0-99a0-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,142.2618,,,14.82902,,,,16.48966,-39.726415,4.853103,1.706499,-0.468516,-2.489547,-0.641596,1.598283,-2.302079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3.0,2021/4/10,03:19.2,2021/4/10,03:19.2,1,3.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,144.14591,-1.190099,-4.325526,1940.954484,224.039374,1:30,1.666728,0.654434,1.915394,-46.8552,42.1712,37.5415,0.862863,-0.187548,129.3148,-4.745375,-1.663416,0.426102,89.10731,32.647555,16.395078,2590.517541,32.309828,9.82441,8.955491,49.778363,,15.030546,3.155509,-23.0082,23.8099,-0.559118,15.24,1.637182,2.800578,-39.504823,-0.974359,-4.611109,9.656774,-5.034858,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,ebd5b340-99a0-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,142.36017,10.690049,,14.8311,,,,16.523451,-39.817321,4.828387,1.666076,-0.811428,-2.517429,-0.652161,2.949795,-2.305555,0.084212,0.827825,0.19739,170.853007,0.084265,19.992263,-2.753531,0.617767,-0.085834,0.000242,0.000505,0.000653,-0.000121,0.827841,13.351591,-4.718666,0.135887,0.022831,-0.037784,0.021361,-0.005284,0.000476,0.197403,5.882341,-1.136104,0.284206,-0.042706,-0.000965,0.001495,-7.2e-05,-1.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4.0,2021/4/10,03:50.3,2021/4/10,03:50.3,2,1.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.51884,-0.905032,-2.016828,1970.360724,232.256521,1:45,1.708846,0.639916,1.92365,-51.4892,36.7358,43.184,0.939673,0.505266,129.67414,-4.792243,1.058168,0.42418,,,,,,,,,,,,-23.774,20.7528,-0.596968,15.24,1.685667,1.174851,-39.687101,-0.801032,-4.802457,9.844314,-5.614486,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,fe626350-99a0-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,143.00523,,,14.8447,,,,16.514595,-40.002013,4.922157,1.708419,-0.621429,-2.807243,-0.637007,1.328478,-2.401229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5.0,2021/4/10,04:03.9,2021/4/10,04:04.0,2,2.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.38214,0.046655,-3.270972,1846.226646,224.18829,1:30,1.673585,0.671131,1.915951,-49.0267,39.811,35.395,1.196445,0.105265,128.9763,-3.676373,-0.756639,0.425651,,,,,,,,,,,,-20.9845,21.5205,-0.599431,15.24,1.671773,2.082328,-39.603345,-0.128193,-4.210548,9.991855,-5.488561,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,0682ec80-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,142.51125,,,15.40585,,,,16.522305,-39.925558,4.995927,1.673053,0.048799,-2.74428,-0.66877,2.218108,-2.105274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6.0,2021/4/10,04:20.7,2021/4/10,04:20.7,2,3.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,144.45019,-0.865665,-2.695915,1808.06556,228.713239,1:30,1.672746,0.67601,1.938561,-51.8156,36.7788,37.9578,0.911479,0.29881,129.01991,-4.789995,0.007423,0.425067,,,,,,,,,,,,-21.88,20.8424,-0.618333,15.24,1.650727,1.673385,-39.637204,-0.771978,-4.388388,10.169551,-5.626356,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,1085a330-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,142.70676,,,15.43029,,,,16.499633,-39.959076,5.084776,1.672342,-0.593901,-2.813178,-0.673495,1.81228,-2.194194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7.0,2021/4/10,04:35.1,2021/4/10,04:35.1,2,4.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,142.85656,-0.636289,-4.344527,1901.740676,230.623668,1:45,1.677071,0.67994,1.920585,-56.4359,33.9837,37.3359,0.933508,-0.169072,128.39068,-4.872549,-1.696,0.429424,,,,,,,,,,,,-22.7749,19.1199,-0.584486,15.24,1.659558,2.788341,-39.159968,-0.631622,-4.493783,9.344161,-6.034045,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,190a9380-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,141.25914,,,14.46588,,,,16.518079,-39.463758,4.67208,1.676904,-0.435447,-3.017023,-0.677514,2.93444,-2.246892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8.0,2021/4/10,04:51.0,2021/4/10,04:51.0,2,5.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,2,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,,144.37144,-0.757714,-2.003021,1914.650209,232.783202,1:45,1.684935,0.689371,1.963751,-54.0067,33.3112,39.8165,0.932516,0.526329,130.48191,-4.817001,0.839396,0.421994,,,,,,,,,,,,-22.2833,18.9019,-0.647972,15.24,1.665621,1.194578,-39.695301,-0.709471,-4.53353,9.335598,-5.961059,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,228d92e0-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,143.74614,,,13.88953,,,,16.475422,-39.984794,4.667799,1.684756,-0.524622,-2.98053,-0.687195,1.335161,-2.266765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9.0,2021/4/10,05:11.7,2021/4/10,05:11.7,2,6.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,2,Fastball,Sinker,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,143.79385,-1.088864,-4.155224,1917.506209,223.719029,1:30,1.685144,0.658604,1.94953,-51.2953,36.322,32.0173,0.866126,-0.188037,131.14753,-4.928621,-1.879305,0.422717,144.50271,56.58835,44.058306,4651.335278,,,,71.489816,,73.024232,6.253568,-19.7668,20.6038,-0.569311,15.24,1.658408,2.719303,-39.494725,-0.927268,-4.024788,8.405341,-5.611447,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,2eeb5090-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,143.50035,33.021491,,12.64632,,,,16.490398,-39.759946,4.202671,1.684873,-0.750205,-2.805724,-0.657119,2.846301,-2.012394,0.413781,0.865551,0.191011,196.50854,0.413779,15.884332,-6.765939,2.007107,-0.453275,0.042635,0.036461,-0.022733,0.004478,0.865552,33.505613,-7.376518,0.542199,-0.033887,0.027747,-0.037349,0.018745,-0.003534,0.19101,15.37051,-3.057448,1.103599,-0.281292,0.025243,0.028411,-0.017383,0.003417,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10.0,2021/4/10,05:42.2,2021/4/10,05:42.2,2,7.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,2,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,,143.81499,-0.896294,-3.738806,1930.295322,230.430345,1:45,1.683808,0.681416,1.920915,-55.9387,32.5641,35.6826,0.872172,-0.013158,130.19942,-5.077891,-1.204213,0.424847,109.31184,74.080671,-137.481892,5232.874743,,,,,,,,-21.4254,18.5229,-0.599635,15.24,1.660497,2.406393,-39.48366,-0.816889,-4.325312,9.012907,-6.067272,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,411ee420-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,142.78065,29.531996,,13.61557,,,,16.518501,-39.774432,4.506453,1.683694,-0.621148,-3.033636,-0.67952,2.545935,-2.162656,0.175204,0.857586,0.019291,9.161546,0.175202,-6.138056,-2.260035,1.05851,-0.305492,0.070007,-0.012294,0.001219,-9e-06,0.857585,29.20001,-9.192213,1.222844,-0.226089,0.034541,-0.004618,0.00025,2.4e-05,0.019291,-5.62851,0.353277,0.019172,-0.024086,0.007608,-0.001532,0.000177,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,21S
11.0,2021/4/10,06:04.1,2021/4/10,06:04.1,2,8.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,2,Fastball,Sinker,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,143.13042,-1.504042,-3.144294,1941.136251,227.823313,1:30,1.686951,0.684264,1.923471,-46.9763,43.4261,44.0484,0.794166,0.24104,127.96877,-5.081525,-0.011694,0.429383,129.06551,47.092215,-44.429994,4921.198047,19.03785,27.947376,-27.598553,69.108195,,-65.427646,4.93445,-25.4524,24.8249,-0.616302,15.24,1.650612,1.936542,-39.258441,-1.17988,-5.012621,9.90499,-4.917604,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,4e1fe6b0-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,141.27257,28.943745,,15.16166,,,,16.515142,-39.578854,4.952495,1.686206,-1.020801,-2.458802,-0.681569,2.098694,-2.50631,-0.05722,0.711404,-0.230291,148.033029,-0.056799,17.425114,-5.876658,1.536345,-0.327733,0.061686,-0.010703,0.00137,-8e-05,0.712465,26.233507,-7.183643,0.561147,0.035538,-0.061318,0.018832,-0.002565,0.000132,-0.230408,-17.084305,1.726346,-0.298907,0.048067,-0.010434,0.002496,-0.000363,2.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
12.0,2021/4/10,06:27.2,2021/4/10,06:27.2,2,9.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,144.4108,-0.942334,-4.548952,1946.785988,222.728482,1:30,1.66059,0.689237,1.903044,-44.6292,42.7808,36.897,0.948523,-0.223314,131.59954,-4.300962,-1.936218,0.422216,78.7926,64.366541,-86.22915,4152.620609,,,,29.064056,,-110.494311,3.6709,-22.3597,23.7013,-0.587977,15.24,1.636465,2.973352,-39.635575,-0.802217,-4.590394,8.378667,-4.940831,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,5be1a130-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,143.67037,7.9061,,12.81126,,,,16.536712,-39.908749,4.189334,1.659994,-0.641129,-2.470416,-0.687358,3.123015,-2.295197,0.076689,0.890589,0.245869,154.346027,0.076689,0.622709,-1.832796,0.456194,-0.095974,0.015448,0.003889,-0.012162,0.008543,0.890589,19.732733,-6.621067,0.586437,-0.117958,0.019424,-0.003282,8e-05,0.000455,0.245869,-9.448015,0.738799,-0.085343,0.003963,0.001028,0.000233,-0.000833,0.000718,,,,,,,,,,,,,,,,,,,,,,,,,,21S
13.0,2021/4/10,06:50.9,2021/4/10,06:50.9,2,10.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,2,Splitter,Changeup,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,131.55628,-1.29759,-4.057852,1177.014598,232.701612,1:45,1.661137,0.65013,1.880156,-84.2639,20.5241,22.8469,0.452213,-0.265702,121.49658,-7.446518,-2.439268,0.462286,119.34695,30.503667,33.322699,3146.269109,25.842659,15.287112,21.360798,77.16538,,46.673191,4.016052,-14.5442,12.4327,-0.557733,15.24,1.625924,2.464309,-36.148354,-1.124259,-2.501993,6.490224,-7.667881,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,6a0048c0-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,131.21754,16.347287,,10.0597,,,,16.55996,-36.384573,3.245112,1.661764,-0.845178,-3.83394,-0.649081,2.555371,-1.250996,0.333404,0.412994,0.27395,214.012823,0.333411,23.867854,-5.827054,1.514305,-0.346966,0.080719,-0.017753,0.002665,-0.000175,0.413226,16.82062,-4.512164,-0.118624,0.186485,-0.093926,0.027741,-0.00427,0.000261,0.273936,15.692067,-0.824616,0.163172,-0.03279,0.009682,-0.002916,0.000512,-3.6e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
14.0,2021/4/10,07:21.2,2021/4/10,07:21.2,2,11.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.66073,-0.136236,-2.241871,1884.754458,230.605341,1:45,1.678119,0.693138,1.969081,-50.4587,35.6784,40.0586,1.13536,0.46574,131.74856,-3.928257,0.61748,0.419131,,,,,,,,,,,,-22.429,19.5716,-0.646744,15.24,1.672425,1.364256,-39.806832,-0.263848,-4.633981,8.628439,-5.763017,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,7c17a1c0-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,144.72801,,,12.91217,,,,16.47038,-40.072639,4.314219,1.677818,-0.086313,-2.881508,-0.69097,1.50701,-2.31699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
15.0,2021/4/10,07:39.0,2021/4/10,07:39.0,2,12.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,3,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,144.67886,-1.073864,-4.247125,1906.198588,229.495814,1:45,1.654569,0.723872,1.936253,-45.8404,41.2006,44.781,0.894032,-0.022018,131.29631,-4.534577,-1.066216,0.421325,,,,,,,,,,,,-26.3594,23.0921,-0.632169,15.24,1.628132,2.729503,-39.713647,-0.895791,-5.407135,8.780587,-5.069729,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,86ac1120-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,143.97451,,,13.38256,,,,16.503273,-39.991978,4.390293,1.653981,-0.735088,-2.534864,-0.721406,2.900901,-2.703567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.62677,2.548648,1.677261,0.871387,-0.372126,0.828821,0.035865,0.608602,1.503857,-1.002232,20.41772,2.207706,-17.614873,0.65329,24.439212,-1.995733,1.509132,3.77112,-3.404961,-1.092062,-21.647861,3.040359,,,,21S
16.0,2021/4/10,08:08.0,2021/4/10,08:08.1,3,1.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Shuhei, Ohto",1000101206,Right,TOK,Undefined,1,Top,2,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,142.96963,-0.532801,-4.499407,1994.24176,234.661282,1:45,1.667443,0.664307,1.897571,-55.5874,33.8031,43.5107,0.961267,-0.168522,130.06373,-4.675501,-1.417743,0.426973,128.93193,17.144441,72.172532,4721.543715,6.428709,6.08086,32.905901,58.567691,,84.218951,2.279301,-25.7835,18.779,-0.564136,15.24,1.651939,2.875954,-39.240093,-0.564336,-5.176701,8.380671,-6.036281,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,980215f0-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,142.06992,6.119683,,12.9059,,,,16.54219,-39.517228,4.190335,1.6673,-0.364726,-3.01814,-0.66207,3.047139,-2.588351,-0.042329,0.873205,0.083647,251.247073,-0.042319,10.476773,-5.489937,1.450321,-0.335531,0.032865,0.012732,-0.00615,0.000856,0.873197,10.55797,-5.880767,0.679673,-0.162326,0.065107,-0.02687,0.007327,-0.000868,0.083661,32.57878,-3.630825,0.216004,0.101796,-0.100491,0.048734,-0.013472,0.001567,,,,,,,,,,,,,,,,,,,,,,,,,,21S
17.0,2021/4/10,08:37.2,2021/4/10,08:37.2,3,2.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Shuhei, Ohto",1000101206,Right,TOK,Undefined,1,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,134.70229,-0.998216,-4.256364,2213.435949,143.848981,10:45,1.697458,0.607092,1.876914,-89.2952,11.6746,-6.1835,0.522621,-0.655466,123.53555,-7.501433,-4.693684,0.453785,,,,,,,,,,,,0.0816,7.7741,-0.508096,15.24,1.668864,2.779811,-36.970202,-0.982044,0.014548,7.455665,-8.421492,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,a9664b90-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,133.67558,,,11.16674,,,,16.562682,-37.235988,3.727832,1.698522,-0.681827,-4.210746,-0.607184,2.779292,0.007274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
18.0,2021/4/10,08:51.4,2021/4/10,08:51.4,3,3.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Shuhei, Ohto",1000101206,Right,TOK,Undefined,1,Top,2,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,143.50978,-0.868449,-3.817809,2025.981668,228.100355,1:30,1.677901,0.686417,1.91607,-48.8925,39.9983,41.1398,0.944469,0.02381,129.87543,-4.552027,-0.897096,0.425778,126.63189,-26.133851,-53.102193,,,,,2.306599,,-40.81382,0.0643,-24.3678,22.3585,-0.60291,15.24,1.655511,2.430976,-39.402035,-0.762481,-4.900933,8.945999,-5.309831,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,b1d32000-99a1-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,142.46871,0.937878,,13.63435,,,,16.523586,-39.692396,4.473,1.677462,-0.59014,-2.654915,-0.684394,2.590046,-2.450466,0.526593,0.996249,0.116254,,0.526593,18.959969,,,,,,,,0.996249,-15.493751,,,,,,,,0.116254,-25.254321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
19.0,2021/4/10,11:16.1,2021/4/10,11:16.0,1,1.0,"Shunsuke, Izawa",1000073948,Right,TOK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,135.07232,-2.25212,-0.405357,2234.565341,202.646176,12:45,1.73844,0.435728,1.989968,-42.6498,57.0721,22.293,0.68189,0.545315,121.94157,-5.531458,1.189131,0.450972,,,,,,,,,,,,-11.873,32.6781,-0.428096,15.24,1.688371,0.160276,-37.115666,-1.565706,-2.107508,8.298104,-4.006154,WAS_EDA,TOK,JinguStadium,Spring,Team,20210410-JinguStadium-1,08122290-99a2-11eb-9873-59b50ccff126,ca1e89ce-fc60-4995-8f1f-1db4ba9eaa04,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,134.50933,,,13.13076,,,,16.44835,-37.384846,4.149052,1.737053,-1.435752,-2.003077,-0.434404,0.228641,-1.053754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
