PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1.0,2021/5/29,02:58.1,2021/5/29,02:58.1,1,1.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,147.55788,-1.29463,-4.66759,2388.095604,221.690637,1:30,1.724684,0.672594,1.776348,-37.8279,48.1469,40.1376,0.978306,-0.251463,133.03234,-4.167751,-1.848285,0.418736,,,,,,,,,,,,-23.9064,26.3614,-0.558919,15.24,1.689677,3.079988,-40.411528,-1.04108,-5.053329,9.47846,-4.234376,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,c1085a60-c032-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,144.8646,,,14.52555,,,,16.662488,-40.743804,4.73923,1.723571,-0.89264,-2.117188,-0.669996,3.257138,-2.526664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2.0,2021/5/29,03:13.0,2021/5/29,03:13.0,1,2.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,126.10246,1.573759,-2.152074,2792.920531,21.756343,6:45,1.79277,0.718165,1.583371,-148.8741,-29.7734,-13.3768,0.755665,-0.032903,115.81196,-9.008898,-3.085662,0.492847,145.52154,-17.440194,-39.276937,,,,,3.147016,,-29.332914,0.065965,5.1361,-15.177,-0.656044,15.24,1.823517,1.365612,-34.649488,0.317891,0.802854,6.622402,-12.179032,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,c9f02b30-c032-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,123.08087,0.773793,,10.2905,,,,16.857583,-34.957283,3.311201,1.795587,0.883945,-6.089516,-0.718647,1.328298,0.401427,0.774294,0.799177,0.068808,,0.774294,29.852539,,,,,,,,0.799177,-12.115078,,,,,,,,0.068808,-24.413961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3.0,2021/5/29,03:48.5,2021/5/29,03:48.5,2,1.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.59969,-1.308369,-3.072834,2445.342153,224.442989,1:30,1.802934,0.689864,1.786473,-40.2235,47.1819,43.0093,1.029624,0.249018,131.27583,-4.370872,-0.04023,0.422205,,,,,,,,,,,,-24.3205,26.0524,-0.616738,15.24,1.767772,1.923046,-40.190706,-1.05183,-5.039207,10.082037,-4.408589,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,df19f450-c032-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,143.67415,,,15.32386,,,,16.651985,-40.543362,5.041018,1.801866,-0.897624,-2.204295,-0.687086,2.099311,-2.519603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4.0,2021/5/29,04:00.6,2021/5/29,04:00.6,2,2.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,0,1,Fastball,Sinker,InPlay,Undefined,LineDrive,LineDrive,Double,0,0,,145.48766,-2.122533,-2.974134,2455.776266,223.902011,1:30,1.813042,0.648633,1.759882,-39.4514,49.0593,44.1224,0.815438,0.245562,131.22182,-5.110517,0.132578,0.424867,149.53167,12.902635,-5.479321,1423.042251,33.186267,5.907099,-4.774202,77.291834,,-11.176447,2.462446,-24.9222,27.6462,-0.576981,15.24,1.756754,1.842278,-39.907224,-1.615613,-5.12233,9.471376,-4.12445,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,e64a7830-c032-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,142.77422,6.152639,,14.26584,,,,16.679624,-40.247447,4.735688,1.812127,-1.467458,-2.062225,-0.646463,2.026278,-2.561165,0.354979,0.779843,-0.244616,137.696425,0.354974,40.30323,-6.070443,1.331163,-0.3017,0.084089,-0.024189,0.004701,-0.000406,0.779873,9.272852,-4.094113,0.016497,0.144598,-0.128864,0.057799,-0.013122,0.001208,-0.244625,-3.865442,-1.412481,0.369499,-0.120733,0.05435,-0.020266,0.004371,-0.000395,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5.0,2021/5/29,04:48.5,2021/5/29,04:48.5,3,1.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shogo, Fukui",1000073400,Left,KEI_KEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,146.69632,-3.179962,-4.735228,2481.541042,220.42582,1:15,1.750334,0.687631,1.826507,-28.8858,58.6025,46.969,0.559257,-0.183251,131.08665,-5.452176,-1.42588,0.422406,,,,,,,,,,,,-28.2167,33.81,-0.576792,15.24,1.671803,3.077836,-40.106097,-2.308172,-5.809568,10.204212,-2.84546,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,02dac950-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,143.60599,,,15.60967,,,,16.612716,-40.45385,5.102106,1.748811,-2.2112,-1.42273,-0.685056,3.275823,-2.904784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6.0,2021/5/29,05:10.0,2021/5/29,05:10.0,3,2.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shogo, Fukui",1000073400,Left,KEI_KEI,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,2,146.99714,-1.478885,-3.368171,2457.644555,222.59029,1:30,1.74485,0.727582,1.901875,-38.8134,46.9484,40.147,0.940121,0.181012,131.61294,-4.458626,-0.51858,0.418217,,,,,,,,,,,,-23.5906,26.4821,-0.653284,15.24,1.708899,2.167266,-40.317516,-1.160277,-4.912683,10.244309,-4.291816,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,0fac3060-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,145.04428,,,15.3842,,,,16.536987,-40.645733,5.122154,1.74387,-1.022771,-2.145908,-0.725243,2.324663,-2.456342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7.0,2021/5/29,05:36.6,2021/5/29,05:36.6,3,3.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shogo, Fukui",1000073400,Left,KEI_KEI,Undefined,1,Top,1,0,2,Fastball,Changeup,BallinDirt,Undefined,Undefined,,Undefined,0,0,2,140.52651,-3.102279,-3.94087,1818.448411,239.283288,2:00,1.709599,0.761872,1.719661,-65.4903,28.3385,42.9042,0.169681,0.068651,129.69222,-7.851846,-0.928328,0.437444,,,,,,,,,,,,-24.5721,17.273,-0.663208,15.24,1.62403,2.444194,-38.555041,-2.361676,-4.811903,7.33328,-6.424111,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,1f7b6e20-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,138.66905,,,10.83429,,,,16.720896,-38.83569,3.66664,1.709709,-2.115821,-3.212055,-0.760273,2.628349,-2.405952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8.0,2021/5/29,06:28.6,2021/5/29,06:28.6,3,4.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shogo, Fukui",1000073400,Left,KEI_KEI,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,2,133.57421,-0.03811,-2.562319,1211.618133,279.060932,3:15,1.710004,0.733004,1.680823,-109.3,-4.201,48.131,0.606132,0.483555,121.98261,-7.904567,0.818099,0.462971,,,,,,,,,,,,-26.4331,-1.2259,-0.669008,15.24,1.700105,1.408762,-36.706077,-0.486123,-4.626144,7.585764,-10.021193,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,3e8d12f0-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,131.02329,,,11.5916,,,,16.759712,-37.018812,3.792882,1.71163,-0.072984,-5.010596,-0.731018,1.599482,-2.313072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9.0,2021/5/29,07:09.4,2021/5/29,07:09.3,3,5.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shogo, Fukui",1000073400,Left,KEI_KEI,Undefined,1,Top,1,1,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,GroundBall,Single,0,0,2,140.62836,-0.79355,-2.408316,1815.41367,254.757902,2:30,1.704047,0.783293,1.69112,-79.6877,14.4529,42.1621,0.680934,0.518562,128.86438,-6.563845,0.552734,0.43817,117.68345,7.265334,3.529756,1321.33083,,,,26.528857,,3.450589,0.854421,-23.2128,8.6828,-0.723276,15.24,1.676736,1.412803,-38.661745,-0.877351,-4.53737,7.921145,-8.109443,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,56ce7c50-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,138.43927,1.417427,,11.76398,,,,16.749264,-38.969741,3.960573,1.70472,-0.562033,-4.054722,-0.78164,1.589229,-2.268685,0.833894,0.707974,-0.516175,315.048276,0.833894,32.365868,-3.043046,0.406177,-0.081252,0.010715,-0.001735,0.000181,2.2e-05,0.707974,4.134105,-6.188957,0.51857,-0.101092,0.020519,-0.00325,0.000581,-7.3e-05,-0.516175,1.996448,0.707582,-0.213918,0.053454,-0.011545,0.002215,-0.00043,5e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10.0,2021/5/29,08:01.1,2021/5/29,08:01.1,4,1.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,"1,3",149.31661,-2.315734,-4.357906,2386.564047,215.21484,1:15,1.733034,0.68539,1.892467,-28.9345,53.3111,35.652,0.790005,-0.186383,135.54257,-4.556206,-1.834413,0.409554,,,,,,,,,,,,-21.5609,30.0612,-0.587579,15.24,1.678075,2.935749,-40.944008,-1.736739,-4.706315,9.241914,-3.244898,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,75a6c1a0-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,148.1124,,,13.77404,,,,16.546911,-41.23795,4.620957,1.731671,-1.633534,-1.622449,-0.683332,3.085435,-2.353157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
11.0,2021/5/29,08:24.9,2021/5/29,08:24.9,4,2.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,"1,3",147.55459,-1.000194,-3.430817,2365.391682,223.085606,1:30,1.743422,0.694492,1.891038,-43.2313,40.83,35.5349,1.029185,0.083477,133.88679,-4.26061,-0.910749,0.41405,109.74181,31.675428,141.873696,5231.669234,-28.908457,10.751089,16.983164,56.864163,,158.202037,2.919605,-20.9197,22.7129,-0.617928,15.24,1.717853,2.249454,-40.527998,-0.855878,-4.466387,9.193186,-4.957415,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,83e09250-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,146.50401,10.895604,,13.6678,,,,16.548414,-40.823713,4.596593,1.74282,-0.696414,-2.478707,-0.692597,2.393124,-2.233194,0.059477,0.962223,-0.085675,306.315617,0.05955,-20.410811,0.703863,0.016303,0.028798,-0.006454,-0.004377,0.001932,-0.000222,0.962164,16.010217,-7.395165,0.939761,-0.266875,0.128058,-0.043,0.007574,-0.000547,-0.085947,16.027813,-3.234659,0.233191,-0.185565,0.061721,0.002146,-0.004412,0.000606,,,,,,,,,,,,,,,,,,,,,,,,,,21S
12.0,2021/5/29,08:55.7,2021/5/29,08:55.7,4,3.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,1,0,2,Slider,Curveball,BallinDirt,Undefined,Undefined,,Undefined,0,0,"1,3",131.19772,-0.627861,-4.885389,2907.151135,36.639924,7:15,1.701237,0.758146,1.611718,-144.5022,-33.7265,-27.697,0.075853,-0.92047,120.88358,-10.818876,-6.813066,0.47531,,,,,,,,,,,,10.1626,-15.5983,-0.619663,15.24,1.67092,3.206806,-35.945523,-1.028073,1.699939,7.487116,-12.415828,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,963a7290-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,127.62197,,,10.31414,,,,16.829228,-36.275034,3.743558,1.704142,-0.481647,-6.207914,-0.759149,3.131991,0.849969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
13.0,2021/5/29,09:20.2,2021/5/29,09:20.2,4,4.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,1,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,,Out,1,0,"1,3",148.49427,-0.82923,-3.432441,2489.500641,219.642812,1:15,1.738977,0.678572,1.898958,-30.6472,53.5102,41.6551,1.198893,0.128774,132.60252,-3.232467,-0.477118,0.414287,,,,,,,,,,,,-24.5362,29.3306,-0.602785,15.24,1.71824,2.229066,-40.732797,-0.669302,-5.206238,10.597121,-3.583099,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,a4c8f2f0-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,146.42036,,,15.89174,,,,16.540077,-41.069635,5.29856,1.737704,-0.555411,-1.791549,-0.676268,2.394551,-2.603119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
14.0,2021/5/29,10:33.3,2021/5/29,10:33.3,5,1.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,3",148.28981,-1.503559,-5.4789,2506.913356,224.725527,1:30,1.761418,0.678761,1.919824,-33.7373,50.0896,46.6069,0.999762,-0.398531,133.55495,-4.109115,-2.182205,0.413472,,,,,,,,,,,,-28.264,27.9497,-0.55816,15.24,1.725538,3.652389,-40.594531,-1.163112,-6.023756,9.630062,-3.84988,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,d05ccd60-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,146.70878,,,14.73486,,,,16.519264,-40.896879,4.815031,1.760158,-1.04224,-1.92494,-0.6758,3.841513,-3.011878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
15.0,2021/5/29,10:55.5,2021/5/29,10:55.5,5,2.0,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,"1,3",148.50967,-1.687263,-3.962354,2597.646079,235.510586,1:45,1.711652,0.646773,1.787482,-43.6245,41.3287,55.5722,0.796388,0.078793,133.52115,-4.974029,-0.047245,0.416241,147.79006,36.833783,5.65611,3706.342196,33.475992,23.16426,1.865704,104.962893,,0.171236,5.339396,-31.7391,23.4227,-0.552749,15.24,1.666911,2.52538,-40.708403,-1.360836,-6.770505,10.062911,-4.810167,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,dd9c1170-c033-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,145.73299,30.508451,,14.98852,,,,16.652202,-41.056008,5.031455,1.711048,-1.194678,-2.405084,-0.644024,2.759255,-3.385252,0.636546,0.801459,-0.078548,164.843987,0.638121,32.665214,-6.819734,1.73024,-0.265539,0.008454,0.005025,-0.000839,4.1e-05,0.80013,24.63479,-5.629198,0.213065,0.016724,-0.015588,0.005161,-0.000804,4.5e-05,-0.078243,3.231628,-1.904103,0.576375,-0.116302,0.013609,-0.000352,-9.1e-05,7e-06,,,,,,,,,,,,,,,,,,,,,,,,,,21S
16.0,2021/5/29,13:43.5,2021/5/29,13:43.5,1,1.0,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Bottom,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,146.2655,-1.860948,-2.284847,2312.853607,223.635357,1:30,1.660632,0.55753,1.795953,-45.4357,41.4426,36.5946,0.679033,0.276533,132.33682,-5.266307,0.299774,0.42093,116.42238,-7.773136,-0.451892,,,,,5.115446,,-3.769587,0.145474,-20.5469,23.5762,-0.503969,15.24,1.61182,1.412409,-40.16213,-1.470754,-4.286792,9.41667,-4.887856,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,41bc8b80-c034-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,144.10931,0.612319,,13.92867,,,,16.64348,-40.489862,4.708335,1.660047,-1.30064,-2.443928,-0.555722,1.561603,-2.143396,0.44319,0.636297,-0.299548,180.0,0.44319,32.041398,,,,,,,,0.636297,-4.373957,,,,,,,,-0.299548,-0.252716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
17.0,2021/5/29,14:13.7,2021/5/29,14:13.7,2,1.0,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Bottom,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,120.51899,1.345305,-1.459588,2582.024905,30.949078,7:00,1.65237,0.413122,1.460475,-185.7796,-48.9327,-32.7369,0.183363,-0.33594,107.9053,-11.791212,-3.734715,0.52829,,,,,,,,,,,,14.6249,-23.8794,-0.365106,15.24,1.673796,1.001352,-32.993309,-0.033786,1.998883,7.904085,-13.070417,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,53c19500-c034-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,114.8234,,,12.61369,,,,16.979733,-33.407491,3.952043,1.657622,0.651117,-6.535208,-0.414833,0.896609,0.999442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
18.0,2021/5/29,14:27.4,2021/5/29,14:27.4,2,2.0,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Bottom,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,144.44664,-1.374856,-3.334591,2263.452479,200.668061,12:45,1.61629,0.551893,1.741723,-32.6162,56.9698,20.3227,0.899013,-0.192778,130.75825,-3.875616,-1.907334,0.42744,,,,,,,,,,,,-12.799,30.8207,-0.468297,15.24,1.578798,2.200092,-39.62316,-1.049317,-2.608721,8.882196,-3.5247,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,5be133d0-c034-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,141.91479,,,13.68839,,,,16.697168,-39.948473,4.441098,1.614866,-0.920223,-1.76235,-0.550626,2.295637,-1.30436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
19.0,2021/5/29,14:40.4,2021/5/29,14:40.4,2,3.0,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Bottom,1,1,1,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,,144.66078,-1.7544,-2.444803,2239.704948,235.710583,1:45,1.62389,0.522989,1.775853,-63.5261,25.7227,33.0479,0.490919,0.160324,130.84794,-6.43057,-0.112653,0.426634,,,,,,,,,,,,-18.839,15.4736,-0.464457,15.24,1.575714,1.523554,-39.705284,-1.473844,-3.833008,9.375525,-6.65838,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,63ac9820-c034-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,142.18263,,,13.81284,,,,16.663454,-40.03999,4.687762,1.624087,-1.23614,-3.32919,-0.52129,1.660393,-1.916504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
20.0,2021/5/29,15:08.9,2021/5/29,15:08.9,2,4.0,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Bottom,1,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,135.26916,-1.437109,-2.081693,1691.648983,205.522335,12:45,1.641844,0.482608,1.757214,-57.4134,44.38,19.5128,0.659689,0.086961,122.80755,-5.701775,-0.70688,0.455632,139.54317,-6.90884,10.311507,,,,,5.112473,,7.536206,0.128721,-11.5451,24.7506,-0.43153,15.24,1.601463,1.255222,-37.148073,-1.136815,-2.066457,7.869266,-5.376554,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20210529-JinguStadium-1,74abca60-c034-11eb-addd-8b9b89fc4de9,43291972-c899-4911-9692-8dd52f5430df,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,133.13363,0.705327,,12.46161,,,,16.681971,-37.452287,3.934633,1.641393,-0.928965,-2.688277,-0.481599,1.335109,-1.033229,0.195043,0.600187,-0.21612,,0.195043,37.859037,,,,,,,,0.600187,-4.66268,,,,,,,,-0.21612,6.888008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
