PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1.0,2021/4/17,57:24.8,2021/4/17,57:24.8,1,1.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.84458,-2.158182,-0.856559,1970.506432,212.057669,1:00,1.849461,0.533891,2.028643,-42.94,43.8339,25.6245,0.81772,0.551195,130.8838,-5.420078,0.980959,0.420678,,,,,,,,,,,,-14.0506,25.5567,-0.517378,15.24,1.803016,0.471559,-39.573974,-1.616894,-2.858634,8.808746,-4.60705,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,66c39ca0-9f39-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,144.19597,,,12.96078,,,,16.410477,-39.833658,4.404373,1.848681,-1.481077,-2.303525,-0.532522,0.555832,-1.429317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2.0,2021/4/17,57:35.1,2021/4/17,57:35.1,1,2.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.84378,-0.669002,-0.934835,1960.175049,207.021888,1:00,1.878609,0.528464,2.015179,-41.4377,44.1334,21.0667,1.277435,0.478131,131.64764,-3.828616,0.574087,0.417752,,,,,,,,,,,,-11.6897,24.5015,-0.509967,15.24,1.862549,0.550107,-39.870583,-0.586446,-2.416086,8.876528,-4.742532,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,6cedfb20-9f39-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,145.20588,,,13.19614,,,,16.423855,-40.133283,4.438264,1.877828,-0.446091,-2.371266,-0.527305,0.621611,-1.208043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3.0,2021/4/17,58:02.7,2021/4/17,58:02.7,1,3.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,1,2,TwoSeamFastBall,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,138.29147,-5.14695,-2.490357,1386.026197,241.965264,2:00,1.823482,0.520573,1.873042,-74.0399,23.1221,36.833,-0.371837,0.187054,125.9924,-10.536361,0.129929,0.445146,,,,,,,,,,,,-21.671,17.0719,-0.465234,15.24,1.69903,1.485697,-37.864823,-3.685547,-3.999444,8.707733,-6.655984,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,7d669840-9f39-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,136.26976,,,12.29906,,,,16.567609,-38.168911,4.353866,1.823677,-3.45311,-3.327992,-0.519555,1.625363,-1.999722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4.0,2021/4/17,59:01.6,2021/4/17,59:01.6,1,4.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,1,2,Cutter,Slider,InPlay,Undefined,LineDrive,GroundBall,Single,0,0,,132.97387,-1.281282,-1.163716,1940.999396,187.600289,12:15,1.821458,0.515587,1.915299,-90.3597,10.1867,1.0159,0.557799,0.198801,124.43466,-7.841909,-1.091283,0.452833,160.19464,7.008403,-4.926345,1218.155424,33.278766,2.724373,-4.080135,61.310463,,-8.475859,1.676207,-1.2064,6.7854,-0.489507,15.24,1.787312,0.740638,-36.671318,-1.149204,-0.21598,5.92728,-8.591899,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,a0807ee0-9f39-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,133.95671,2.728116,,8.53921,,,,16.525446,-36.878503,2.96364,1.822233,-0.848879,-4.29595,-0.515527,0.748188,-0.10799,0.457009,0.515022,-0.179406,144.572701,0.45701,44.002747,-6.777711,1.546898,-0.269463,-0.014355,0.051548,-0.023704,0.003837,0.51502,5.429943,-3.162474,-0.250651,-0.026533,0.21174,-0.195514,0.079902,-0.012472,-0.179406,-3.792789,-1.254997,0.291183,-0.050087,-0.005328,0.01212,-0.005448,0.000876,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5.0,2021/4/17,59:52.6,2021/4/17,59:52.6,2,1.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Kiri, Takata",1000073715,Left,HOS_HOS,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,129.60431,1.282786,-0.323892,1904.356816,198.475937,12:30,1.821028,0.604287,1.838126,-92.5392,13.4994,3.691,1.25778,0.549775,121.58539,-5.426616,-0.062351,0.465036,,,,,,,,,,,,-2.0717,7.1202,-0.596815,15.24,1.845452,0.186025,-35.756439,0.456157,-0.355729,5.06106,-8.584029,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,bee282c0-9f39-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,130.44149,,,8.01892,,,,16.602421,-35.948763,2.53053,1.82192,0.782356,-4.292015,-0.604141,0.199543,-0.177865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6.0,2021/4/17,00:13.1,2021/4/17,00:13.1,2,2.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Kiri, Takata",1000073715,Left,HOS_HOS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,143.06524,-1.829212,-1.498744,1843.405464,209.158319,1:00,1.844363,0.58847,1.98944,-50.3614,35.8316,18.7194,0.82892,0.356493,133.11755,-5.566397,-0.159873,0.419267,,,,,,,,,,,,-10.7308,20.6415,-0.557657,15.24,1.802916,0.948068,-39.439773,-1.430266,-2.220862,6.898281,-5.534642,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,cb18e250-9f39-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,144.68108,,,9.9477,,,,16.450899,-39.651002,3.449141,1.844117,-1.260793,-2.767321,-0.587728,1.016072,-1.110431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.2067,1.984332,0.729498,1.254834,-0.19699,0.766729,-0.355027,0.163773,1.677157,-0.40852,38.525203,3.941853,0.373778,0.31702,33.873249,-2.691255,1.710556,6.517889,-3.768266,-0.487786,-0.515126,0.938434,,,,21S
7.0,2021/4/17,00:59.5,2021/4/17,00:59.5,2,3.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Kiri, Takata",1000073715,Left,HOS_HOS,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,2,103.3272,4.238806,0.879717,1640.323021,58.703723,8:00,1.820408,0.436263,1.927259,-176.927,-6.9101,-20.0255,1.243299,0.482966,94.91876,-8.673352,-0.54565,0.588845,,,,,,,,,,,,10.9625,-4.8178,-0.454793,15.24,1.90509,-0.365114,-28.386505,1.58799,1.15386,4.315596,-10.313744,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,e6ba8db0-9f39-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,103.01528,,,8.40844,,,,16.513004,-28.579384,2.157798,1.823816,2.048947,-5.156872,-0.437323,-0.416684,0.57693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8.0,2021/4/17,01:18.3,2021/4/17,01:18.2,2,4.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Kiri, Takata",1000073715,Left,HOS_HOS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,2,144.04401,-2.729007,-1.576037,1867.022599,204.868181,12:45,1.84737,0.536709,1.968556,-43.6226,42.4675,18.5081,0.646203,0.280416,132.92176,-5.993329,-0.254158,0.419017,157.08588,13.514212,-15.465885,2186.135831,31.526035,6.089587,-11.412046,80.954887,,-25.29047,2.468217,-10.7306,24.816,-0.503708,15.24,1.786125,1.005533,-39.648026,-2.031852,-2.224134,7.685806,-4.663019,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,f1eee690-9f39-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,144.7675,6.465887,,11.12225,,,,16.471478,-39.886035,3.842903,1.84681,-1.887451,-2.33151,-0.535913,1.074409,-1.112067,0.214369,0.571666,-0.263267,116.886475,0.214361,40.890804,-6.97918,1.448671,-0.251546,0.011075,0.013093,-0.004614,0.000526,0.57168,10.196251,-4.573642,0.157466,-0.048472,0.05477,-0.030389,0.008262,-0.000872,-0.263285,-11.31289,-2.150242,0.745813,-0.135074,-0.033589,0.034297,-0.010227,0.00111,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9.0,2021/4/17,02:02.5,2021/4/17,02:02.5,3,1.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,0,0,TwoSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,145.24338,-2.018381,-3.46331,1845.923313,207.346363,1:00,1.871086,0.500496,1.977177,-46.7962,37.6046,18.2181,0.837049,-0.287649,134.41444,-5.503728,-2.164731,0.414885,,,,,,,,,,,,-11.7113,21.7282,-0.427275,15.24,1.825279,2.33441,-39.957934,-1.568643,-2.476012,7.46654,-5.212867,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,0c5070d0-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,146.20913,,,10.82894,,,,16.463027,-40.185819,3.73327,1.870727,-1.409542,-2.606433,-0.499676,2.40998,-1.238006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10.0,2021/4/17,02:22.4,2021/4/17,02:22.4,3,2.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,0,1,TwoSeamFastBall,Changeup,InPlay,Undefined,LineDrive,LineDrive,Single,0,1,2,143.65632,-2.392096,-2.057334,1728.61382,201.007016,12:45,1.882773,0.497274,1.936723,-41.2315,45.9745,16.6302,0.798561,0.086168,132.00805,-5.493626,-0.872689,0.421724,149.10296,11.573797,-31.25507,2169.992255,27.56223,3.038724,-19.090557,50.745094,,-36.985194,1.438236,-10.1462,26.4921,-0.452757,15.24,1.82752,1.343569,-39.527245,-1.78492,-2.081653,7.959028,-4.371393,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,182f6190-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,143.83829,3.377754,,11.64826,,,,16.503501,-39.780844,3.979514,1.882174,-1.645634,-2.185696,-0.496624,1.409897,-1.040827,0.979203,0.78741,-0.067999,81.66081,0.979203,34.686495,-6.509978,1.408654,-0.31002,0.058028,-0.013875,0.003524,-0.000504,0.78741,8.309587,-7.176657,0.908311,-0.177459,0.032912,-0.00553,0.000952,-0.000117,-0.067999,-21.052482,-0.914657,0.907254,-0.334865,0.097742,-0.022954,0.004033,-0.00034,,,,,,,,,,,,,,,,,,,,,,,,,,21S
11.0,2021/4/17,03:26.6,2021/4/17,03:26.6,4,1.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,135.07186,-1.23351,-0.565747,1909.025032,168.152956,11:30,1.826717,0.584147,1.878475,-88.2473,9.501,-1.4764,0.596874,0.41009,126.48154,-7.626432,-0.670789,0.446487,,,,,,,,,,,,0.448,6.4071,-0.570987,15.24,1.79273,0.374388,-37.251699,-1.137966,0.082899,5.995933,-8.621002,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,3e6de0c0-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,135.86052,,,8.59032,,,,16.562083,-37.463894,2.997966,1.827604,-0.832871,-4.310501,-0.584184,0.371455,0.04145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
12.0,2021/4/17,03:45.0,2021/4/17,03:45.0,4,2.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,1,0,Cutter,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,1,132.06208,-0.140981,-0.778875,1853.089566,164.210653,11:30,1.833287,0.579936,1.879737,-87.0298,14.709,-3.476,0.923295,0.325884,123.95837,-6.460347,-1.025972,0.45551,,,,,,,,,,,,1.4047,8.424,-0.56174,15.24,1.824561,0.510218,-36.445366,-0.408845,0.249975,5.423371,-8.30753,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,49629890-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,133.16938,,,8.10372,,,,16.561089,-36.641428,2.711686,1.833913,-0.108518,-4.153765,-0.580021,0.501181,0.124987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
13.0,2021/4/17,04:42.7,2021/4/17,04:42.7,4,3.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,1,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,132.26289,-0.761203,-0.909275,2233.602366,163.031217,11:30,1.822898,0.566917,1.83415,-94.662,10.4802,-2.1331,0.661329,0.288851,120.80087,-7.664847,-1.060586,0.463066,,,,,,,,,,,,0.4044,7.0528,-0.545069,15.24,1.798598,0.587194,-36.375507,-0.843954,0.069475,7.478634,-8.594979,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,6bcc1af0-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,130.99632,,,11.46202,,,,16.605248,-36.655121,3.739317,1.824145,-0.522602,-4.297489,-0.566975,0.584596,0.034737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
14.0,2021/4/17,05:01.8,2021/4/17,05:01.8,4,4.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,144.61349,-2.981511,-0.176353,2149.980846,213.882468,1:15,1.839908,0.568624,1.958291,-43.5303,44.0458,27.4126,0.568542,0.793343,130.46416,-6.282352,1.781171,0.422618,,,,,,,,,,,,-14.3414,26.3637,-0.566098,15.24,1.772686,-0.012761,-39.710349,-2.201643,-2.908106,9.65398,-4.460692,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,77305d70-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,143.53403,,,14.14933,,,,16.480359,-40.010756,4.82699,1.839036,-2.062837,-2.230346,-0.567109,0.077732,-1.454053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
15.0,2021/4/17,05:21.8,2021/4/17,05:21.8,4,5.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,2,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,1,131.81292,-1.397332,-1.441116,2188.594948,178.442557,12:00,1.831738,0.572209,1.890719,-94.4147,11.6736,-0.214,0.494263,0.164539,119.56565,-8.316318,-1.456347,0.465145,,,,,,,,,,,,-1.083,8.354,-0.539204,15.24,1.794166,0.912117,-36.217735,-1.229141,-0.182747,8.006153,-8.396983,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,83189d00-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,130.41096,,,12.24727,,,,16.548367,-36.505811,4.003076,1.832957,-0.927001,-4.198491,-0.572142,0.918693,-0.091374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.25058,2.051964,0.808141,1.243823,0.085465,0.443113,-0.155733,-0.082952,1.774779,0.002456,38.525153,1.477892,-1.478452,-0.010341,34.58628,-2.88255,1.784892,4.190251,-3.564321,-0.03316,-2.482665,1.054356,,,,21S
16.0,2021/4/17,05:58.0,2021/4/17,05:58.0,5,1.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Tomoya, Koike",1000073746,Right,HOS_HOS,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,2,106.65583,3.833114,-0.69941,1816.544169,43.572357,7:30,1.809357,0.42003,1.815191,-179.1089,-14.5566,-19.5314,1.103432,0.027011,96.46791,-9.191043,-2.080822,0.579304,,,,,,,,,,,,9.2888,-8.5904,-0.40186,15.24,1.890668,0.433847,-29.248737,1.378524,1.018983,5.353302,-10.749022,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,98aaebf0-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,104.71182,,,10.18792,,,,16.624348,-29.501021,2.676651,1.813765,1.885093,-5.374511,-0.421175,0.385825,0.509492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
17.0,2021/4/17,06:18.1,2021/4/17,06:18.1,5,2.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Tomoya, Koike",1000073746,Right,HOS_HOS,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,144.43697,-4.092464,-4.1148,2134.853498,192.779781,12:30,1.864428,0.476042,2.002906,-36.811,50.8514,10.8063,0.348047,-0.567479,130.60237,-6.911014,-3.34468,0.422826,,,,,,,,,,,,-9.0403,31.0151,-0.390278,15.24,1.776468,2.794774,-39.543221,-2.936674,-1.822482,9.376932,-3.554183,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,a4acce00-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,143.46337,,,13.8346,,,,16.436448,-39.825926,4.688466,1.86339,-2.829519,-1.777092,-0.475366,2.849719,-0.911241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
18.0,2021/4/17,06:39.0,2021/4/17,06:39.0,5,3.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Tomoya, Koike",1000073746,Right,HOS_HOS,Undefined,1,Top,2,2,0,Cutter,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,2,134.92046,-1.116602,-2.800867,2113.409762,133.523212,10:30,1.866074,0.500922,1.896235,-85.5265,15.457,-12.6027,0.696356,-0.413461,122.66936,-7.390195,-3.695852,0.453816,,,,,,,,,,,,4.3075,9.9156,-0.436294,15.24,1.835524,1.870246,-37.060921,-1.037032,0.763687,8.156697,-8.048695,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,b11c17e0-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,133.66651,,,12.2511,,,,16.543247,-37.34665,4.078348,1.866913,-0.755086,-4.024347,-0.50134,1.843494,0.381843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
19.0,2021/4/17,07:11.6,2021/4/17,07:11.6,5,4.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Tomoya, Koike",1000073746,Right,HOS_HOS,Undefined,1,Top,2,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,2,130.39634,1.912478,-1.709011,2005.526223,166.161245,11:30,1.832658,0.517832,1.837415,-97.7375,8.6806,-1.4163,1.395561,0.021122,120.53793,-5.200118,-1.809245,0.465868,,,,,,,,,,,,-0.3385,4.2081,-0.477021,15.24,1.871858,1.077461,-35.899158,0.83124,-0.057696,6.097438,-9.089326,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,c48aea90-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,130.20869,,,9.85841,,,,16.602718,-36.129873,3.048719,1.833899,1.175162,-4.544663,-0.517832,1.079644,-0.028848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
20.0,2021/4/17,07:37.2,2021/4/17,07:37.2,5,5.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Tomoya, Koike",1000073746,Right,HOS_HOS,Undefined,1,Top,2,3,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,2,135.87663,-1.303495,-2.932146,1976.766468,157.161637,11:15,1.832213,0.538989,1.875914,-77.8955,20.1111,-7.2757,0.68565,-0.360179,125.68241,-6.984962,-3.447999,0.447077,,,,,,,,,,,,1.8527,12.1616,-0.470622,15.24,1.797181,1.947656,-37.37716,-1.141951,0.341008,6.884851,-7.568124,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-3,d3d5b610-9f3a-11eb-942b-7b46d044718d,2e5fb2f3-e928-4900-8147-d3cd4a69364c,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,135.68134,,,10.19422,,,,16.563997,-37.620249,3.442426,1.832784,-0.874737,-3.784062,-0.539177,1.935616,0.170504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
