PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/4/25,00:51.6,2022/4/25,00:51.6,1,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,140.90294,-2.178546,3.958962,2285.027483,148.414578,11:00,1.616579,-0.536647,1.73249,-42.2404,52.1431,-30.04,0.573467,0.289495,127.7735,-5.35625,1.851765,0.438735,,,,,,,,,,,,18.1624,29.0319,0.4372,15.24,1.557426,-2.515922,-38.611893,-1.61468,3.518233,8.374785,-4.182891,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,88fbf150-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,138.26102,,,13.12944,,,,16.706537,-38.928681,4.187393,1.615511,-1.456456,-2.091445,0.534885,-2.649004,1.759117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
2,2022/4/25,01:01.9,2022/4/25,01:01.9,1,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,143.13069,-1.528725,3.874397,2292.632961,144.299849,10:45,1.647056,-0.535788,1.667485,-46.4776,45.4719,-30.4321,0.74513,0.266696,129.99465,-4.983345,1.747648,0.433041,140.85017,-20.385903,-3.447951,,,,,1.981826,,-11.600696,0.052686,18.2089,24.9597,0.434437,15.24,1.602323,-2.495051,-39.240345,-1.226708,3.64974,8.50973,-4.803801,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,8f1b2c40-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,140.07906,0.719561,,13.13604,,,,16.771904,-39.571162,4.254865,1.646381,-1.03996,-2.401901,0.53419,-2.636935,1.82487,0.008548,0.719561,-0.282073,180.0,0.007894,36.685406,,,,,,,,0.719805,-13.657629,,,,,,,,-0.282033,-2.210326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
3,2022/4/25,01:28.6,2022/4/25,01:28.6,2,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,141.65245,-1.299009,2.941445,2375.429125,153.646125,11:00,1.612988,-0.561889,1.749555,-40.76,51.9487,-24.1927,0.836174,0.031712,128.70252,-4.372743,1.24007,0.434825,110.98551,45.706542,65.793836,4308.11327,8.079338,20.802667,32.539991,63.919229,,81.139005,4.066091,14.4971,28.3244,0.489063,15.24,1.577079,-1.874679,-38.892348,-1.020133,2.854363,8.361752,-4.229804,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,9f098ac0-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,139.50424,20.802324,,12.94993,,,,16.689799,-39.202812,4.180876,1.61204,-0.863085,-2.114902,0.560635,-1.980658,1.427182,0.08454,0.839185,-0.030915,221.031196,0.084922,8.817256,-3.95248,1.084561,-0.178828,0.022851,-0.007325,0.002019,-0.00019,0.839977,22.044859,-6.877948,0.38713,0.160889,-0.138591,0.045775,-0.007205,0.000439,-0.030756,19.632336,-1.999446,0.399935,-0.047836,0.002927,-0.001158,0.000424,-4.3e-05,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
4,2022/4/25,01:43.1,2022/4/25,01:43.1,2,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,141.70541,-0.505277,3.102219,2212.260033,154.293487,11:15,1.640661,-0.543168,1.842854,-42.2335,47.8364,-21.8084,1.075536,0.114974,130.77397,-3.6637,1.560248,0.428592,,,,,,,,,,,,13.083,25.7117,0.470848,15.24,1.625835,-2.005645,-38.988047,-0.484955,2.634212,7.083813,-4.629692,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,a7a5ac90-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,141.53307,,,10.93144,,,,16.596816,-39.233795,3.541906,1.639873,-0.324344,-2.314846,0.542011,-2.09703,1.317106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
5,2022/4/25,01:57.3,2022/4/25,01:57.3,2,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,122.23346,4.142348,-0.363924,1920.76939,3.985695,6:15,1.631301,-0.536024,1.640973,-138.9874,-13.6644,-1.2124,1.426981,-0.652122,112.03424,-5.823349,-0.448687,0.505557,,,,,,,,,,,,0.3582,-8.2884,0.546044,15.24,1.732644,0.21882,-33.552306,1.8672,0.052974,5.703957,-11.032571,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,b03439d0-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,119.98648,,,10.19922,,,,16.799163,-33.816328,2.851978,1.634397,2.37787,-5.516285,0.535972,0.216368,0.026487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
6,2022/4/25,02:11.5,2022/4/25,02:11.5,2,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.31209,-0.49911,2.823117,2234.081777,160.91932,11:15,1.628485,-0.573047,1.806476,-35.8599,53.9247,-17.7683,1.128557,0.048323,131.12907,-3.204017,1.569294,0.427913,,,,,,,,,,,,10.8398,28.725,0.505406,15.24,1.613806,-1.841764,-39.153718,-0.454589,2.198183,7.24754,-3.981556,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,b896ae00-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,141.7578,,,11.18302,,,,16.633181,-39.410759,3.62377,1.627424,-0.313379,-1.990778,0.572108,-1.919725,1.099091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
7,2022/4/25,02:26.3,2022/4/25,02:26.3,2,5,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,141.45445,-1.497174,3.18968,2141.252462,153.60346,11:00,1.630459,-0.562772,1.789469,-39.6019,51.4671,-24.2533,0.809824,0.09865,130.59602,-4.458124,1.480468,0.430963,,,,,,,,,,,,14.3412,28.0558,0.48572,15.24,1.590675,-2.046596,-38.897154,-1.151054,2.873914,7.05559,-4.184374,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,c1632ea0-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,140.7545,,,10.85843,,,,16.650337,-39.15214,3.527795,1.629541,-0.999832,-2.092187,0.56156,-2.150459,1.436957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
8,2022/4/25,02:40.0,2022/4/25,02:40.1,2,6,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,141.96392,-1.840888,2.476016,2209.811917,151.115238,11:00,1.620655,-0.57438,1.815578,-39.9175,50.2976,-26.2974,0.700485,-0.137069,130.90935,-4.829114,0.617597,0.428938,,,,,,,,,,,,15.0415,27.7974,0.516166,15.24,1.573318,-1.558628,-39.053048,-1.389358,3.031662,7.283936,-4.204006,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,c9a41110-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,141.41919,,,11.05456,,,,16.62425,-39.310382,3.641968,1.619779,-1.240835,-2.102003,0.573123,-1.665734,1.515831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.62507,2.781482,1.883802,0.897681,-0.555076,0.615242,0.127405,-0.206905,1.664007,1.948225,20.74686,2.189686,17.285092,-0.177298,25.331685,-2.235515,1.685272,4.61787,-4.505124,1.952165,17.711835,-0.700833,,,青木 秀憲,22S
9,2022/4/25,03:04.7,2022/4/25,03:04.7,3,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,141.75663,-2.467816,2.76114,2207.981713,149.320485,11:00,1.63421,-0.589989,1.761013,-37.4558,54.1218,-30.4364,0.558522,-0.110676,130.19631,-5.281812,0.618104,0.432165,,,,,,,,,,,,17.344,30.095,0.522715,15.24,1.569332,-1.724631,-38.947713,-1.804336,3.462248,7.565044,-3.799033,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,d84d6c70-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,140.36313,,,11.56032,,,,16.67879,-39.226182,3.782522,1.633176,-1.664493,-1.899517,0.588545,-1.852077,1.731124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
10,2022/4/25,03:15.3,2022/4/25,03:15.3,3,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.9343,-0.701391,0.802081,2180.161456,150.922718,11:00,1.63053,-0.5484,1.704712,-40.4262,52.6942,-27.7281,1.026633,-0.597405,129.18584,-3.728121,-1.14612,0.43579,,,,,,,,,,,,14.4918,27.9559,0.529592,15.24,1.609067,-0.39761,-38.771392,-0.614117,2.8631,7.592095,-4.283498,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,dea48040-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,139.19553,,,11.74846,,,,16.734609,-39.062965,3.796047,1.629493,-0.44961,-2.141749,0.546974,-0.507567,1.43155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
11,2022/4/25,03:27.6,2022/4/25,03:27.6,3,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,2,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,116.08033,2.059227,1.025705,1903.268618,346.047462,5:30,1.627265,-0.489813,1.540795,-168.5033,-27.4839,7.923,0.534501,-0.115716,106.92584,-9.893009,1.578005,0.536283,,,,,,,,,,,,-3.194,-13.8788,0.459273,15.24,1.67076,-0.606894,-31.901974,0.471583,-0.423975,5.525376,-11.64894,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,e5fed340-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,113.11189,,,9.15449,,,,16.900084,-32.188214,2.762688,1.630698,1.075052,-5.82447,0.490144,-0.584931,-0.211988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
12,2022/4/25,03:39.1,2022/4/25,03:39.1,3,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,2,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,140.91859,-1.491166,3.248479,2196.566015,160.160781,11:15,1.611062,-0.529612,1.833718,-39.1316,52.6543,-17.9954,0.797965,0.208576,129.41697,-4.438801,1.977211,0.432656,112.13169,30.056832,-34.948093,2645.99439,27.153539,13.62908,-19.667342,75.553244,,-36.962227,3.722766,11.4607,28.9927,0.453142,15.24,1.572816,-2.112388,-38.737759,-1.135852,2.262745,7.498721,-4.08246,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,ecd1cdd0-c43b-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,140.20379,14.122826,,11.50162,,,,16.606232,-39.001333,3.749361,1.610218,-0.992357,-2.04123,0.528788,-2.191921,1.131372,0.502377,0.813602,-0.21332,162.810822,0.502662,22.088923,-3.04995,0.598514,0.006824,-0.074234,0.028732,-0.004662,0.000285,0.813324,15.608502,-4.930814,0.302479,-0.121421,0.055597,-0.012314,0.00112,-2.5e-05,-0.213505,-15.436971,1.446514,-0.147863,-0.070342,0.059256,-0.020263,0.00328,-0.000206,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
13,2022/4/25,05:39.5,2022/4/25,05:39.5,1,1,"Kosei, Shoji",1000101253,Right,RIK,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Bottom,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,134.2324,1.311166,-2.202771,2188.156464,125.982769,10:15,1.842076,0.517873,1.787171,-93.1826,8.6514,-7.7222,1.281842,-0.183365,123.26572,-5.461867,-2.747413,0.455723,,,,,,,,,,,,2.4398,4.4933,-0.462912,15.24,1.867987,1.456772,-36.917197,0.474887,0.436339,6.98826,-9.003049,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,34a197d0-c43c-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,133.10715,,,10.96667,,,,16.652586,-37.183632,3.49413,1.843338,0.818138,-4.501525,-0.518136,1.440137,0.218169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
14,2022/4/25,05:49.3,2022/4/25,05:49.3,1,2,"Kosei, Shoji",1000101253,Right,RIK,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Bottom,0,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,134.32523,-1.507752,-2.58704,2132.7514,170.11258,11:45,1.832254,0.564095,1.891178,-89.5935,11.0617,-1.3881,0.51161,-0.178099,123.72657,-8.033198,-2.685704,0.453078,,,,,,,,,,,,-1.0973,7.7367,-0.504781,15.24,1.792331,1.675425,-36.943145,-1.307442,-0.195962,7.188281,-8.424926,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,3a671a00-c43c-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,133.88432,,,10.59867,,,,16.548696,-37.196915,3.59414,1.833238,-1.010014,-4.212463,-0.564051,1.682344,-0.097981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
15,2022/4/25,06:00.4,2022/4/25,06:00.4,1,3,"Kosei, Shoji",1000101253,Right,RIK,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Bottom,0,1,1,Cutter,Slider,InPlay,Undefined,LineDrive,LineDrive,Double,0,0,,132.80592,-0.708627,-1.079728,2214.777354,127.168224,10:15,1.839476,0.55022,1.808351,-92.6283,11.0846,-10.4623,0.712764,0.140238,122.3185,-7.434749,-1.820373,0.459908,159.56342,19.67059,-31.257776,1882.062053,27.864861,9.781741,-18.64596,99.865891,,-39.639784,3.240414,4.6718,7.0305,-0.523215,15.24,1.815879,0.736194,-36.559886,-0.80791,0.817815,6.984925,-8.575937,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,4106cf90-c43c-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,131.89593,11.711603,,10.48742,,,,16.631894,-36.824853,3.492463,1.840356,-0.48259,-4.287969,-0.550553,0.705171,0.408908,0.861195,0.755463,-0.14994,120.608995,0.861258,35.675916,-6.53331,1.485953,-0.314558,0.060079,-0.010463,0.001105,-2.8e-05,0.755415,14.921506,-5.534789,0.369245,-0.06077,0.016411,-0.005075,0.001294,-0.000139,-0.14987,-21.659054,0.406777,0.228018,-0.101123,0.033628,-0.009703,0.001809,-0.00015,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
16,2022/4/25,06:58.8,2022/4/25,06:58.8,2,1,"Kosei, Shoji",1000101253,Right,RIK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,2,142.75066,-2.400425,-1.84079,2168.256472,203.392703,12:45,1.837027,0.530772,1.845727,-37.6738,51.8898,21.2222,0.782321,0.223481,130.73739,-5.246002,-0.337342,0.427386,70.38298,68.327264,-173.994277,2276.826984,,,,20.935537,,-172.403555,3.295379,-12.3176,29.3723,-0.488584,15.24,1.777735,1.159882,-39.254397,-1.767558,-2.485701,8.054892,-3.879315,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,63c8d230-c43c-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,141.93251,14.510389,,12.01327,,,,16.594329,-39.531325,4.027446,1.836211,-1.634187,-1.939657,-0.52993,1.245341,-1.24285,1.127208,0.753058,-0.217362,4.163297,1.127158,-7.178013,0.373345,-0.035973,-0.062537,0.040024,-0.011817,0.001744,-0.0001,0.753031,18.169915,-6.719956,0.644268,-0.176231,0.067847,-0.02599,0.005588,-0.000474,-0.217531,-0.74834,0.047818,0.104619,-0.177393,0.112469,-0.037406,0.006314,-0.000423,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
17,2022/4/25,07:36.6,2022/4/25,07:36.6,2,2,"Kosei, Shoji",1000101253,Right,RIK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Bottom,0,0,1,Fastball,Changeup,InPlay,Undefined,Bunt,,Sacrifice,1,0,2,140.06749,-2.138255,-1.407445,1885.963071,200.864087,12:45,1.861238,0.469893,1.882438,-40.7824,51.389,18.524,0.851066,0.25888,128.82387,-5.207295,-0.091734,0.433564,,,,,,,,,,,,-10.6242,28.9995,-0.438625,15.24,1.80945,0.862127,-38.552683,-1.56961,-2.076327,7.47277,-4.139168,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,7a6257f0-c43c-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,139.91025,,,11.24362,,,,16.557742,-38.807264,3.736385,1.860521,-1.428598,-2.069584,-0.469201,0.932863,-1.038164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
18,2022/4/25,08:23.0,2022/4/25,08:23.0,3,1,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,3,145.78443,-2.893638,-3.000791,2095.709678,197.323819,12:30,1.848161,0.514163,1.847135,-28.2083,58.0093,17.2207,0.747964,-0.16093,133.15452,-5.068431,-1.782904,0.419327,,,,,,,,,,,,-10.9476,32.7133,-0.4442,15.24,1.777698,2.010495,-40.022242,-2.099633,-2.294486,8.442774,-2.950345,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,96049f90-c43c-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,144.66036,,,12.62991,,,,16.592254,-40.306493,4.221387,1.846716,-2.000301,-1.475173,-0.51319,2.087746,-1.147243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
19,2022/4/25,08:43.1,2022/4/25,08:43.1,3,2,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,3,148.33095,-1.121155,-2.322491,2119.283098,195.758773,12:30,1.829685,0.453398,1.842414,-30.2477,52.4196,14.0886,1.210536,-0.061444,136.01983,-3.430141,-1.325479,0.410603,,,,,,,,,,,,-8.757,28.4394,-0.39912,15.24,1.801005,1.581697,-40.804152,-0.88837,-1.91783,8.341167,-3.578263,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,a2006720-c43c-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,147.73407,,,12.31112,,,,16.59701,-41.080615,4.170583,1.828484,-0.769771,-1.789132,-0.452597,1.645262,-0.958915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
20,2022/4/25,09:06.5,2022/4/25,09:06.5,3,3,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,3,114.24441,4.791027,0.408525,2220.854957,31.911931,7:00,1.865711,0.412219,1.588845,-192.132,-46.2483,-31.7572,1.320786,0.211736,104.276,-8.886519,-1.806925,0.545454,,,,,,,,,,,,16.007,-24.9301,-0.420771,15.24,1.983554,-0.080263,-31.329183,1.864433,2.040771,5.527217,-12.985045,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220425-JinguStadium-1,b004f700-c43c-11ec-ba6d-6b7f4c741716,a20d99f4-dac0-42de-9cc1-5601daccc7d7,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,111.21017,,,9.96841,,,,16.852825,-31.612444,2.763608,1.870954,2.529894,-6.492523,-0.413977,-0.184849,1.020385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
