PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/15,22:34.9,2022/5/15,22:34.9,1,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Daichi, Myoshin",1000073644,Right,MEI_MEI,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,128.48887,1.218773,-0.840087,2794.218137,80.742053,8:45,1.548607,0.344908,1.636972,-115.4885,-1.6387,-32.2729,0.742099,-0.217909,117.59256,-7.079921,-3.099382,0.48186,,,,,,,,,,,,15.543,-0.5697,-0.319145,15.24,1.57212,0.675231,-35.318422,0.269024,2.526169,6.83535,-9.899246,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,07623f80-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,125.88719,,,10.89631,,,,16.802878,-35.619609,3.417675,1.550656,0.705216,-4.949623,-0.346445,0.56392,1.263085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
2,2022/5/15,22:46.0,2022/5/15,22:46.0,1,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Daichi, Myoshin",1000073644,Right,MEI_MEI,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,117.35018,2.124625,-0.009406,2749.60434,59.776288,8:00,1.569277,0.315252,1.732216,-152.7992,-16.9668,-36.9794,0.645182,-0.057214,107.05376,-8.894316,-2.615677,0.526328,,,,,,,,,,,,18.6567,-8.7578,-0.312242,15.24,1.612452,0.166338,-32.251524,0.627992,2.508681,6.100552,-10.984268,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,0e0c0730-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,115.25138,,,10.29642,,,,16.707964,-32.528013,3.050276,1.572709,1.12582,-5.492134,-0.317204,0.05264,1.25434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
3,2022/5/15,23:02.1,2022/5/15,23:02.1,1,3,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Daichi, Myoshin",1000073644,Right,MEI_MEI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.46895,-1.763865,-4.97206,2206.079582,219.188842,1:15,1.544063,0.330335,1.877551,-43.8169,44.7912,33.9421,0.607209,-0.733751,130.53139,-5.076325,-2.57493,0.4251,,,,,,,,,,,,-21.2817,25.3844,-0.217042,15.24,1.500388,3.269569,-39.564413,-1.365425,-4.313338,9.059849,-4.661785,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,179aed70-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,142.69572,,,13.93756,,,,16.561381,-39.865847,4.529924,1.543237,-1.21032,-2.330893,-0.328213,3.41308,-2.156669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
4,2022/5/15,23:14.8,2022/5/15,23:14.8,1,4,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Daichi, Myoshin",1000073644,Right,MEI_MEI,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,130.81675,-0.303335,-1.604725,2873.53877,107.790058,9:30,1.538193,0.366141,1.699105,-96.6409,13.0515,-29.1091,0.485395,-0.381909,119.16427,-7.3025,-3.649425,0.47298,,,,,,,,,,,,13.4624,7.9586,-0.321704,15.24,1.522709,1.147418,-35.936002,-0.577908,2.250546,7.487643,-8.47619,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,1f30e9e0-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,128.25065,,,11.65248,,,,16.740246,-36.247246,3.743821,1.539409,-0.225572,-4.238095,-0.367455,1.053868,1.125273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
5,2022/5/15,23:44.5,2022/5/15,23:44.5,2,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Yoshihiro, Chonan",1000073627,Left,MEI_MEI,Undefined,1,Top,1,0,0,Curveball,Curveball,InPlay,Undefined,LineDrive,GroundBall,Single,0,0,,120.21516,1.980686,0.199958,2789.550988,47.989396,7:30,1.553389,0.330393,1.682359,-156.3257,-25.163,-33.1756,0.554809,0.055621,108.93156,-9.260521,-2.132794,0.517202,168.91928,5.358472,-16.448673,2220.634776,31.48053,1.182292,-11.536324,44.444451,42.695294,-21.325905,1.089599,16.8895,-12.9806,-0.33296,15.24,1.59343,0.034583,-33.012325,0.530166,2.360776,6.808506,-11.62105,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,30e69ae0-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,117.28503,1.603121,,11.2836,,,,16.75784,-33.323896,3.404253,1.557,1.061969,-5.810525,-0.332071,-0.073451,1.180388,0.260934,0.550039,-0.058067,103.445392,0.260934,44.805001,-8.044878,1.740523,-0.213782,-0.208114,0.263325,-0.144267,0.032041,0.55004,4.381896,-4.614955,0.157324,-0.19821,0.390176,-0.392825,0.207827,-0.045554,-0.058067,-13.228211,-2.13101,0.791411,0.035665,-0.453447,0.495255,-0.265626,0.058479,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
6,2022/5/15,24:51.5,2022/5/15,24:51.5,3,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,0,0,Curveball,Curveball,FoulBall,Undefined,Undefined,,Undefined,0,0,1,117.15278,3.070195,1.176578,2786.750963,48.784909,7:45,1.574841,0.321845,1.633319,-171.5966,-32.5068,-42.8182,0.737463,0.230014,106.05903,-9.226835,-1.822829,0.532601,,,,,,,,,,,,22.5382,-17.6244,-0.350204,15.24,1.644206,-0.470007,-32.143463,1.056569,2.988333,6.427598,-12.143463,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,58d1dfb0-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,113.89381,,,11.09375,,,,16.807491,-32.455394,3.213799,1.57863,1.645891,-6.071732,-0.323876,-0.615031,1.494166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
7,2022/5/15,25:30.5,2022/5/15,25:30.5,3,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,141.29943,-0.942831,-2.054443,2059.458183,226.687634,1:30,1.550897,0.377566,1.78467,-54.4326,37.9851,37.0958,0.739375,0.166476,128.82027,-4.979492,0.564247,0.434142,,,,,,,,,,,,-20.3425,20.9869,-0.329263,15.24,1.523755,1.204099,-38.842226,-0.842194,-4.004213,8.168407,-5.675596,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,7001b200-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,139.72371,,,12.47916,,,,16.65465,-39.138592,4.084204,1.550576,-0.636272,-2.837798,-0.375586,1.34938,-2.002107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
8,2022/5/15,26:04.8,2022/5/15,26:04.8,3,3,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,0,2,Slider,Curveball,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,1,129.92068,0.526563,-0.704532,2946.199411,67.500678,8:15,1.537989,0.383895,1.62636,-120.0779,-8.2604,-28.7953,0.487799,-0.105531,118.75655,-8.078182,-2.721123,0.47754,137.75494,-17.535778,65.314308,,,,,1.606726,1.606726,49.491464,0.038642,13.9842,-3.5791,-0.36191,15.24,1.542057,0.578969,-35.712321,-0.181203,2.31439,7.242925,-10.398985,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,848b6a90-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,127.02609,0.446119,,11.16413,,,,16.813818,-36.030098,3.621462,1.539998,0.275044,-5.199492,-0.385084,0.477427,1.157195,0.454029,0.446119,-0.0612,,0.453901,15.259063,,,,,,,,0.446216,-11.544967,,,,,,,,-0.061479,33.197418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
9,2022/5/15,26:39.1,2022/5/15,26:39.1,3,4,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,0,2,Fastball,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,1,141.75891,-1.265928,-2.018777,1858.129752,232.673976,1:45,1.531842,0.415649,1.816743,-62.8329,27.2978,32.5026,0.545441,0.16987,131.30737,-5.861111,0.281124,0.428737,168.44041,-1.169779,-10.68695,1611.962333,,,,9.994171,9.994171,-12.572742,0.219171,-17.991,15.6013,-0.369014,15.24,1.49695,1.218295,-39.037033,-1.109215,-3.630958,7.113459,-6.657976,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,98f14770-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,141.48533,0.496173,,10.45155,,,,16.623544,-39.288338,3.556729,1.531981,-0.874001,-3.328988,-0.41432,1.34657,-1.815479,0.119092,0.496173,-0.165847,70.762635,0.120009,45.912288,-8.931241,,,,,,,0.496657,-0.984562,-5.856796,,,,,,,-0.165341,-8.705703,-2.1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
10,2022/5/15,27:29.4,2022/5/15,27:29.4,4,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,2,139.9409,-0.745607,-0.603583,1923.446801,235.455389,1:45,1.529147,0.370983,1.85516,-63.8374,28.9555,37.9546,0.680518,0.580336,128.49082,-5.449266,2.089574,0.435023,,,,,,,,,,,,-19.8893,16.3362,-0.359076,15.24,1.50756,0.220985,-38.529641,-0.740297,-3.871931,7.663142,-6.626424,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,b6e14fa0-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,139.44096,,,11.45008,,,,16.584464,-38.796119,3.831571,1.529296,-0.509869,-3.313212,-0.369102,0.355627,-1.935965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
11,2022/5/15,27:54.7,2022/5/15,27:54.7,4,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,141.66398,-0.658851,-3.651893,2109.911469,212.445347,1:00,1.539572,0.360549,1.857253,-49.5929,41.9562,24.729,0.857511,-0.423113,128.70705,-4.375175,-1.903148,0.432098,,,,,,,,,,,,-15.7288,23.1367,-0.276368,15.24,1.520975,2.367853,-38.910438,-0.620986,-3.09436,8.499256,-5.254936,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,c5f29490-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,140.38498,,,12.95693,,,,16.582928,-39.202678,4.249628,1.539221,-0.440299,-2.627468,-0.359614,2.47425,-1.54718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
12,2022/5/15,28:21.8,2022/5/15,28:21.8,4,3,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,2,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,2,132.23275,-1.044289,-1.048648,2854.990974,124.265264,10:15,1.531784,0.383486,1.617694,-86.895,21.4554,-26.0845,0.363974,-0.177416,120.47125,-7.324059,-2.872975,0.470078,,,,,,,,,,,,12.2996,12.6259,-0.352108,15.24,1.495414,0.794827,-36.313543,-1.021057,2.101812,7.577627,-7.649078,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,d632bc90-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,129.04239,,,11.7615,,,,16.821703,-36.642114,3.788814,1.532497,-0.689388,-3.824539,-0.384597,0.703691,1.050906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
13,2022/5/15,28:52.7,2022/5/15,28:52.7,4,4,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,,Undefined,0,0,2,141.57457,-2.36413,-1.55599,2101.187981,235.381416,1:45,1.510965,0.398098,1.842088,-61.697,29.5756,38.6222,0.226239,0.345129,129.76977,-6.90043,1.18322,0.431444,,,,,,,,,,,,-21.1175,17.8106,-0.363682,15.24,1.450797,0.87183,-38.932171,-1.841481,-4.181463,8.109172,-6.279995,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,e8979950-d40f-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,140.59752,,,11.8048,,,,16.597962,-39.214,4.054586,1.511004,-1.623224,-3.139997,-0.396507,1.017154,-2.090731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
14,2022/5/15,29:43.3,2022/5/15,29:43.3,5,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",141.09911,-1.744465,-1.579218,2048.347528,234.71914,1:45,1.547739,0.357983,1.832935,-63.9253,27.7679,35.2288,0.4156,0.264269,129.57727,-6.438057,0.917539,0.432437,,,,,,,,,,,,-19.4026,16.3593,-0.322619,15.24,1.501811,0.903057,-38.825752,-1.427517,-3.830605,7.876044,-6.576872,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,06af74d0-d410-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,140.27466,,,11.52185,,,,16.607331,-39.10214,3.938022,1.547856,-1.19672,-3.288436,-0.356668,1.037481,-1.915303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
15,2022/5/15,30:09.8,2022/5/15,30:09.8,5,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,2,1,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",130.80146,0.7137,-1.461459,2832.449018,64.841723,8:15,1.544237,0.344045,1.667143,-118.5458,-7.805,-24.941,0.562434,-0.322325,118.54766,-7.82485,-3.211029,0.475235,,,,,,,,,,,,11.3035,-3.2752,-0.302812,15.24,1.553762,1.039992,-35.9115,-0.053951,1.876093,7.842937,-10.350257,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,168baae0-d410-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,127.6421,,,12.2538,,,,16.772217,-36.244585,3.921469,1.546719,0.38562,-5.175129,-0.345288,0.960315,0.938047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
16,2022/5/15,30:41.6,2022/5/15,30:41.6,5,3,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,2,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",139.82547,-1.00577,-0.837929,2043.670419,226.4019,1:30,1.555292,0.342369,1.790083,-60.2613,33.6086,32.2237,0.667889,0.427375,128.14017,-5.444315,1.439298,0.43754,,,,,,,,,,,,-17.3644,18.8169,-0.324106,15.24,1.526312,0.410727,-38.487517,-0.904888,-3.363957,7.843582,-6.161308,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,296eb850-d410-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,138.6387,,,11.6853,,,,16.650339,-38.773873,3.921791,1.555242,-0.679949,-3.080654,-0.341343,0.533539,-1.681978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
17,2022/5/15,31:09.6,2022/5/15,31:09.6,5,4,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,2,3,0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"1,2",127.79368,1.7096,-0.674436,2819.819701,78.947457,8:45,1.543045,0.334257,1.674025,-120.0997,-5.3246,-46.0778,0.829671,-0.318826,116.79141,-6.938033,-3.906151,0.483814,,,,,,,,,,,,22.6107,-2.7473,-0.312496,15.24,1.578982,0.635585,-35.128057,0.554722,3.627869,6.887064,-10.247454,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,3a304550-d410-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,125.37873,,,11.00227,,,,16.766012,-35.425977,3.443532,1.545398,0.998006,-5.123727,-0.336595,0.478651,1.813934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
18,2022/5/15,31:36.2,2022/5/15,31:36.2,5,5,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,2,3,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,"1,2",141.46767,-0.999351,-2.63126,2218.631274,216.995266,1:15,1.503035,0.370493,1.866391,-51.6866,39.6936,27.6483,0.704262,-0.094941,128.87697,-4.860534,-0.671235,0.431699,150.24996,19.978301,69.144093,5376.512649,9.89261,10.829936,32.035164,78.989237,58.528589,80.100305,3.29452,-16.1667,22.1167,-0.310776,15.24,1.476465,1.651943,-38.885948,-0.859128,-3.186562,8.253214,-5.4473,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,49fc9ce0-d410-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,140.51466,12.010438,,12.5907,,,,16.572994,-39.167843,4.126607,1.502632,-0.673071,-2.72365,-0.369058,1.760783,-1.593281,0.050091,0.70011,-0.103508,,0.050096,13.964466,-5.678528,1.40934,-0.293718,0.052601,-0.007514,0.000704,-2.9e-05,0.700087,14.260695,-4.238621,-0.436089,0.272987,-0.085378,0.016963,-0.00194,9.9e-05,-0.103494,36.653868,-8.189734,2.397539,-0.591762,0.126158,-0.021252,0.002354,-0.000121,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
19,2022/5/15,32:17.0,2022/5/15,32:17.0,5,6,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,2,3,2,Fastball,Sinker,BallCalled,Walk,Undefined,,Undefined,0,0,"1,2",141.52185,-0.857853,-0.54247,2044.180946,229.016862,1:45,1.557831,0.340348,1.875927,-57.4368,32.6093,34.5355,0.741864,0.53294,130.51168,-5.099801,1.910945,0.428536,,,,,,,,,,,,-18.5462,18.2757,-0.330039,15.24,1.534394,0.212299,-39.001642,-0.794742,-3.713895,7.557387,-6.146933,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,62525190-d410-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,141.55178,,,11.01018,,,,16.564784,-39.257508,3.778694,1.557778,-0.586629,-3.073466,-0.339355,0.338038,-1.856947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
20,2022/5/15,33:30.7,2022/5/15,33:30.7,6,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kaito, Mino",1000073560,Right,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"1,2,3",144.24311,-1.632984,-2.836501,2196.316259,216.282394,1:15,1.544238,0.35318,1.847962,-46.1184,40.9768,28.217,0.621721,-0.165443,132.99135,-5.059843,-0.838917,0.421456,,,,,,,,,,,,-16.3311,22.9538,-0.287857,15.24,1.502575,1.826364,-39.679091,-1.297445,-3.395896,7.567041,-5.033608,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,8e3891c0-d410-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,143.9297,,,11.25176,,,,16.591946,-39.936083,3.78352,1.543736,-1.126493,-2.516804,-0.351842,1.941696,-1.697948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
21,2022/5/15,33:57.7,2022/5/15,33:57.7,6,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kaito, Mino",1000073560,Right,MEI_MEI,Undefined,1,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2,3",131.01971,0.14806,-1.103335,2876.139199,80.182272,8:45,1.536769,0.358138,1.679965,-114.4585,-5.2995,-50.8555,0.434391,-0.464926,120.06518,-8.069511,-4.673938,0.471829,,,,,,,,,,,,24.8626,-1.74,-0.324626,15.24,1.531497,0.939969,-36.028862,-0.384996,4.189714,7.346327,-10.099858,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-2,9e6272a0-d410-11ec-b000-2dd98ddb16d7,759ec8f6-0da4-4194-9068-a661446c5e09,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,128.56356,,,10.95453,,,,16.760333,-36.337537,3.673164,1.538758,0.039377,-5.049929,-0.360423,0.763927,2.094857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,22S
