PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/9/26,02:30.2,2020/9/26,02:30.2,1,4,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kengo, Kasahara",1000073992,Left,TOK,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,152.463,-1.689928,-0.483546,2265.509091,212.919768,1:00,1.843403,0.387465,1.763274,-34.7526,45.5414,27.6442,1.016516,0.526787,137.67443,-4.326478,1.466113,0.404665,,,,,,,,,,,,-14.3334,25.292,-0.37725,15.24,1.79846,0.197056,-41.872006,-1.35454,-3.247823,10.305672,-4.075719,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,ef8556f0-ff93-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,149.90158,,,14.78856,,,,16.675391,-42.223811,5.152836,1.842325,-1.215407,-2.03786,-0.385869,0.307927,-1.623911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
2,2020/9/26,02:47.8,2020/9/26,02:47.8,1,5,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kengo, Kasahara",1000073992,Left,TOK,Undefined,1,Top,0,2,2,Splitter,Sinker,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,142.91839,-1.977395,-3.449039,1925.733006,256.546064,2:30,1.820157,0.406191,1.810587,-78.3669,11.0912,35.3004,0.476164,-0.217163,131.99791,-7.657127,-0.953746,0.427134,,,,,,,,,,,,-20.3653,7.8296,-0.324687,15.24,1.766716,2.191856,-39.278567,-1.684486,-4.138799,7.618065,-8.215454,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,f9fb8ff0-ff93-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,142.01617,,,10.92047,,,,16.629648,-39.547171,3.809033,1.821002,-1.394819,-4.107727,-0.404542,2.337785,-2.0694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
3,2020/9/26,03:18.3,2020/9/26,03:18.3,2,1,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,152.69834,-3.207201,-2.967915,2313.890274,201.766445,12:45,1.817066,0.352126,1.935368,-31.6026,46.7726,17.5887,0.599072,-0.305414,138.49061,-5.629,-1.716719,0.399801,,,,,,,,,,,,-11.3641,27.5475,-0.287338,15.24,1.744096,2.080456,-41.893907,-2.442279,-2.587475,9.991852,-3.534402,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,0c290900-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,151.72544,,,14.20773,,,,16.503644,-42.194215,4.995926,1.815903,-2.336052,-1.767201,-0.351035,2.158223,-1.293737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
5,2020/9/26,03:35.3,2020/9/26,03:35.3,2,2,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,,,152.70387,-2.612104,-3.379814,2370.590569,211.269808,1:00,1.81744,0.389495,2.013009,-34.7565,42.1828,24.1211,0.738781,-0.314055,139.5742,-5.256332,-1.656371,0.396122,145.29146,18.250721,30.371579,3448.271527,27.436565,8.621594,19.270733,82.883064,,41.32773,3.032767,-15.0665,24.782,-0.320348,15.24,1.761252,2.360308,-41.959047,-2.023293,-3.468959,9.325408,-4.100779,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,164e3bd0-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,153.13467,9.427318,,13.12967,,,,16.426756,-42.22198,4.662704,1.816669,-1.907671,-2.05039,-0.388277,2.458117,-1.73448,0.030759,0.658221,0.312665,236.647923,0.030763,33.068262,-6.56626,1.30489,-0.263459,0.048279,-0.007519,0.000853,-4.8e-05,0.65822,12.639406,-4.92432,0.320094,-0.052135,0.009482,-0.001126,0.000123,-9e-06,0.312662,19.379309,-0.073424,-0.271434,0.087325,-0.021513,0.003528,-0.000359,1.8e-05,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
6,2020/9/26,04:14.7,2020/9/26,04:14.7,3,1,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,151.47051,-3.967312,-3.818808,2341.413597,205.583727,12:45,1.806451,0.321119,2.014666,-31.7809,46.7884,21.1623,0.376816,-0.534964,138.35953,-6.396974,-2.308072,0.400296,,,,,,,,,,,,-13.8445,28.2265,-0.242788,15.24,1.722195,2.669855,-41.537217,-2.97579,-3.11993,9.245058,-3.445641,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,2dcc7c40-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,151.53798,,,13.11098,,,,16.424964,-41.800126,4.622529,1.805426,-2.877804,-1.722821,-0.319974,2.758579,-1.559965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
7,2020/9/26,04:32.7,2020/9/26,04:32.7,3,2,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,2,1,0,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,140.82589,-2.190647,-2.574961,1889.106828,240.734569,2:00,1.814522,0.362096,1.69086,-67.7208,26.629,41.9618,0.512419,0.047796,128.67546,-7.11999,0.371709,0.438657,,,,,,,,,,,,-23.0259,15.9994,-0.297517,15.24,1.75133,1.519343,-38.660958,-1.762302,-4.48825,8.124314,-6.688015,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,38840400-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,138.28563,,,12.15044,,,,16.748759,-38.976723,4.062157,1.814773,-1.502361,-3.344007,-0.359959,1.693786,-2.244125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
8,2020/9/26,04:50.1,2020/9/26,04:50.1,3,3,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,2,1,1,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,140.57083,-2.610918,-3.57414,1891.585617,261.194363,2:45,1.816298,0.359968,1.766321,-84.4628,8.508,37.3827,0.229487,-0.280832,130.2337,-8.691005,-0.937594,0.43544,,,,,,,,,,,,-21.4657,6.8531,-0.273026,15.24,1.744572,2.228267,-38.612684,-2.11911,-4.220866,7.272391,-8.459112,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,42eb48e0-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,139.30749,,,10.33713,,,,16.674183,-38.881863,3.636196,1.817214,-1.806006,-4.229556,-0.358394,2.384497,-2.110433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
9,2020/9/26,05:12.2,2020/9/26,05:12.2,3,4,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,2,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,,,151.53993,-1.760358,-2.838944,2340.769949,221.175075,1:15,1.797115,0.353941,1.984702,-37.2751,41.2301,33.806,0.931232,-0.102704,137.97838,-4.594346,-0.425189,0.400132,130.14599,26.772896,19.218463,1889.380158,31.748982,13.736941,10.776214,85.889358,,19.865875,3.912004,-19.8296,23.6881,-0.295215,15.24,1.757635,1.900762,-41.669415,-1.4002,-4.48538,9.52962,-4.448476,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,500b9340-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,151.59979,15.392293,,13.56155,,,,16.455134,-41.94639,4.76481,1.796452,-1.270907,-2.224238,-0.352354,2.031128,-2.24269,0.129217,0.878943,0.105274,166.810399,0.129224,30.477399,-4.423146,0.859947,-0.15228,0.021011,-0.002421,0.000251,-1.5e-05,0.878953,16.284086,-4.903854,0.205715,-0.009021,-0.003947,0.002048,-0.000312,1.7e-05,0.105279,10.624698,-2.099706,0.661958,-0.159771,0.030816,-0.004251,0.000384,-1.7e-05,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
10,2020/9/26,07:40.4,2020/9/26,07:40.4,1,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,131.4953,-1.457454,-1.11483,2208.339713,192.050098,12:30,1.761543,0.537019,1.968113,-50.5043,53.7636,10.7474,0.848263,0.332313,120.01514,-5.279919,-0.347342,0.461137,,,,,,,,,,,,-6.3762,30.128,-0.513498,15.24,1.727285,0.656376,-36.176647,-1.060924,-1.088457,7.101773,-4.663567,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,a85cacf0-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,131.54446,,,11.48016,,,,16.470644,-36.417431,3.550887,1.760575,-0.902806,-2.331783,-0.536378,0.69328,-0.544228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
11,2020/9/26,07:53.5,2020/9/26,07:53.5,1,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Bottom,0,0,1,Cutter,Slider,InPlay,Undefined,Popup,Popup,Out,1,0,,,,126.69587,0.056397,-1.597499,2208.499571,167.174986,11:30,1.738636,0.521864,1.868932,-82.6124,29.0651,-5.943,0.928406,0.012269,117.89441,-5.983262,-2.01917,0.477241,132.99551,59.822396,-31.89894,4133.538906,21.382786,40.003924,-25.824462,59.356338,,-56.347439,5.759702,2.1473,15.9342,-0.484308,15.24,1.73472,0.998627,-34.918288,-0.249696,0.347835,5.500358,-7.225564,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,b02949c0-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,127.10569,40.007962,,8.80145,,,,16.57134,-35.127376,2.750179,1.738991,0.024973,-3.612782,-0.522018,0.985404,0.173917,0.239982,0.871973,0.003698,155.716605,0.240907,15.747974,-5.531181,1.459893,-0.243099,0.026822,-0.002628,0.000281,-1.6e-05,0.873517,31.908456,-7.966928,0.757397,-0.059445,-0.013226,0.003972,-0.000339,9e-06,0.004016,-9.820701,-0.16806,0.160921,-0.00968,-0.011904,0.00389,-0.00047,2e-05,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
12,2020/9/26,08:25.8,2020/9/26,08:25.8,2,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,131.80092,-1.377966,-0.277858,2356.494941,197.181708,12:30,1.754796,0.599252,1.883369,-47.8746,57.4917,16.6607,0.888116,0.687649,119.68583,-5.009881,0.905848,0.46356,,,,,,,,,,,,-8.7371,31.7515,-0.593772,15.24,1.720054,0.098234,-36.234146,-1.006855,-1.489124,7.432053,-4.395052,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,c37c08f0-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,130.85697,,,12.11508,,,,16.555103,-36.502893,3.716027,1.753589,-0.847928,-2.197526,-0.598298,0.152082,-0.744562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
13,2020/9/26,08:38.5,2020/9/26,08:38.5,2,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Bottom,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,131.47764,-2.405444,-1.861872,2280.9561,206.809317,1:00,1.746874,0.540744,1.956735,-54.383,49.9888,23.552,0.528314,0.254406,120.42728,-6.484225,-0.181197,0.461367,,,,,,,,,,,,-13.5819,28.8364,-0.501429,15.24,1.691474,1.072698,-36.153737,-1.680496,-2.320428,6.958041,-4.880014,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,cb0ab260-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,131.47889,,,11.05036,,,,16.482577,-36.392094,3.47902,1.746179,-1.513325,-2.440007,-0.539537,1.152187,-1.160214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
14,2020/9/26,08:53.0,2020/9/26,08:53.0,2,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Bottom,1,1,1,Cutter,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,127.71942,-0.27439,-2.453594,2314.863477,172.997713,11:45,1.745543,0.473984,1.85946,-87.9475,24.1693,-2.5267,0.78865,-0.24334,116.92586,-6.724235,-2.632663,0.478178,,,,,,,,,,,,-0.4842,13.7236,-0.41629,15.24,1.733548,1.515756,-35.120112,-0.475732,-0.077842,6.74017,-7.600482,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,d3a65f00-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,126.85641,,,10.79356,,,,16.58029,-35.376402,3.370085,1.746143,-0.18673,-3.800241,-0.473982,1.518716,-0.038921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
15,2020/9/26,09:16.0,2020/9/26,09:16.0,2,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Bottom,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,136.85778,-0.337376,-0.435317,2195.604777,193.625003,12:30,1.734336,0.549335,1.863442,-41.5316,55.3292,12.6967,1.223939,0.55362,125.37551,-3.482237,0.465487,0.444456,,,,,,,,,,,,-6.8259,29.6618,-0.539925,15.24,1.723766,0.22621,-37.678417,-0.345477,-1.271946,7.262125,-4.279429,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,e1655a60-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,136.48149,,,11.48227,,,,16.575897,-37.935024,3.631062,1.733302,-0.194264,-2.139714,-0.548712,0.271154,-0.635973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
16,2020/9/26,09:31.3,2020/9/26,09:31.3,2,5,"Shunsuke, Izawa",1000073948,Right,TOK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Bottom,1,2,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,,,135.14673,-0.310583,-1.705492,2260.270033,192.564112,12:30,1.721877,0.516919,1.908259,-46.4214,52.3052,10.9946,1.170339,0.147421,123.98383,-3.811064,-0.923778,0.448716,144.25307,10.867739,-17.526525,1181.689968,31.558199,3.321622,-11.322483,52.828832,,-20.778959,1.548994,-6.8615,28.296,-0.479016,15.24,1.712058,1.058295,-37.207835,-0.34202,-1.247955,7.02034,-4.660211,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,ea759ac0-ff94-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,135.18572,3.622214,,11.16289,,,,16.531363,-37.450696,3.51017,1.721102,-0.180805,-2.330106,-0.516373,1.101467,-0.623977,0.132648,1.108274,-0.126277,84.164194,0.132648,37.524842,-4.517629,0.696557,-0.13527,0.023135,-0.003947,0.000644,-5.8e-05,1.108274,7.554954,-6.00092,0.54493,-0.103284,0.022041,-0.003571,0.000536,-5.3e-05,-0.126277,-11.85064,-0.44764,0.300446,-0.074803,0.019296,-0.003916,0.000607,-5.4e-05,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
17,2020/9/26,10:26.8,2020/9/26,10:26.8,3,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,,,125.72103,0.016853,-3.10689,2283.181227,164.120427,11:30,1.732464,0.550162,1.864639,-92.9449,21.5591,-5.2037,0.807772,-0.378242,116.37446,-6.760593,-3.475352,0.483242,,,,,,,,,,,,0.6863,12.1876,-0.477249,15.24,1.727032,1.899467,-34.58508,-0.314398,0.108302,5.811255,-7.8833,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,0b91b590-ff95-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,125.52711,,,9.34657,,,,16.575113,-34.808694,2.905627,1.733293,-0.011054,-3.94165,-0.550259,1.895299,0.054151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
18,2020/9/26,10:46.6,2020/9/26,10:46.6,3,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,1,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,130.21615,-2.379087,-4.610372,3028.532422,193.759851,12:30,1.733379,0.46187,1.985139,-51.1443,56.4772,12.8909,0.553978,-0.701499,118.05236,-6.260323,-3.693814,0.468494,,,,,,,,,,,,-10.2938,32.4863,-0.364293,15.24,1.679836,2.820295,-35.674523,-1.621935,-1.695876,7.379571,-4.454612,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,17620050-ff95-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,129.4787,,,12.16379,,,,16.453303,-35.924628,3.689786,1.732247,-1.470962,-2.227306,-0.460851,2.877771,-0.847938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
19,2020/9/26,11:06.6,2020/9/26,11:06.6,3,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,122.65131,-0.73892,-3.152327,2283.061026,135.657196,10:30,1.730855,0.501794,1.901908,-105.1036,14.0484,-10.6166,0.471748,-0.491529,114.56576,-8.359181,-3.906338,0.492953,,,,,,,,,,,,3.6154,8.7735,-0.429572,15.24,1.707797,1.902187,-33.765179,-0.792377,0.546553,5.252922,-8.480335,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,23470b90-ff95-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,123.05433,,,8.08555,,,,16.538356,-33.966567,2.626461,1.731943,-0.467256,-4.240168,-0.502097,1.881233,0.273277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
20,2020/9/26,11:39.3,2020/9/26,11:39.3,3,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,1,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,,,124.76,0.084062,-2.684229,2216.435738,157.407252,11:15,1.74509,0.490156,1.823967,-97.9603,18.3364,-6.3139,0.789261,-0.331848,116.01235,-7.022573,-3.130568,0.48701,,,,,,,,,,,,1.6037,10.4277,-0.425133,15.24,1.740591,1.63725,-34.342356,-0.30066,0.250683,5.461641,-8.176668,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,36cd36d0-ff95-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,124.55586,,,8.74765,,,,16.61595,-34.560487,2.730821,1.746078,0.025907,-4.088334,-0.490323,1.627238,0.125342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
21,2020/9/26,12:04.9,2020/9/26,12:04.9,3,5,"Shunsuke, Izawa",1000073948,Right,TOK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,1,2,2,Slider,Curveball,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,1,,,121.37079,1.640416,-1.759401,2213.663673,71.396929,8:30,1.760167,0.477297,1.773848,-132.2783,-4.8094,-28.009,0.902592,-0.301529,109.703,-7.968083,-3.735149,0.509867,141.58584,52.385218,38.993621,4475.254723,22.500933,38.266942,24.856282,66.157254,,51.39564,6.076086,12.7754,-2.5093,-0.431421,15.24,1.79179,1.146376,-33.317633,0.466978,1.817285,6.983189,-10.163599,KEI_KEI,TOK,JinguStadium,Fall,Team,20200926-JinguStadium-2,460ba640-ff95-11ea-a04c-031da7717d65,5a580110-224a-4580-94c3-7a41aeaf659f,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,118.97223,40.943057,,11.66778,,,,16.665648,-33.615113,3.491594,1.762675,0.899942,-5.081799,-0.478607,1.06896,0.908643,0.320765,0.840836,0.309669,201.40529,0.321793,18.637175,-6.134336,1.586064,-0.264668,0.024134,-0.000492,-7.5e-05,4e-06,0.841656,31.138903,-7.309319,0.644429,-0.063282,-0.006636,0.003177,-0.000354,1.3e-05,0.310077,15.098261,-1.91132,0.230438,-0.013876,0.000339,-0.000593,0.000122,-7e-06,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
