PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/10/12,00:59.4,2020/10/12,00:59.4,1,1,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Wataru, Hioki",1000073666,Right,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,148.3075,-3.678377,3.641429,2128.102443,156.158534,11:15,1.670394,-0.559202,1.900396,-31.4342,51.7483,-21.6387,0.318278,0.249659,135.2214,-6.081593,2.107267,0.41188,,,,,,,,,,,,13.8819,30.3637,0.47761,15.24,1.584623,-2.480185,-40.664001,-2.710723,2.994172,8.971809,-3.257542,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,c565e3b0-0c2e-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,147.27592,,,13.0861,,,,16.539286,-40.949663,4.485904,1.669281,-2.607003,-1.628771,0.558096,-2.575519,1.497086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
2,2020/10/12,01:11.5,2020/10/12,01:11.5,1,2,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Wataru, Hioki",1000073666,Right,MEI_MEI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,,,148.00104,-2.327239,3.060048,2081.487181,144.052125,10:45,1.659194,-0.571229,1.878244,-38.9869,44.5239,-30.2786,0.612775,-0.011613,134.81864,-5.270578,0.91317,0.412692,147.36106,7.991886,56.841751,3871.926717,16.015239,2.844167,29.455697,55.436011,,64.695715,1.724447,17.8528,25.5347,0.502242,15.24,1.60288,-2.01897,-40.645681,-1.783388,3.845387,9.000689,-4.306631,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,cca1d940-0c2e-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,146.98615,2.908079,,13.1824,,,,16.561285,-40.937224,4.500344,1.658387,-1.643891,-2.153315,0.569656,-2.143526,1.922694,-0.027649,0.549008,-0.009942,243.208295,-0.027649,22.171333,-6.908253,1.630173,-0.364245,0.080773,-0.016823,0.002694,-0.000227,0.549008,5.691124,-3.305546,-0.224272,0.11201,-0.036437,0.009274,-0.001615,0.000144,-0.009942,33.935301,-3.904675,0.850973,-0.175471,0.036233,-0.007199,0.001114,-9.1e-05,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
3,2020/10/12,01:29.7,2020/10/12,01:29.7,1,3,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Wataru, Hioki",1000073666,Right,MEI_MEI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,149.69064,-1.566229,4.088269,2114.960594,149.171127,11:00,1.691329,-0.553441,1.919412,-36.2245,44.2953,-24.998,0.887993,0.346681,137.52427,-4.299926,2.315299,0.405234,,,,,,,,,,,,15.5779,24.7462,0.463077,15.24,1.653955,-2.813007,-41.126272,-1.243779,3.472472,8.309123,-4.290455,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,d76dac50-0c2e-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,149.69128,,,12.16637,,,,16.520253,-41.384125,4.154562,1.690486,-1.110635,-2.145227,0.552044,-2.920767,1.736236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
4,2020/10/12,01:41.9,2020/10/12,01:42.0,1,4,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Wataru, Hioki",1000073666,Right,MEI_MEI,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,129.23045,0.198248,2.020567,2243.981796,4.099493,6:15,1.637046,-0.543281,1.786234,-116.4444,-8.2471,-0.7866,0.528774,0.021243,121.00338,-8.162842,1.964974,0.469746,,,,,,,,,,,,1.5671,-3.5362,0.493383,15.24,1.633671,-1.253242,-35.621255,-0.333169,0.264816,5.567434,-10.404218,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,debf73d0-0c2e-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,129.1337,,,8.22708,,,,16.654712,-35.841685,2.783717,1.638707,0.078764,-5.202109,0.54321,-1.263727,0.132408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.81402,2.608856,1.678655,0.9302,-0.107269,0.449989,-0.039729,-0.373143,1.728246,1.788959,20.357514,2.211188,17.675108,-0.30704,24.396065,-2.314411,1.723509,3.379297,-3.071007,1.823154,18.254847,-1.288794,深沢 俊一,20A
5,2020/10/12,02:07.6,2020/10/12,02:07.6,2,1,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Rei, Nishikawa",1000126447,Right,MEI_MEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,148.35426,-2.14681,2.564561,2139.189442,148.650855,11:00,1.671056,-0.564726,1.905667,-34.0098,48.1153,-27.7752,0.726646,-0.12115,136.09267,-4.727214,0.590929,0.409254,154.22813,-8.243973,-10.934268,,,,,5.183296,,-8.754877,0.114595,16.2019,27.2414,0.508269,15.24,1.620351,-1.691316,-40.804759,-1.637901,3.543474,8.457047,-3.848749,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,ee119250-0c2e-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,148.22101,0.832618,,12.26159,,,,16.534404,-41.072156,4.228524,1.670215,-1.51621,-1.924375,0.563517,-1.803355,1.771737,0.481109,0.832618,0.017635,,0.481185,41.620015,-9.731004,,,,,,,0.832858,-6.170703,-9.59225,,,,,,,0.017407,-8.01591,8.563779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
6,2020/10/12,02:39.4,2020/10/12,02:39.4,3,1,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,149.31889,-1.034157,2.736653,2149.928962,150.389135,11:00,1.71789,-0.526746,1.995034,-30.3309,49.8241,-26.9241,1.125152,-0.030456,136.72792,-3.369565,0.813581,0.404315,,,,,,,,,,,,15.8651,27.5058,0.470218,15.24,1.694306,-1.831574,-41.091907,-0.821498,3.517562,8.606386,-3.708155,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,00f84940-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,150.03155,,,12.59097,,,,16.444466,-41.343404,4.303193,1.716728,-0.713138,-1.854078,0.525242,-1.934365,1.758781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
7,2020/10/12,02:52.6,2020/10/12,02:52.6,3,2,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,GroundBall,Double,0,0,,,,150.04318,-2.55983,2.245872,2205.553793,160.769026,11:15,1.669885,-0.516141,1.872322,-26.3111,54.587,-18.1443,0.684733,-0.064684,137.17886,-4.592743,0.959251,0.406185,124.08029,11.263321,-32.119091,4329.889568,26.396177,2.58232,-20.67277,45.953481,,-40.374882,1.658516,10.9414,30.7796,0.465084,15.24,1.608701,-1.524621,-41.242121,-1.915722,2.437129,8.895169,-2.950676,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,08eae4a0-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,149.34084,3.157348,,12.86432,,,,16.567388,-41.527427,4.447585,1.668629,-1.821081,-1.475338,0.515239,-1.60279,1.218565,0.061595,0.605286,0.087977,111.890197,0.061594,28.629383,-6.048039,1.197159,-0.229586,0.035062,-0.002603,-0.000493,0.000131,0.605286,6.731856,-4.59166,0.212444,-0.019803,0.00529,-0.002412,0.000951,-0.000147,0.087976,-17.972093,-0.508492,0.460836,-0.141433,0.030463,-0.002309,-0.0008,0.00019,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
8,2020/10/12,03:43.3,2020/10/12,03:43.3,4,1,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,,,147.74248,-3.741719,1.93485,2151.33384,158.519105,11:15,1.656618,-0.513378,2.000105,-29.6873,52.4219,-19.6099,0.312105,-0.168614,135.5178,-6.02102,0.532474,0.409214,,,,,,,,,,,,11.6427,30.9264,0.473693,15.24,1.576319,-1.279576,-40.605898,-2.734457,2.517306,8.51367,-3.11995,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,2714c180-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,148.23534,,,12.22468,,,,16.439785,-40.856678,4.256835,1.655512,-2.642555,-1.559975,0.512476,-1.353727,1.258653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
9,2020/10/12,04:05.8,2020/10/12,04:05.8,4,2,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,,,143.63478,-3.977047,2.519858,2074.530558,154.635526,11:15,1.667312,-0.489857,1.95749,-35.8002,51.7671,-23.2057,0.192166,-0.015456,131.67672,-6.693399,0.865421,0.422596,,,,,,,,,,,,13.8987,30.7025,0.436282,15.24,1.578654,-1.627357,-39.437328,-2.847427,2.831315,8.120643,-3.552235,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,347ac770-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,143.54124,,,11.95805,,,,16.482353,-39.69232,4.060322,1.666314,-2.735885,-1.776117,0.488778,-1.716261,1.415658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
10,2020/10/12,04:34.4,2020/10/12,04:34.4,4,3,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,2,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,2,,,147.99399,-1.711885,2.814944,2103.186257,160.860451,11:15,1.666563,-0.50701,1.93114,-30.5252,51.8759,-17.1155,0.880173,0.112444,135.47386,-4.054309,1.597718,0.409941,125.34805,49.740472,-67.943109,6182.384644,9.921228,29.760344,-32.026423,75.589506,,-86.781002,5.239403,10.8482,28.9757,0.44544,15.24,1.626705,-1.91742,-40.700541,-1.303253,2.356561,8.550351,-3.512239,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,458a9b80-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,147.97262,30.158895,,12.52014,,,,16.508626,-40.966186,4.275176,1.6655,-1.194132,-1.756119,0.506148,-1.990635,1.178281,1.074119,1.933994,-0.216701,,1.074442,8.4431,-2.63278,0.338833,0.010394,-0.021449,0.004859,-0.000471,1.7e-05,1.933929,26.571413,-7.60213,0.803291,-0.093392,-0.00582,0.00522,-0.000785,4e-05,-0.216967,-20.847817,4.647389,-1.555872,0.355209,-0.054263,0.004342,-9.7e-05,-4e-06,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
11,2020/10/12,05:03.3,2020/10/12,05:03.3,4,4,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,2,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,2,,,129.30603,-0.01234,2.773209,2346.742504,3.460029,6:00,1.67542,-0.527259,1.844071,-116.7974,-8.4023,-0.6919,0.50396,0.248908,120.07759,-8.441779,2.724172,0.470175,,,,,,,,,,,,2.1496,-3.3632,0.461519,15.24,1.667597,-1.72128,-35.597488,-0.453785,0.359221,6.18418,-10.368692,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,56c15880-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,129.01578,,,9.22844,,,,16.596462,-35.832365,3.09209,1.677354,-0.059979,-5.184346,0.527152,-1.734923,0.179611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
12,2020/10/12,05:28.2,2020/10/12,05:28.2,4,5,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,2,2,Slider,Slider,BallinDirt,Undefined,Undefined,,Undefined,0,0,2,,,131.14536,-1.520935,3.381346,2297.283811,336.151491,5:15,1.636307,-0.532767,1.851446,-117.4671,-11.1739,6.3558,0.031844,0.485527,121.38529,-9.97109,3.832056,0.465594,,,,,,,,,,,,-0.9101,-3.952,0.452545,15.24,1.592781,-2.15757,-36.051746,-1.406539,-0.154598,6.923408,-10.477985,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,659a7670-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,130.2852,,,9.76008,,,,16.589263,-36.309935,3.461704,1.637948,-1.015792,-5.238993,0.532898,-2.151804,-0.077299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
13,2020/10/12,06:05.3,2020/10/12,06:05.3,4,6,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,3,2,Slider,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,2,,,131.08427,0.99332,1.785875,2289.898746,22.658111,6:45,1.655881,-0.526454,1.772479,-115.4703,-8.3552,-4.8544,0.782854,-0.06871,120.46233,-7.347879,1.443181,0.467391,,,,,,,,,,,,3.7601,-4.1597,0.482238,15.24,1.672331,-1.102507,-36.069605,0.165963,0.639893,6.878752,-10.514535,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,7bba8670-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,129.78437,,,10.62194,,,,16.668031,-36.340922,3.439376,1.657606,0.580684,-5.257268,0.526222,-1.127746,0.319947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
14,2020/10/12,06:36.1,2020/10/12,06:36.1,4,7,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,2,3,2,Slider,Slider,BallCalled,Walk,Undefined,,Undefined,0,0,2,,,131.00814,0.042374,0.973375,2298.328735,7.595329,6:15,1.645111,-0.568723,1.761396,-111.2116,-5.515,-1.0996,0.545014,-0.303645,122.392,-7.9439,0.895707,0.464285,,,,,,,,,,,,1.1362,-2.0432,0.544326,15.24,1.638,-0.60863,-36.116496,-0.419758,0.197031,5.838522,-10.160966,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,8e1cf230-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,130.65237,,,8.61614,,,,16.679414,-36.348444,2.919261,1.646658,-0.016091,-5.080483,0.568661,-0.616458,0.098516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
15,2020/10/12,07:19.0,2020/10/12,07:19.0,5,1,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Rikuto, Ueta",1000073554,Right,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",,,148.01601,-1.565756,0.74058,2137.081346,138.917399,10:45,1.645569,-0.533461,1.906234,-42.8928,39.6215,-32.3182,0.776408,-0.648476,135.62866,-4.779782,-1.559358,0.410222,,,,,,,,,,,,17.2272,22.4207,0.51849,15.24,1.607552,-0.364607,-40.747295,-1.261839,3.747781,8.638101,-4.929015,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,a7a819a0-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,147.87106,,,12.38734,,,,16.533429,-41.020576,4.319051,1.645005,-1.105902,-2.464508,0.531901,-0.483174,1.873891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
16,2020/10/12,07:44.2,2020/10/12,07:44.2,5,2,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Rikuto, Ueta",1000073554,Right,MEI_MEI,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,"1,2",,,147.15085,-1.178627,2.813629,2129.978563,139.753289,10:45,1.649722,-0.535647,1.903271,-39.5342,44.6077,-35.4032,0.922596,-0.09807,133.81784,-4.175321,0.298729,0.414248,149.82649,32.053877,5.372265,3096.991467,33.16171,20.366994,4.942413,101.865907,,14.249318,5.343495,20.4833,24.8572,0.473857,15.24,1.620598,-1.813138,-40.453011,-0.961833,4.364194,9.027215,-4.51054,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,b6a84790-0c2f-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,146.4339,28.082682,,13.33301,,,,16.536509,-40.741303,4.513607,1.649015,-0.817785,-2.25527,0.533987,-1.952512,2.182097,0.314817,0.879593,0.096641,199.617309,0.315156,35.111265,-7.70884,1.831222,-0.348849,0.055361,-0.007261,0.000666,-2.9e-05,0.879562,22.088511,-4.733506,0.081802,0.024141,-0.011938,0.002651,-0.000252,9e-06,0.096498,3.305717,1.054264,-0.360616,0.080979,-0.013412,0.001583,-0.000123,5e-06,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
17,2020/10/12,10:20.9,2020/10/12,10:20.9,1,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,140.78026,-0.715196,-3.982914,1881.667756,225.889907,1:30,1.68431,0.675285,1.956766,-54.1153,37.0007,35.1744,0.942271,-0.090736,128.5912,-4.763564,-1.480528,0.431074,,,,,,,,,,,,-21.0298,20.6815,-0.590272,15.24,1.665712,2.526821,-38.678605,-0.663923,-4.117102,7.876704,-5.757736,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,140fb7b0-0c30-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,140.71825,,,12.18906,,,,16.4827,-38.930852,3.938352,1.684021,-0.479535,-2.878868,-0.673303,2.658669,-2.058551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
18,2020/10/12,10:34.3,2020/10/12,10:34.3,1,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,143.45078,-1.370262,-1.223396,2217.513536,214.777175,1:15,1.722498,0.682248,1.923992,-45.0711,42.7897,27.7779,0.886911,0.616495,131.12744,-4.760006,0.755206,0.423304,,,,,,,,,,,,-15.1966,24.0285,-0.65638,15.24,1.689242,0.706918,-39.476686,-1.090954,-3.096824,8.262805,-4.910021,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,1c0ba1e0-0c30-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,143.30124,,,12.32334,,,,16.515257,-39.742712,4.131402,1.721821,-0.932873,-2.455011,-0.680744,0.806622,-1.548412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
19,2020/10/12,10:47.4,2020/10/12,10:47.4,1,3,"Yu, Takeda",1000073601,Right,MEI_MEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Bottom,0,1,1,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,134.42852,0.952319,-1.781425,1776.733095,230.883511,1:45,1.69086,0.700654,1.843256,-79.7819,19.5348,20.8803,1.16191,0.406633,125.02221,-4.865545,-0.302347,0.450055,,,,,,,,,,,,-11.7511,10.3803,-0.659697,15.24,1.708262,1.055918,-37.045323,0.313795,-2.148859,5.98357,-7.908456,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,23e250d0-0c30-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,134.78345,,,9.40631,,,,16.596904,-37.263846,2.991785,1.691528,0.602616,-3.954228,-0.699693,1.134396,-1.07443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
20,2020/10/12,11:03.6,2020/10/12,11:03.6,1,4,"Yu, Takeda",1000073601,Right,MEI_MEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Bottom,0,2,1,Cutter,Slider,InPlay,Undefined,GroundBall,,Out,1,0,,,,135.86146,-1.060511,-2.444176,2127.041408,206.760566,1:00,1.705553,0.698819,1.921603,-75.9522,21.1596,9.2828,0.647932,0.104902,125.81349,-6.625162,-1.783404,0.445031,,,,,,,,,,,,-6.4059,12.5414,-0.644684,15.24,1.67741,1.555953,-37.411288,-0.967303,-1.184172,6.724962,-7.488306,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20201012-JinguStadium-1,2d8904d0-0c30-11eb-909e-8934a202d9c0,ae804070-e962-4c38-b7df-5a9e67c14ed2,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,136.305,,,10.04797,,,,16.518582,-37.640421,3.362481,1.706022,-0.712161,-3.744153,-0.698385,1.5963,-0.592086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20A
