PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire
11,2020/11/7,,2020/11/7,,1,2,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,,1,Bottom,0,0,1,,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2020/11/7,,2020/11/7,,1,3,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,,1,Bottom,0,0,2,,,InPlay,Undefined,GroundBall,,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2020/11/7,,2020/11/7,,2,1,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kazuto, Yoshizawa",1000074012,Right,WAS_EDA,,1,Bottom,1,0,0,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2020/11/7,,2020/11/7,,2,2,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kazuto, Yoshizawa",1000074012,Right,WAS_EDA,,1,Bottom,1,1,0,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2020/11/7,,2020/11/7,,2,3,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kazuto, Yoshizawa",1000074012,Right,WAS_EDA,,1,Bottom,1,2,0,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2020/11/7,,2020/11/7,,2,4,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kazuto, Yoshizawa",1000074012,Right,WAS_EDA,,1,Bottom,1,3,0,,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2020/11/7,,2020/11/7,,2,5,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kazuto, Yoshizawa",1000074012,Right,WAS_EDA,,1,Bottom,1,3,1,,,BallCalled,Walk,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2020/11/7,,2020/11/7,,3,1,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,,1,Bottom,1,0,0,,,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2020/11/7,,2020/11/7,,3,2,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,,1,Bottom,1,1,0,,,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020/11/7,,2020/11/7,,3,3,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,,1,Bottom,1,1,1,,,InPlay,Undefined,GroundBall,,Single,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2020/11/7,,2020/11/7,,4,1,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,,1,Bottom,1,0,0,,,FoulBall,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2020/11/7,,2020/11/7,,4,2,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,,1,Bottom,1,0,1,,,InPlay,Undefined,Popup,,Out,1,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2020/11/7,,2020/11/7,,5,1,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Masashi, Maruyama",1000074031,Left,WAS_EDA,,1,Bottom,2,0,0,,,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2020/11/7,,2020/11/7,,5,2,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Masashi, Maruyama",1000074031,Left,WAS_EDA,,1,Bottom,2,0,1,,,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2020/11/7,,2020/11/7,,5,3,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Masashi, Maruyama",1000074031,Left,WAS_EDA,,1,Bottom,2,0,2,,,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2020/11/7,,2020/11/7,,5,4,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Masashi, Maruyama",1000074031,Left,WAS_EDA,,1,Bottom,2,1,2,,,FoulBall,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2020/11/7,,2020/11/7,,5,5,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Masashi, Maruyama",1000074031,Left,WAS_EDA,,1,Bottom,2,1,2,,,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2020/11/7,,2020/11/7,,1,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Tomoya, Masaki",1000073443,Right,KEI_KEI,,2,Top,0,0,0,,,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2020/11/7,,2020/11/7,,1,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Tomoya, Masaki",1000073443,Right,KEI_KEI,,2,Top,0,0,1,,,InPlay,Undefined,GroundBall,,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2020/11/7,,2020/11/7,,2,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shogo, Fukui",1000073400,Left,KEI_KEI,,2,Top,1,0,0,,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2020/11/7,,2020/11/7,,2,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shogo, Fukui",1000073400,Left,KEI_KEI,,2,Top,1,0,1,,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2020/11/7,,2020/11/7,,2,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shogo, Fukui",1000073400,Left,KEI_KEI,,2,Top,1,0,2,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2020/11/7,,2020/11/7,,2,4,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shogo, Fukui",1000073400,Left,KEI_KEI,,2,Top,1,1,2,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2020/11/7,,2020/11/7,,2,5,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shogo, Fukui",1000073400,Left,KEI_KEI,,2,Top,1,2,2,,,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2020/11/7,,2020/11/7,,3,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shohei, Wakabayashi",1000073444,Right,KEI_KEI,,2,Top,2,0,0,,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,KEI_KEI,JinguStadium,TeamExclusive,Team,20201107-JinguStadium-1,,,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
